GO	[-5.71 -0.44]	[-0.44 -0.29]	[-0.29 -0.16]	[-0.16 -0.08]	[-0.08 -0.02]	[-0.02 0.00]	[0.00 0.07]	[0.07 0.14]	[0.14 0.26]	[0.26 0.56]	[0.56 5.58]
GNF2_DNM1 GNF2_DNM1	5.260	4.676	-0.490	-3.087	-1.527	-0.314	-3.087	-3.087	-1.527	-0.490	2.647
MORF_IL4 MORF_IL4	2.400	3.333	-2.182	-4.213	-2.182	2.694	-2.591	-2.591	-1.824	0.995	4.412
MORF_FLT1 MORF_FLT1	1.737	0.597	-0.992	-2.635	-2.095	5.273	-3.300	-4.142	-0.992	0.597	4.794
MORF_CTSB MORF_CTSB	3.245	2.038	-2.428	-3.406	-0.910	2.918	-1.388	-3.406	-2.883	0.760	3.589
MORF_MAP2K7 MORF_MAP2K7	2.195	3.457	-1.576	-3.249	-1.909	1.670	-1.576	-2.737	-2.737	0.683	4.988
MORF_CDH4 MORF_CDH4	0.770	4.609	-1.922	-2.395	-2.395	1.692	-1.201	-2.965	-1.922	1.426	3.358
GNF2_MAPT GNF2_MAPT	5.119	3.103	-0.994	-0.994	-0.994	-0.994	-1.704	-1.704	-1.704	-0.994	3.103
MORF_ANP32B MORF_ANP32B	-2.758	-1.358	1.064	1.258	1.258	-2.335	2.781	2.486	0.589	-0.568	-7.038
MORF_RAD21 MORF_RAD21	-1.860	-1.860	0.877	2.869	0.335	-2.679	2.869	1.263	1.263	-0.483	-6.262
GNF2_RAN GNF2_RAN	-2.603	-2.603	-0.491	0.420	1.343	-0.714	6.484	1.660	-0.326	-0.491	-3.593
GNF2_KISS1 GNF2_KISS1	0.547	0.547	-0.785	-2.039	-2.039	2.428	-0.785	-2.039	-1.264	-0.473	6.985
GNF2_HPX GNF2_HPX	6.628	0.789	-1.180	-1.895	-2.932	1.724	-1.504	-1.504	-1.180	-0.515	2.669
MORF_LTK MORF_LTK	1.623	1.141	-1.447	-0.688	-2.230	1.371	-4.066	-1.447	-1.805	1.371	4.822
MORF_G22P1 MORF_G22P1	-2.970	-1.382	2.208	1.930	1.671	-0.538	1.009	1.671	-0.302	-1.382	-5.978
MORF_HAT1 MORF_HAT1	-1.741	-1.152	1.616	1.870	1.381	-0.726	1.616	1.381	-0.319	-1.152	-7.340
MORF_DAP3 MORF_DAP3	-2.674	-2.258	0.940	0.628	0.775	-1.576	1.778	1.324	2.588	0.499	-5.888
MORF_CDC10 MORF_CDC10	-2.202	-1.424	1.165	4.446	1.930	-1.779	1.653	0.766	-0.878	-0.878	-4.029
GNF2_MMP11 GNF2_MMP11	0.269	0.477	-0.600	-1.746	-1.746	1.939	-1.027	-1.746	-1.027	-0.336	7.358
GNF2_TIMP2 GNF2_TIMP2	0.389	0.923	-0.704	-1.913	-1.913	1.686	-0.704	-1.913	-1.162	-0.412	6.671
MORF_RAD23B MORF_RAD23B	-2.162	-3.093	1.123	0.761	0.932	-1.190	2.988	1.333	1.333	-0.450	-5.157
GCM_ACTG1 GCM_ACTG1	-2.036	-2.036	0.814	2.808	0.342	-2.036	1.520	1.520	0.473	0.631	-5.202
MORF_NPM1 MORF_NPM1	-3.213	-0.934	0.831	-0.311	2.894	-1.466	0.831	0.831	2.567	0.292	-5.574
MORF_EIF3S6 MORF_EIF3S6	-2.504	-0.682	1.877	-0.355	1.877	-1.198	2.196	2.196	-0.355	-0.912	-5.117
MORF_DNMT1 MORF_DNMT1	-1.109	-2.375	0.290	2.363	1.718	-0.835	1.718	2.722	-0.312	-2.375	-3.829
MORF_BCL2L11 MORF_BCL2L11	2.038	0.370	-1.131	-2.031	-1.131	2.607	-0.723	-3.406	-1.687	0.612	4.718
MORF_EIF4A2 MORF_EIF4A2	-4.615	-0.741	0.733	0.922	3.259	-0.968	2.216	-0.408	1.134	-0.741	-3.735
MORF_PRKDC MORF_PRKDC	-2.536	-1.778	1.033	1.440	1.227	-1.471	3.417	1.918	-0.271	-0.976	-4.145
MORF_RAGE MORF_RAGE	1.345	0.434	-1.167	-2.259	-1.167	2.156	-2.259	-1.167	-1.470	0.571	6.158
MORF_IL9 MORF_IL9	1.710	1.118	-1.185	-2.148	-2.148	1.398	-0.420	-1.604	-0.860	-1.185	5.804
MORF_LCAT MORF_LCAT	1.790	1.032	-1.455	-1.455	-2.304	1.790	-0.489	-1.840	-1.137	-0.875	5.756
GNF2_MYL2 GNF2_MYL2	0.480	2.786	-1.329	-1.329	-1.329	2.187	-1.329	-1.329	-0.703	-0.703	2.786
GNF2_IGFBP1 GNF2_IGFBP1	-0.218	1.033	-0.218	-1.454	-1.454	1.455	-0.798	-1.454	-1.454	-0.798	6.078
GNF2_HPN GNF2_HPN	6.187	0.631	-1.158	-1.867	-2.334	1.757	-1.480	-0.893	-1.158	-0.364	1.757
GNF2_MLF1 GNF2_MLF1	4.141	1.308	-1.036	-1.430	-1.430	1.964	-1.948	-1.036	-1.948	-0.735	2.340
GNF2_RAB3A GNF2_RAB3A	2.894	3.526	-0.863	-1.537	-0.863	-0.477	-1.537	-1.537	-0.863	-0.477	2.316
MORF_PPP1CC MORF_PPP1CC	-1.905	-2.788	0.470	1.589	1.846	-0.791	1.352	2.122	1.135	-1.556	-3.997
MORF_CTBP1 MORF_CTBP1	-2.848	-1.041	1.092	0.336	2.346	-0.823	1.535	2.056	0.336	-0.367	-5.816
MORF_CD8A MORF_CD8A	2.325	0.755	-3.336	-0.767	-0.767	1.704	-1.012	-3.336	-1.313	1.179	2.670
GNF2_CDKN1C GNF2_CDKN1C	-0.260	0.346	-0.260	-1.121	-1.121	1.034	-1.121	-1.121	-1.121	-0.551	7.844
GNF2_LCAT GNF2_LCAT	6.452	0.631	-0.952	-1.601	-2.569	1.520	-1.244	-0.952	-1.244	-0.378	1.520
MORF_WNT1 MORF_WNT1	1.508	2.143	-1.554	-1.554	-1.554	2.143	-0.875	-1.554	-2.028	-0.453	3.728
MORF_PRKCA MORF_PRKCA	2.520	1.460	-2.267	-2.708	-0.816	1.697	-0.640	-1.554	-2.267	0.698	2.830
MORF_NF1 MORF_NF1	1.993	0.318	0.318	-1.340	-1.340	2.900	-1.077	-3.475	-1.648	-0.387	3.969
MORF_MAP2K2 MORF_MAP2K2	-2.832	-1.116	0.665	0.373	0.665	-1.813	0.263	2.803	1.288	1.824	-4.378
GNF2_RRM1 GNF2_RRM1	-1.981	-1.459	-0.755	2.690	3.579	-1.459	1.002	0.559	1.002	-1.060	-2.678
MORF_AP3D1 MORF_AP3D1	-1.759	-1.759	0.535	0.535	1.103	-1.074	2.895	2.895	0.396	-0.820	-4.299
GNF2_FBL GNF2_FBL	-2.230	-1.146	1.897	1.141	0.934	-1.447	0.934	2.508	-0.519	0.329	-4.973
MORF_PTPRR MORF_PTPRR	1.387	1.685	-1.059	-1.874	-0.555	1.685	-0.776	-3.210	-1.874	-0.260	3.592
GNF2_SMC4L1 GNF2_SMC4L1	-0.963	-1.345	0.301	2.104	2.922	-1.849	1.415	-0.301	1.121	-1.345	-3.508
GNF2_EGFR GNF2_EGFR	0.247	1.188	-0.363	-1.329	-1.329	0.480	-0.703	-1.329	-1.329	-0.363	6.659
MORF_PSMC1 MORF_PSMC1	-2.131	-2.536	0.334	0.559	0.699	-0.780	1.918	1.918	1.918	0.438	-4.856
GNF2_RBBP6 GNF2_RBBP6	-2.047	-0.276	1.979	1.979	2.837	-0.439	0.715	-0.439	-0.991	-2.047	-2.961
GCM_APEX1 GCM_APEX1	-3.673	-1.346	0.822	2.918	0.333	-1.022	1.562	0.822	0.822	-0.272	-3.673
GNF2_MYL3 GNF2_MYL3	0.509	2.893	-1.287	-1.287	-1.287	2.277	-1.287	-1.287	-0.342	-0.672	1.726
MORF_PAPSS1 MORF_PAPSS1	-2.489	-1.446	1.090	1.354	2.320	-1.083	1.354	0.334	0.651	-0.399	-4.311
MORF_EI24 MORF_EI24	-1.703	-1.356	0.648	0.370	1.746	-0.628	1.239	3.022	0.822	-1.356	-4.814
MORF_TNFRSF6 MORF_TNFRSF6	1.327	0.919	-2.818	-1.278	-0.627	1.327	-0.807	-1.931	-1.931	0.919	4.520
MORF_FBL MORF_FBL	-1.289	-1.289	0.881	0.881	0.404	-1.627	1.844	1.316	1.087	0.404	-5.883
GNF2_TM4SF2 GNF2_TM4SF2	0.371	2.156	-0.521	-1.079	-1.079	0.371	-1.079	-1.079	-1.079	-0.521	5.168
GNF2_PA2G4 GNF2_PA2G4	-2.342	-0.384	-0.847	1.610	1.610	-1.206	3.729	0.540	-0.244	-0.579	-3.298
MORF_MAP3K14 MORF_MAP3K14	0.899	3.003	-0.874	-1.153	-2.440	1.650	-0.471	-1.497	-1.920	-0.649	3.400
CAR_IGFBP1 CAR_IGFBP1	4.540	2.358	-1.010	-1.543	-1.010	1.157	-0.647	-2.374	-1.010	-0.400	0.379
MORF_PPP1CA MORF_PPP1CA	-2.848	-1.602	0.900	0.447	1.303	-1.041	1.786	0.729	1.303	0.729	-4.853
MORF_PPP2CA MORF_PPP2CA	-1.706	-1.336	1.965	1.965	0.736	-0.585	1.400	-0.302	1.400	-1.706	-4.220
MORF_NME2 MORF_NME2	-2.461	-0.627	-0.349	-0.473	0.477	-1.042	0.781	0.618	3.565	2.208	-4.364
