GO	[-6.38 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.09]	[-0.09 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.15]	[0.15 0.32]	[0.32 0.85]	[0.85 8.56]
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	2.460	2.796	-0.301	-4.602	-3.727	0.301	-1.253	-3.029	-0.566	1.099	3.519
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4.846	1.712	-0.435	-1.235	-3.463	0.284	-1.544	-1.544	-3.463	1.018	2.911
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.528	1.460	-0.385	-2.865	-3.423	-0.385	-0.661	-1.624	-1.064	-0.284	6.837
GOMF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	2.836	3.557	-0.502	-1.757	-2.174	0.339	-2.669	-1.407	-1.757	-0.266	3.935
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.366	4.317	-0.702	-2.133	-3.525	0.512	0.252	-2.741	-1.649	0.683	2.282
GOMF_POTASSIUM_CHANNEL_ACTIVITY GOMF_POTASSIUM_CHANNEL_ACTIVITY	4.641	0.893	-0.866	-1.483	-2.415	0.530	-1.142	-1.483	-3.054	0.893	3.337
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	2.796	3.528	-0.751	-0.978	-2.457	0.301	-1.584	-2.457	-1.584	0.894	2.138
GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	1.719	1.719	0.271	-3.449	-2.672	0.393	-0.909	-2.071	-0.668	0.930	3.129
GOMF_GROWTH_FACTOR_ACTIVITY GOMF_GROWTH_FACTOR_ACTIVITY	0.824	0.518	-0.555	-3.802	-0.923	4.686	-0.419	-1.781	-1.781	0.396	2.510
GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	1.509	3.144	-0.301	-2.108	-3.029	-0.301	-1.486	-1.486	-0.471	0.665	2.252
GOMF_SODIUM_CHANNEL_ACTIVITY GOMF_SODIUM_CHANNEL_ACTIVITY	2.899	0.716	-0.354	-1.782	-1.057	0.716	-1.057	-1.782	-1.057	-0.624	3.485
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.971	2.954	-0.762	-1.152	-2.571	0.478	-1.152	-1.152	-1.152	0.301	3.460
GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY	1.076	2.679	-0.434	-1.606	-2.447	-0.260	-1.064	-1.606	-0.691	1.076	2.211
GOMF_CHEMOREPELLENT_ACTIVITY GOMF_CHEMOREPELLENT_ACTIVITY	0.347	0.644	-0.550	-0.550	-1.118	-1.118	-1.118	-0.550	-0.260	0.347	5.833
GOMF_HEPARIN_BINDING GOMF_HEPARIN_BINDING	1.383	0.967	0.375	-2.225	-1.490	1.383	-0.441	-1.490	-2.225	0.375	2.747
GOMF_MONOOXYGENASE_ACTIVITY GOMF_MONOOXYGENASE_ACTIVITY	1.407	2.032	-0.537	-0.537	-4.194	-0.250	-0.250	-0.372	-0.537	-1.029	2.026
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY_INVOLVED_IN_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	1.226	1.622	-0.431	-1.191	-1.948	0.370	-1.191	-1.191	-0.729	0.598	2.559
GOMF_PEPTIDE_HORMONE_BINDING GOMF_PEPTIDE_HORMONE_BINDING	0.317	2.851	-0.492	-0.809	-2.073	0.522	0.317	-1.293	-1.293	-0.285	2.337
GOMF_GROWTH_FACTOR_BINDING GOMF_GROWTH_FACTOR_BINDING	1.147	0.581	-0.283	-1.535	-2.397	-0.395	-1.210	-0.539	0.581	-0.395	4.446
GOMF_CARGO_RECEPTOR_ACTIVITY GOMF_CARGO_RECEPTOR_ACTIVITY	3.486	-0.753	-0.753	-0.505	-0.505	-0.505	-1.091	-2.180	0.277	0.851	2.145
GOMF_SCAVENGER_RECEPTOR_ACTIVITY GOMF_SCAVENGER_RECEPTOR_ACTIVITY	3.106	-0.242	-0.729	-0.431	-1.191	-0.431	-0.431	-1.948	-0.431	0.370	2.559
GOMF_SEMAPHORIN_RECEPTOR_BINDING GOMF_SEMAPHORIN_RECEPTOR_BINDING	0.457	0.200	-0.434	-0.434	-0.953	-0.953	-0.953	-0.434	0.200	0.457	4.845
