GO	[-7.27 -0.63]	[-0.63 -0.44]	[-0.44 -0.23]	[-0.23 -0.10]	[-0.10 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.16]	[0.16 0.34]	[0.34 0.87]	[0.87 8.56]
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	7.002	1.056	-0.583	-4.697	-3.404	4.475	-1.405	-4.001	-1.405	-0.583	2.465
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP	4.526	0.361	-0.334	-3.373	-3.373	2.509	-2.857	-2.019	-0.571	0.361	3.780
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	2.934	2.638	0.443	-4.400	-2.339	1.011	-1.128	-1.973	-1.652	-0.350	3.233
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP	3.160	2.844	0.278	-1.365	-3.342	1.096	-1.365	-3.342	-1.995	0.752	1.735
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP	3.202	4.603	0.798	-2.165	-2.165	-0.293	-0.505	-2.165	-3.029	0.519	0.646
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	2.021	1.465	-0.499	-2.862	-4.403	0.802	-0.670	-1.145	-0.499	-0.499	4.618
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	2.733	1.663	-0.462	-1.167	-2.462	-0.352	-2.067	-0.352	-2.462	-0.263	4.794
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	3.570	2.638	0.844	-2.757	-2.757	-0.350	-0.918	-0.585	-1.372	-0.918	2.085
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	2.638	-0.918	0.443	-1.652	-1.652	-2.339	-1.128	-0.264	-0.350	0.560	5.800
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	2.084	2.359	0.399	-1.592	-3.837	1.363	-1.923	-1.923	-0.401	0.969	0.644
GSE30083_SP3_VS_SP4_THYMOCYTE_UP GSE30083_SP3_VS_SP4_THYMOCYTE_UP	2.743	0.474	0.368	-3.683	-0.872	-1.077	-0.872	1.928	-1.904	-0.325	2.446
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN	3.884	2.293	-0.317	-1.635	-1.971	0.768	-1.971	-0.881	-0.881	0.933	-0.320
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN	3.667	1.855	-0.391	-1.287	-1.043	0.409	-1.287	-2.279	-0.659	1.855	-0.516
GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN	2.326	3.578	-0.535	-1.326	-2.330	0.784	-0.309	-1.326	-0.686	0.784	-0.870
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	2.390	0.860	0.453	-1.631	-1.631	1.029	0.572	-2.314	-1.950	1.029	0.450
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN	2.054	2.054	0.634	-3.870	-1.326	-0.535	-0.535	-0.309	0.293	-0.686	0.946
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN	2.153	1.598	0.445	-2.198	-0.514	1.127	-1.428	-0.681	-1.132	0.583	-0.383
GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_DN GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_DN	2.196	1.056	-0.583	-0.929	0.581	0.880	-2.435	-1.405	-1.149	0.722	0.577
