GO	[-7.27 -0.63]	[-0.63 -0.44]	[-0.44 -0.23]	[-0.23 -0.10]	[-0.10 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.16]	[0.16 0.34]	[0.34 0.87]	[0.87 14.17]
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE	-1.302	0.269	-0.961	-4.065	-4.065	7.572	1.225	-2.296	-2.296	1.508	2.913
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	7.002	1.056	-0.583	-4.696	-3.404	2.197	0.263	-4.001	-1.405	-0.583	2.462
GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP	1.461	2.770	0.263	-2.435	-5.518	1.056	-0.928	-1.148	-2.435	0.458	4.457
GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP	0.447	6.483	0.343	-2.914	-2.914	1.228	-0.462	-2.067	-2.462	0.343	2.154
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	2.934	2.639	0.443	-4.399	-2.339	0.844	-0.918	-1.973	-1.652	-0.457	3.553
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP	4.526	0.361	-0.334	-3.373	-3.373	1.485	-1.385	-2.018	-0.571	0.469	3.433
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN	1.461	4.104	-0.451	-2.043	-4.001	1.250	-0.451	-2.435	-1.701	0.458	2.185
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	2.021	1.465	-0.498	-2.861	-4.403	0.802	-0.670	-1.145	-0.498	-0.498	4.614
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	1.665	3.758	-0.372	-2.660	-2.227	0.850	-0.372	-3.160	-1.527	0.326	2.449
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	0.282	2.170	0.282	-3.402	-1.738	0.695	-0.812	-3.402	-0.448	0.882	4.423
GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP	1.029	1.637	0.860	-1.950	-4.366	1.872	-1.950	-1.631	-0.342	-0.342	2.659
GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN	2.326	1.136	-0.686	-1.946	-3.870	0.784	-0.686	-2.330	-0.686	1.560	2.602
GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP	1.950	0.330	0.956	-1.897	-1.897	1.170	-0.525	-2.927	-0.920	-0.920	4.491
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	2.639	-0.918	0.443	-1.652	-1.652	-2.757	-0.918	-0.264	-0.350	0.560	5.795
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	2.733	1.663	-0.462	-1.166	-2.462	-0.755	-1.166	-0.352	-2.462	0.343	4.407
GSE22886_NEUTROPHIL_VS_MONOCYTE_UP GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	1.086	1.086	-1.881	-1.568	-2.648	1.086	0.286	-1.568	-1.295	1.279	3.724
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	1.105	3.447	-0.671	-1.277	-2.622	0.387	-0.527	-1.277	-1.277	-0.527	4.119
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP	0.446	1.441	0.321	-0.982	-0.982	0.769	-0.551	-3.260	-2.070	-0.282	5.142
GSE30083_SP3_VS_SP4_THYMOCYTE_UP GSE30083_SP3_VS_SP4_THYMOCYTE_UP	2.744	0.474	0.368	-3.682	-0.872	-1.314	-0.697	1.928	-1.904	-0.325	2.443
GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	1.872	1.418	-0.446	-0.902	-1.352	1.215	-0.446	-3.745	-1.631	-0.446	3.268
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP	0.910	1.086	0.485	-1.295	-3.116	1.279	-1.060	-1.060	-2.239	0.610	3.724
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP	1.157	1.827	0.399	-3.251	-1.306	1.586	-0.301	-2.304	-1.060	-0.524	2.347
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	0.527	3.325	-0.293	-1.043	-1.570	2.116	-0.835	-1.899	-1.570	-0.659	2.104
GSE10325_MYELOID_VS_LUPUS_MYELOID_UP GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	1.512	2.816	-0.407	-1.547	-1.277	-0.671	-0.309	-2.214	-1.043	-0.309	3.430
