GO	[-6.83 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.09]	[-0.09 -0.00]	[-0.00 0.00]	[0.00 0.06]	[0.06 0.15]	[0.15 0.31]	[0.31 0.78]	[0.78 5.58]
WP_CELL_DIFFERENTIATION_INDEX_EXPANDED WP_CELL_DIFFERENTIATION_INDEX_EXPANDED	-1.295	-0.810	-0.810	-2.076	-0.492	16.280	1.885	-0.810	-2.076	-2.076	-0.818
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	-3.102	-3.102	0.683	3.321	2.223	-3.924	1.094	1.094	2.566	-1.168	-5.079
WP_CELL_DIFFERENTIATION_INDEX WP_CELL_DIFFERENTIATION_INDEX	-1.025	-0.599	-1.025	-1.742	-0.599	14.300	1.935	-1.025	-1.742	-1.742	-0.605
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.843	-0.402	-0.925	-1.482	-0.714	14.982	2.411	-0.925	-1.482	-0.542	-1.865
WP_RETINOBLASTOMA_GENE_IN_CANCER WP_RETINOBLASTOMA_GENE_IN_CANCER	-1.452	-3.663	0.763	3.559	2.279	-3.663	0.763	1.912	0.763	-1.972	-3.685
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	-1.295	-2.076	-1.295	-0.285	-0.810	14.106	0.523	-1.295	0.523	-2.076	-0.498
WP_PARKINSONS_DISEASE_PATHWAY WP_PARKINSONS_DISEASE_PATHWAY	-2.518	-0.959	-0.458	-0.672	-0.672	16.757	0.301	-1.841	-0.458	-0.458	-0.971
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	-2.846	-3.530	0.647	3.099	4.753	-1.129	0.826	0.647	0.647	-1.129	-4.421
WP_CELL_CYCLE WP_CELL_CYCLE	-1.966	-2.489	0.854	1.867	1.069	-5.090	-0.354	5.022	0.502	0.365	-2.512
WP_METASTATIC_BRAIN_TUMOR WP_METASTATIC_BRAIN_TUMOR	-1.161	-1.161	-0.580	-1.161	-0.580	13.394	-0.279	-0.279	-0.580	-1.161	-0.282
WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT	0.381	-0.829	-0.829	-1.493	-0.453	11.690	0.381	-1.493	-0.453	-0.453	-1.502
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.742	-0.555	1.207	0.717	2.182	-3.746	0.363	0.523	2.569	-0.793	-2.056
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	-3.757	-1.411	1.267	0.696	1.056	-1.742	1.267	1.056	1.749	0.418	-3.790
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	-1.147	-1.519	2.175	0.434	1.842	-1.987	-0.301	1.008	1.842	-0.438	-4.444
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	-0.889	-1.744	1.868	4.065	1.215	-1.744	0.340	-0.266	0.503	-0.889	-3.390
WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS	0.288	-1.751	-1.183	-0.315	-1.183	9.458	-0.787	-0.315	0.288	0.288	-0.796
WP_G1_TO_S_CELL_CYCLE_CONTROL WP_G1_TO_S_CELL_CYCLE_CONTROL	-0.811	-1.213	-0.329	3.324	-0.329	-2.659	0.441	1.939	1.939	-1.213	-1.801
