GO	[-6.83 -0.55]	[-0.55 -0.44]	[-0.44 -0.19]	[-0.19 -0.08]	[-0.08 -0.00]	[-0.00 0.00]	[0.00 0.05]	[0.05 0.15]	[0.15 0.30]	[0.30 0.78]	[0.78 8.38]
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	2.194	1.470	-0.699	-5.030	-3.155	7.370	1.695	-4.313	-2.271	-0.325	0.468
REACTOME_L1CAM_INTERACTIONS REACTOME_L1CAM_INTERACTIONS	6.580	1.893	-0.482	-0.661	0.377	-3.910	-1.165	0.263	-1.165	-0.343	-0.488
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	5.083	2.882	0.264	-0.671	-0.671	-1.284	-1.284	-0.671	-1.284	0.264	-0.674
REACTOME_ECM_PROTEOGLYCANS REACTOME_ECM_PROTEOGLYCANS	2.101	0.600	-0.523	-2.217	-2.217	-0.775	-0.775	0.265	-1.118	0.265	5.577
REACTOME_DISEASES_OF_GLYCOSYLATION REACTOME_DISEASES_OF_GLYCOSYLATION	2.041	1.032	-0.330	-1.035	-0.330	-2.064	-4.722	-0.801	-0.453	1.756	2.329
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	4.530	4.160	0.387	-1.551	-1.046	-0.844	-1.280	-2.221	-0.672	0.497	-0.314
KEGG_CELL_ADHESION_MOLECULES_CAMS KEGG_CELL_ADHESION_MOLECULES_CAMS	7.352	1.071	-0.331	-1.084	-1.767	-1.084	-0.460	-1.084	-0.460	-0.831	0.854
REACTOME_POTASSIUM_CHANNELS REACTOME_POTASSIUM_CHANNELS	3.486	1.083	-0.270	-1.434	-2.468	-0.568	-0.568	-0.568	-2.468	1.344	1.334
REACTOME_CARDIAC_CONDUCTION REACTOME_CARDIAC_CONDUCTION	2.295	4.204	0.580	-1.663	-0.761	-0.566	-0.761	-1.300	-2.103	0.751	-0.295
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	5.523	0.628	-1.241	-0.835	-1.820	-0.835	0.423	-0.835	-0.835	0.262	1.162
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	2.226	1.280	0.584	-0.893	-0.500	-0.266	-1.575	-1.575	-1.575	-0.266	1.715
NABA_PROTEOGLYCANS NABA_PROTEOGLYCANS	2.482	1.031	-0.430	-0.430	-1.450	0.681	-0.430	-0.796	-1.450	-1.450	1.927
KEGG_STEROID_HORMONE_BIOSYNTHESIS KEGG_STEROID_HORMONE_BIOSYNTHESIS	2.019	1.234	-0.364	-1.466	-1.466	1.234	0.416	-1.466	-0.949	-1.466	1.595
WP_CILIOPATHIES WP_CILIOPATHIES	2.221	-0.791	0.708	0.335	1.247	-2.639	-0.993	-0.269	-0.363	1.951	-2.656
WP_NEURAL_CREST_DIFFERENTIATION WP_NEURAL_CREST_DIFFERENTIATION	2.342	1.993	0.493	-1.052	-1.408	1.993	-1.859	-1.052	0.347	-0.552	-1.059
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	3.087	1.419	0.389	-1.891	-0.585	-0.585	-1.891	-0.884	-0.884	0.389	1.410
PID_P73PATHWAY PID_P73PATHWAY	2.760	-3.279	0.539	0.367	-0.577	-1.676	-0.842	-0.244	0.997	0.749	-0.246
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	3.161	3.161	-0.432	-0.432	-2.165	0.313	-0.432	-0.875	-1.202	-0.623	0.309
KEGG_RETINOL_METABOLISM KEGG_RETINOL_METABOLISM	2.355	0.275	-0.527	-0.810	-2.655	1.933	0.652	-0.810	-0.527	-0.810	0.647
REACTOME_CELL_JUNCTION_ORGANIZATION REACTOME_CELL_JUNCTION_ORGANIZATION	3.738	0.673	-0.589	-0.589	-1.564	-1.564	-0.268	-0.833	-0.404	-0.404	2.067
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	2.070	2.491	0.357	-1.963	-0.935	0.357	-0.405	-0.626	-1.963	-0.251	0.535
REACTOME_TIGHT_JUNCTION_INTERACTIONS REACTOME_TIGHT_JUNCTION_INTERACTIONS	2.364	-0.320	-0.640	-0.640	-1.243	0.283	1.303	-0.320	-1.243	-0.640	1.297
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	4.006	0.754	-0.733	-0.385	-0.733	-1.367	-0.733	-0.733	0.231	0.453	0.450
