GO	[-9.50 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.14]	[0.14 0.31]	[0.31 0.82]	[0.82 8.56]
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	5.664	3.295	-0.260	-1.901	-3.970	-1.009	-3.323	-1.260	-0.797	0.739	2.038
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT	2.624	2.624	-0.902	-4.444	-1.871	0.612	-0.902	-1.871	0.612	-0.265	1.691
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	2.396	1.330	0.452	-1.066	-1.066	-1.338	-1.338	-0.838	-4.376	1.330	3.376
GOBP_TRANSMISSION_OF_NERVE_IMPULSE GOBP_TRANSMISSION_OF_NERVE_IMPULSE	5.931	2.176	-0.585	-1.890	-1.890	1.098	-0.884	-1.890	-0.585	-0.585	0.237
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	4.199	2.797	0.413	-1.645	-1.081	-1.645	-1.081	-2.000	-1.341	-0.293	2.474
GOBP_SYNAPSE_ASSEMBLY GOBP_SYNAPSE_ASSEMBLY	2.383	2.683	0.498	-2.495	-1.714	-0.425	-2.076	-0.717	-2.076	0.633	2.667
GOBP_ACTION_POTENTIAL GOBP_ACTION_POTENTIAL	5.022	1.196	1.196	-1.486	-2.335	-0.902	-1.486	-0.902	-1.486	0.465	1.188
GOBP_ADHERENS_JUNCTION_ORGANIZATION GOBP_ADHERENS_JUNCTION_ORGANIZATION	3.669	0.604	0.405	-0.359	-0.859	-2.736	-2.736	-0.859	-0.359	0.250	2.224
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	3.004	2.667	0.301	-2.284	-1.857	-1.193	-1.193	-0.553	-0.938	1.061	1.053
GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	2.979	0.985	0.985	-1.491	-0.828	0.381	-0.828	-1.491	-1.491	0.985	-0.455
GOBP_NEURONAL_ACTION_POTENTIAL GOBP_NEURONAL_ACTION_POTENTIAL	4.753	1.131	0.453	-1.367	-1.367	0.231	-0.733	-1.367	-0.385	-0.385	0.230
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	2.246	3.344	-0.332	-2.413	-1.899	-0.644	-0.866	-0.866	-0.469	0.699	0.887
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	2.643	-1.906	-0.702	1.273	-1.906	-1.157	-0.702	-0.228	0.389	0.921	0.622
GOBP_VASCULOGENESIS GOBP_VASCULOGENESIS	2.817	0.559	0.382	-0.819	0.243	-0.368	-3.235	0.773	-1.170	-1.170	1.308
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS GOBP_CARDIAC_CHAMBER_MORPHOGENESIS	2.460	0.611	-1.358	-1.033	-1.358	-0.405	-1.033	-0.566	-0.773	0.611	3.607
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	2.546	1.276	0.665	-1.431	-2.238	-0.577	-0.920	-0.348	-0.920	0.665	0.661
GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	2.582	0.452	-0.702	-0.702	-1.898	-0.525	1.669	-1.510	-1.510	0.452	1.659
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	2.146	1.227	0.320	-0.925	-1.616	-1.616	-0.524	-0.925	-0.283	0.858	0.855
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	2.794	0.953	-0.322	-0.322	-0.650	-2.636	-1.189	0.281	-1.567	1.460	0.555
GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	2.473	-0.434	-0.952	-0.952	-0.434	0.457	0.200	0.457	-0.952	-0.952	1.831
GOBP_STRIATED_MUSCLE_CONTRACTION GOBP_STRIATED_MUSCLE_CONTRACTION	2.314	2.314	0.269	-1.444	-2.126	-0.446	-1.760	-0.582	0.363	0.269	1.099
GOBP_PIRNA_METABOLIC_PROCESS GOBP_PIRNA_METABOLIC_PROCESS	3.184	-0.745	-0.745	-0.745	-0.745	-0.745	-0.298	0.656	0.304	1.129	-0.299
GOBP_FLAVONOID_METABOLIC_PROCESS GOBP_FLAVONOID_METABOLIC_PROCESS	4.784	-0.621	-0.223	-0.621	-0.223	0.396	0.396	-0.621	-0.621	-0.621	-0.224
GOBP_DENDRITIC_SPINE_MORPHOGENESIS GOBP_DENDRITIC_SPINE_MORPHOGENESIS	2.097	-0.738	1.005	-0.470	0.316	-2.529	-0.738	-0.287	-0.738	-0.470	2.088
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	2.012	0.427	-0.764	-0.764	-0.407	0.716	-1.408	-0.764	-0.764	-0.407	2.566
