GO	[-6.76 -0.61]	[-0.61 -0.44]	[-0.44 -0.22]	[-0.22 -0.10]	[-0.10 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.16]	[0.16 0.34]	[0.34 0.87]	[0.87 8.56]
GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP	-4.402	-5.971	0.341	2.358	1.194	-4.402	2.358	2.358	8.057	-1.373	-8.317
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	-8.322	-4.402	0.341	3.244	5.818	-4.402	0.843	1.010	5.409	-1.373	-5.119
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP	-5.123	-3.235	-0.457	1.611	3.909	-3.779	0.341	4.263	8.057	-2.759	-6.991
GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_UP	-5.971	-3.779	-1.974	2.093	5.409	-4.402	0.559	5.013	5.013	-1.373	-4.398
GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP	-3.235	-5.971	-0.586	2.358	7.584	-6.995	0.843	5.013	1.194	-1.373	-3.775
GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN	-6.995	-4.402	-0.586	1.611	5.818	-2.759	2.093	2.638	3.244	-1.129	-6.991
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN	-5.123	-4.402	-0.919	1.611	6.240	-5.971	0.442	7.584	1.194	-0.351	-4.398
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	-5.971	-6.995	-0.264	1.611	6.675	-2.759	0.693	3.569	2.934	-1.129	-5.119
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN	-5.933	-2.316	0.859	2.390	3.611	-4.369	1.417	5.066	1.636	-3.206	-6.951
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-5.123	-4.402	0.341	4.263	5.818	-3.779	0.843	3.569	1.010	-1.373	-6.991
GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP GSE5679_CTRL_VS_PPARG_LIGAND_ROSIGLITAZONE_TREATED_DC_UP	-3.779	-5.971	0.442	1.394	7.584	-3.779	1.010	4.631	0.843	-0.919	-6.991
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	-6.008	-5.159	-0.467	2.604	2.897	-3.810	1.817	0.992	5.761	0.333	-7.030
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN	-6.995	-4.402	-0.264	1.611	7.584	-4.402	0.559	2.934	2.934	-0.919	-4.398
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	-4.402	-3.779	0.559	2.358	6.240	-3.779	0.693	5.013	1.194	-2.341	-6.991
GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP	-4.335	-6.916	0.271	1.235	3.654	-5.052	2.422	6.361	0.876	-0.437	-5.048
GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN GSE23321_CD8_STEM_CELL_MEMORY_VS_NAIVE_CD8_TCELL_DN	-5.820	-3.654	0.609	3.084	4.090	-4.982	0.285	2.779	3.740	-0.685	-6.832
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	-5.123	-5.971	-1.373	3.244	7.123	-3.235	0.693	3.569	1.194	-0.264	-5.119
GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_DN GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_DN	-6.995	-5.123	-0.457	2.093	5.818	-4.402	2.093	3.569	1.194	-0.586	-4.398
GSE14415_TCONV_VS_FOXP3_KO_INDUCED_TREG_DN GSE14415_TCONV_VS_FOXP3_KO_INDUCED_TREG_DN	-3.314	-5.409	1.534	2.292	4.628	-4.594	0.491	6.292	0.285	-1.096	-6.396
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	-8.322	-5.123	-0.739	1.194	3.909	-2.341	2.638	2.638	2.358	0.559	-5.966
GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	-3.779	-4.402	-0.457	2.638	3.569	-6.995	2.093	5.013	1.394	-0.919	-5.119
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	-4.369	-5.933	0.571	2.390	4.681	-3.747	0.707	1.636	5.464	-2.316	-4.365
GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP	-7.035	-2.786	-0.467	4.217	4.961	-4.436	0.547	6.180	0.333	-0.934	-3.807
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	-3.747	-3.747	0.571	3.611	8.128	-3.747	0.707	2.390	0.859	-2.732	-5.929
GSE27786_NKCELL_VS_ERYTHROBLAST_UP GSE27786_NKCELL_VS_ERYTHROBLAST_UP	-3.747	-5.088	0.453	6.738	0.707	-5.088	0.453	4.681	2.123	-0.447	-5.929
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	-4.369	-3.747	1.417	3.954	5.066	-6.955	0.859	0.571	1.871	-0.447	-5.929
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	-3.235	-5.971	0.693	3.569	1.194	-5.971	1.194	3.244	2.358	0.442	-6.991
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP	-1.354	-3.747	-0.574	3.954	7.189	-1.951	1.029	3.954	-0.342	-4.369	-6.951
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_UP	-4.436	-3.264	-0.597	2.897	2.326	-5.159	2.897	4.961	1.586	-1.146	-6.004
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_DN	-6.995	-5.123	0.442	0.341	3.909	-5.123	0.843	3.244	3.569	1.010	-3.775
GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP	-4.107	-5.848	-0.395	1.432	8.766	-2.412	-0.395	4.582	1.016	-0.675	-4.886
GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_DN GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_DN	-5.195	-3.842	-0.279	1.350	4.910	-5.195	2.035	3.821	2.035	-0.950	-5.191
GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP	-5.052	-6.916	-1.095	5.119	4.358	-4.335	-0.888	3.999	0.876	0.721	-1.332
GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP	-3.779	-5.971	0.559	1.194	2.093	-5.971	0.559	2.358	7.584	-0.457	-3.775
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	-2.786	-4.436	-0.934	3.528	9.469	-3.264	1.372	2.064	0.679	-2.366	-4.432
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	-3.206	-5.933	-0.447	2.123	2.971	-4.369	0.859	6.738	2.390	-1.354	-4.365
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	-4.436	-4.436	-0.934	1.372	5.354	-3.264	1.174	3.865	3.205	-0.752	-6.004
GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	-3.779	-5.971	-1.974	5.013	7.123	-4.402	1.194	1.394	0.693	0.341	-2.756
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH2_DN	-8.322	-3.235	0.341	2.934	3.569	-4.402	1.194	3.569	1.611	-0.739	-3.775
