GO	[-6.16 -0.52]	[-0.52 -0.41]	[-0.41 -0.19]	[-0.19 -0.09]	[-0.09 -0.02]	[-0.02 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.32]	[0.32 0.75]	[0.75 8.56]
MORF_ANP32B MORF_ANP32B	-3.736	-4.359	1.245	2.446	2.173	-2.719	5.179	1.676	0.726	-1.340	-8.325
MODULE_92 MODULE_92	1.088	2.401	-0.713	-1.838	-4.099	7.489	-1.838	-3.371	-1.838	0.423	1.788
GCM_MLL GCM_MLL	-2.059	-2.964	3.063	2.740	3.063	-4.195	0.649	0.806	0.649	-0.895	-4.229
MODULE_298 MODULE_298	-1.077	5.151	-0.520	-1.077	-1.077	6.068	-1.077	-1.077	-1.077	-1.077	-0.243
GNF2_RRM1 GNF2_RRM1	-3.657	-1.969	-0.521	2.274	5.071	-1.450	1.573	0.762	0.559	-1.450	-2.681
MORF_IL4 MORF_IL4	1.598	2.651	-1.227	-3.018	-2.152	2.651	-2.556	-2.152	-0.997	1.377	2.329
GNF2_STAT6 GNF2_STAT6	-2.329	-3.282	-0.243	3.218	2.346	-1.677	0.750	1.283	0.750	-0.577	-3.301
MODULE_113 MODULE_113	0.595	3.751	-2.574	-0.437	-2.574	0.595	-1.516	-1.516	-2.574	1.837	3.287
GNF2_DNM1 GNF2_DNM1	3.572	4.638	-0.313	-1.519	-1.519	-0.313	-3.073	-2.146	-1.065	0.446	0.870
MORF_TPR MORF_TPR	-2.207	-3.304	0.446	2.809	1.878	-0.887	1.360	0.928	1.133	-0.682	-4.959
GNF2_HPX GNF2_HPX	5.527	0.981	-2.905	-0.512	-2.905	1.709	-1.169	-1.490	-0.687	-0.512	1.686
MODULE_316 MODULE_316	1.000	2.885	-0.961	-0.647	-2.907	0.739	-2.001	-0.961	-2.001	1.000	2.414
GNF2_NS GNF2_NS	-0.958	-1.658	-1.658	0.302	1.179	-0.958	3.825	2.606	0.302	-0.958	-1.668
GNF2_KISS1 GNF2_KISS1	-0.471	1.517	-0.782	-2.032	-2.032	2.418	-0.782	-2.032	-0.270	0.334	3.481
GNF2_MLF1 GNF2_MLF1	1.303	3.617	-1.030	-1.030	-1.422	1.952	-1.936	-0.731	-2.625	-0.338	1.593
MODULE_97 MODULE_97	-0.476	-1.712	0.577	0.774	1.261	-2.268	1.550	1.869	0.280	-0.324	-4.057
GNF2_SPINK1 GNF2_SPINK1	1.581	1.581	-0.520	-1.077	-1.077	3.515	-1.077	-1.077	-1.077	-0.240	-0.243
GNF2_MYL2 GNF2_MYL2	0.247	2.778	-0.702	-1.326	-1.326	2.182	-1.326	-1.326	-0.702	0.795	0.788
MODULE_239 MODULE_239	-1.166	-2.451	0.377	2.922	1.336	-0.661	1.898	0.516	0.516	-1.511	-2.473
MODULE_36 MODULE_36	-0.708	-2.608	1.032	1.714	0.845	-2.151	2.571	0.407	0.845	-0.907	-2.176
MODULE_234 MODULE_234	1.658	1.278	0.436	-1.432	-0.921	0.436	-2.240	-0.921	-1.432	-0.348	3.042
GCM_ERBB2IP GCM_ERBB2IP	-0.738	-1.678	2.102	0.499	0.499	-0.287	3.559	-0.470	-0.287	-1.123	-2.546
MORF_WNT1 MORF_WNT1	0.765	2.479	-1.543	-1.543	-0.634	1.799	-0.634	-1.543	-1.543	0.291	2.102
MORF_LMO1 MORF_LMO1	1.368	-0.865	-0.316	-1.363	-1.363	0.722	-1.363	-0.534	-0.865	1.020	3.780
MODULE_278 MODULE_278	-1.409	-1.409	0.717	0.428	2.015	-1.409	2.015	-0.765	0.428	0.216	-0.771
MODULE_352 MODULE_352	-0.704	-0.704	1.208	3.366	1.208	-0.272	-0.704	-0.272	-0.704	-0.704	-0.708
MODULE_87 MODULE_87	-1.091	-1.824	0.240	0.240	1.803	-0.373	2.816	0.431	0.431	-0.650	-1.835
MODULE_237 MODULE_237	-1.572	-0.416	1.115	2.284	-1.572	-1.572	1.115	0.816	0.363	0.363	-1.584
MODULE_368 MODULE_368	0.304	4.065	-0.745	-0.745	-0.745	1.130	-0.745	-0.745	-0.298	-0.298	0.302
MODULE_545 MODULE_545	-0.828	0.567	-0.351	-0.351	-0.351	4.567	0.567	-0.828	0.256	-0.828	-0.833
MODULE_332 MODULE_332	-0.392	-1.124	0.960	-0.392	1.323	0.960	0.960	0.960	-1.866	-0.676	-1.877
MODULE_445 MODULE_445	-0.621	4.790	0.396	-0.223	-0.621	-0.223	-0.621	-0.621	-0.621	-0.223	0.393
MODULE_497 MODULE_497	0.929	0.573	-1.202	-1.202	-0.610	0.303	-1.202	-0.299	-0.299	0.303	3.100
GNF2_SPI1 GNF2_SPI1	-0.765	-1.409	1.515	1.081	0.717	-0.407	-1.409	1.515	-0.407	-0.765	0.213
MODULE_491 MODULE_491	-1.677	-2.329	1.283	-0.243	-0.382	-0.382	0.998	0.540	0.998	0.998	-1.211
MODULE_519 MODULE_519	-0.223	-0.621	-0.621	-0.223	-0.223	-0.621	-0.223	0.824	3.776	-0.621	-0.225
