GO	[-9.50 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.14]	[0.14 0.31]	[0.31 0.83]	[0.83 8.56]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-5.261	-0.358	-5.261	-6.485	-5.261	41.266	18.057	-6.485	-5.261	-4.340	-3.592
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-1.362	0.796	-2.117	-3.193	-3.905	31.285	4.046	-5.984	-2.606	-5.984	-0.476
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	-3.902	-6.861	-0.767	2.403	4.116	-6.861	-0.594	8.739	3.037	-0.452	-6.857
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-2.517	-4.104	2.375	3.617	9.238	-6.640	-0.621	3.283	0.678	-4.806	-6.635
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-1.650	2.299	-2.197	-2.919	-1.226	15.292	5.530	-3.943	-3.943	-2.919	-0.895
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-0.291	2.414	-2.913	-4.817	-3.714	10.678	3.989	-4.817	-1.787	-2.288	1.220
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-3.686	-5.860	4.046	7.327	1.066	-5.860	-1.078	1.688	2.456	-0.873	-4.299
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-2.695	-1.477	-3.693	-1.999	-0.364	18.243	3.937	-1.999	-1.999	-0.771	-0.363
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-3.717	-3.717	2.709	3.325	3.325	-6.918	-0.712	2.154	3.009	-1.095	-5.050
GOBP_DNA_DEPENDENT_DNA_REPLICATION GOBP_DNA_DEPENDENT_DNA_REPLICATION	-3.007	-3.007	1.821	3.758	3.390	-6.527	-0.649	3.039	1.328	-1.067	-5.297
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	3.235	1.062	-0.496	-3.122	-3.944	11.287	0.500	-3.122	-1.957	-2.477	0.254
GOCC_FICOLIN_1_RICH_GRANULE GOCC_FICOLIN_1_RICH_GRANULE	-3.873	-5.373	0.951	1.560	2.921	-5.373	-0.411	1.339	4.300	0.951	-3.870
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	-1.406	-3.259	0.760	2.500	2.831	-6.068	-1.113	0.944	3.181	0.339	-2.665
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	-3.236	-2.289	0.773	5.389	1.998	-2.289	0.243	1.639	0.558	-2.289	-2.288
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	2.456	2.791	-0.301	-4.599	-3.725	-0.566	-0.566	-3.027	-0.566	1.098	3.526
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	5.657	3.291	-0.261	-1.901	-3.970	-1.556	-2.304	-1.261	-0.798	0.738	2.051
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.522	1.457	-0.385	-2.386	-3.419	0.423	-1.623	-1.976	-1.321	0.318	7.326
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	-1.381	-2.398	1.406	1.137	2.029	-4.192	-0.537	2.029	1.406	0.359	-4.190
GOBP_CELLULAR_RESPIRATION GOBP_CELLULAR_RESPIRATION	-2.021	-1.386	0.897	-0.335	1.964	-3.972	0.897	2.229	2.229	0.594	-5.481
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	1.696	5.472	-0.661	-2.863	-4.074	1.036	-1.321	-1.063	-1.623	0.548	1.956
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	1.458	5.272	0.283	-4.194	-3.460	1.458	-0.759	-2.341	-0.319	-0.435	1.018
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	-2.197	-1.182	-0.430	1.186	1.903	-6.777	0.284	3.122	1.186	0.645	-1.465
GOBP_CYTOSOLIC_TRANSPORT GOBP_CYTOSOLIC_TRANSPORT	-0.992	-3.292	1.812	2.080	0.755	-5.653	-0.346	3.335	0.355	0.260	-1.239
GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX	-2.844	-2.844	1.109	2.030	1.386	-2.844	0.652	3.213	0.324	-0.854	-1.590
HP_POSTNATAL_MICROCEPHALY HP_POSTNATAL_MICROCEPHALY	-0.823	-1.048	0.935	0.347	1.353	-6.485	-0.823	1.134	4.197	-0.358	-1.047
HP_ABNORMALITY_OF_BONE_MARROW_CELL_MORPHOLOGY HP_ABNORMALITY_OF_BONE_MARROW_CELL_MORPHOLOGY	-0.405	-1.668	0.402	0.661	0.661	-5.889	-0.877	1.641	4.934	0.301	-1.360
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	-0.330	2.663	-0.800	-1.317	-2.062	3.755	3.372	-1.657	-2.062	-0.330	-0.799
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	2.393	1.328	0.451	-1.067	-0.839	-0.839	-2.038	-1.067	-4.376	1.328	3.394
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT	2.622	2.622	-0.903	-4.444	-1.872	0.464	-0.687	-1.872	0.611	-0.265	1.702
GOCC_CENTRIOLE GOCC_CENTRIOLE	-0.702	-0.921	0.330	3.678	3.678	-4.483	0.330	-0.525	0.451	-0.384	-1.897
GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY GOMF_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	0.302	1.818	-0.837	-2.114	-0.513	4.513	-0.837	-0.837	-2.114	-0.513	1.414
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS	-0.416	-2.405	-0.668	-0.247	1.113	-1.571	-0.668	1.113	5.668	-0.247	-1.570
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	-2.637	-2.101	-0.566	0.432	2.625	-2.637	0.311	1.411	2.288	0.750	-1.001
GOMF_NUCLEAR_HORMONE_RECEPTOR_BINDING GOMF_NUCLEAR_HORMONE_RECEPTOR_BINDING	0.403	-0.430	-0.430	3.471	1.299	-3.060	-2.485	2.416	0.292	-0.767	-1.272
HP_Y_LINKED_INHERITANCE HP_Y_LINKED_INHERITANCE	-0.704	-0.704	-0.704	-0.704	-0.704	4.278	2.542	-0.272	-0.704	-0.704	0.332
GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III GOBP_TRANSCRIPTION_BY_RNA_POLYMERASE_III	-1.948	-1.948	0.597	1.621	1.225	-1.948	2.562	-0.242	-0.431	-0.242	-0.728
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT	1.154	0.878	-0.488	-1.064	-1.517	0.289	-1.064	-1.517	-2.143	2.620	2.623
GOCC_RUFFLE GOCC_RUFFLE	0.618	-1.424	0.372	0.618	2.345	-6.007	-0.926	0.769	0.486	0.939	-0.569
GOMF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY GOMF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	-0.457	-0.761	1.086	3.542	0.737	-4.316	-0.457	1.086	-1.783	0.591	-0.759
