GO	[-6.38 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.09]	[-0.09 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.15]	[0.15 0.32]	[0.32 0.85]	[0.85 8.56]
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-2.014	-0.358	-1.637	-2.456	-2.979	27.005	5.477	-2.014	-2.979	-2.014	-1.643
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-0.291	2.081	-2.289	-4.819	-3.716	9.396	4.917	-3.716	-2.289	-2.289	1.216
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	3.240	1.064	-0.496	-3.124	-3.946	10.648	0.850	-3.946	-1.958	-2.478	0.252
GOMF_MRNA_3_UTR_BINDING GOMF_MRNA_3_UTR_BINDING	-0.581	-1.829	-0.957	-0.581	-1.202	19.180	2.151	-0.752	-0.752	-2.688	-2.695
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	-3.295	-3.939	0.928	1.121	3.001	-4.710	-0.463	4.074	3.700	-0.607	-4.719
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	-2.319	-5.095	0.861	2.397	2.979	-3.753	1.031	1.217	1.876	0.264	-5.106
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	2.460	2.796	-0.301	-4.602	-3.727	0.301	-1.253	-3.029	-0.566	1.099	3.519
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	-3.159	-2.510	0.645	0.353	1.274	-1.986	0.645	4.905	0.645	1.039	-5.119
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	1.460	5.284	-0.319	-3.463	-5.109	1.229	0.284	-2.854	-0.319	0.284	0.657
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.528	1.460	-0.385	-2.865	-3.423	-0.385	-0.661	-1.624	-1.064	-0.284	6.837
