GO	[-9.50 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.14]	[0.14 0.31]	[0.31 0.83]	[0.83 8.56]
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	3.234	1.062	-0.496	-3.123	-3.945	9.977	0.849	-3.123	-1.957	-2.478	0.257
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	5.655	3.289	-0.261	-1.902	-3.972	-2.775	-1.261	-1.261	-0.798	0.738	2.062
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	2.455	2.790	-0.301	-4.600	-3.028	-0.301	-1.253	-3.028	-0.567	1.097	3.540
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.521	1.456	-0.385	-2.387	-3.421	-0.285	-1.064	-1.976	-1.322	0.318	7.350
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	2.392	1.327	0.451	-1.068	-1.068	-1.339	-1.068	-1.068	-4.378	1.564	3.057
GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT GOBP_DIGESTIVE_SYSTEM_DEVELOPMENT	2.621	2.621	-0.903	-4.446	-1.873	0.464	-0.687	-1.873	0.611	-0.265	1.711
GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	2.472	-0.434	-0.953	-0.953	-0.434	1.282	-0.953	0.457	-0.953	-0.953	1.841
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	3.361	1.821	0.332	-0.704	-0.704	-0.272	-0.272	-0.704	-0.704	-0.272	-0.702
GOBP_PIRNA_METABOLIC_PROCESS GOBP_PIRNA_METABOLIC_PROCESS	3.183	-0.746	-0.746	-0.746	-0.746	-0.746	-0.298	0.655	0.304	1.128	-0.297
GOCC_ZONULA_ADHERENS GOCC_ZONULA_ADHERENS	2.452	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.795	-0.331	0.797
