GO	[-6.76 -0.61]	[-0.61 -0.44]	[-0.44 -0.22]	[-0.22 -0.10]	[-0.10 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.16]	[0.16 0.34]	[0.34 0.87]	[0.87 8.56]
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	7.471	0.880	-0.584	-4.699	-4.004	3.406	-0.584	-4.004	-1.406	-0.584	2.478
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	3.244	2.638	0.341	-4.402	-2.341	1.394	-1.373	-1.974	-1.974	-0.457	3.574
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	2.779	4.090	0.285	-0.858	-4.982	4.090	-1.297	-1.569	-2.241	-0.685	0.286
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_BCELL_UP	3.202	4.990	0.650	-2.166	-2.166	0.797	-1.507	-2.166	-3.031	0.519	0.651
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP	4.915	0.361	-0.442	-3.375	-3.375	0.736	-0.442	-2.411	-0.572	0.361	3.797
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP	3.159	3.159	-0.326	-1.366	-3.938	0.480	-0.431	-3.344	-1.996	0.607	1.996
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	2.020	1.464	-0.499	-2.863	-4.405	0.477	-0.362	-1.146	-0.499	-0.499	4.634
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	3.569	2.638	0.843	-2.759	-2.759	0.341	-1.373	-0.586	-1.373	-0.919	2.096
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	2.733	1.905	-0.596	-1.167	-2.463	-0.756	-0.756	-0.596	-2.463	-0.263	4.814
GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	2.673	1.029	-0.574	-0.903	-1.951	1.636	-0.447	-3.747	-1.632	-0.447	3.288
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	2.638	-0.919	0.442	-1.653	-1.653	-1.129	-1.974	-0.351	-0.351	0.559	5.824
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	2.390	2.971	-0.342	-1.632	-2.316	1.029	-1.632	-2.732	-0.725	0.571	1.420
GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_DN	2.614	3.578	-0.536	-1.615	-3.283	1.560	-0.536	-1.327	-0.866	0.950	-0.865
GSE30083_SP3_VS_SP4_THYMOCYTE_UP GSE30083_SP3_VS_SP4_THYMOCYTE_UP	2.743	0.893	-0.427	-3.685	-1.078	-0.698	-0.698	1.464	-1.905	-0.326	2.459
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_0.5H_ACT_CD4_TCELL_DN	3.666	2.393	-0.513	-1.571	-1.044	0.409	-1.044	-2.718	-0.660	1.855	-0.512
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN	3.884	3.200	-0.700	-1.637	-1.972	0.491	-0.882	-1.346	-0.882	0.767	0.286
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	2.673	0.707	0.571	-1.951	-1.632	1.636	0.263	-2.316	-1.951	1.029	0.454
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN	2.325	1.798	0.634	-3.872	-1.615	-0.309	-0.411	-0.536	0.293	-0.687	0.952
GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_DN GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_DN	2.073	0.317	-0.994	-3.002	-0.495	0.416	-0.286	-0.994	-0.633	1.165	1.824
