GO	[-10.07 -0.91]	[-0.91 -0.53]	[-0.53 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.11]	[0.11 0.35]	[0.35 0.58]	[0.58 0.83]	[0.83 1.81]	[1.81 26.69]
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	-1.316	-3.147	-3.147	-3.147	8.758	1.065	-3.147	-0.427	-0.427	0.596	5.592
XIE_ST_HSC_S1PR3_OE_UP XIE_ST_HSC_S1PR3_OE_UP	-0.572	-2.859	-0.442	-1.386	-0.572	-2.020	-0.442	-0.728	0.360	3.117	8.046
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4 PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	-2.040	-0.323	-1.567	-0.465	-1.567	-0.323	-1.190	-1.190	0.559	4.511	5.014
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	-1.528	-2.191	-1.259	-1.259	0.781	1.765	-3.060	-0.301	0.944	0.636	5.352
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.983	-1.278	-2.216	-2.216	1.104	-1.860	-1.044	-0.843	1.983	0.496	3.798
HOELZEL_NF1_TARGETS_UP HOELZEL_NF1_TARGETS_UP	0.693	-2.485	-1.607	-0.430	-2.007	-1.274	0.292	-0.430	0.403	1.813	6.102
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	-0.767	-0.996	-0.767	-0.430	-3.060	-0.430	-0.996	-0.430	0.292	6.083	3.109
LENAOUR_DENDRITIC_CELL_MATURATION_UP LENAOUR_DENDRITIC_CELL_MATURATION_UP	2.076	-0.291	0.593	-0.417	-1.787	-1.382	-1.787	-2.287	-0.417	2.412	2.422
KEGG_STEROID_HORMONE_BIOSYNTHESIS KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.245	-0.949	-2.280	-2.280	-0.365	1.232	-0.365	0.245	0.637	0.416	2.981
CHEBOTAEV_GR_TARGETS_UP CHEBOTAEV_GR_TARGETS_UP	0.243	-1.643	0.243	-1.643	-0.819	-0.559	-0.819	-0.559	1.024	3.269	2.004
SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER	-1.157	-1.157	-0.702	-0.411	-0.702	-0.411	0.920	-0.228	-1.157	2.134	3.201
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.456	-1.621	-1.621	-1.621	0.632	-0.290	-1.201	0.312	1.653	0.632	2.355
DURAND_STROMA_NS_UP DURAND_STROMA_NS_UP	-0.261	-0.798	-0.356	0.587	-2.304	-1.555	-1.009	0.345	0.345	2.330	2.644
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.453	-0.733	0.231	-1.367	-1.367	-1.367	0.231	0.754	0.231	1.130	2.097
NEWMAN_ERCC6_TARGETS_DN NEWMAN_ERCC6_TARGETS_DN	-0.925	-0.525	-0.925	-1.616	0.555	-0.525	-0.283	0.858	-0.283	0.320	3.940
