GO	[-10.07 -0.88]	[-0.88 -0.52]	[-0.52 -0.26]	[-0.26 -0.04]	[-0.04 0.00]	[0.00 0.12]	[0.12 0.36]	[0.36 0.58]	[0.58 0.82]	[0.82 1.78]	[1.78 26.66]
GOMF_CHEMOKINE_RECEPTOR_BINDING GOMF_CHEMOKINE_RECEPTOR_BINDING	-1.855	-0.859	-2.737	-0.566	6.050	0.250	-0.859	-1.855	0.405	0.250	3.150
GOMF_GROWTH_FACTOR_BINDING GOMF_GROWTH_FACTOR_BINDING	0.935	-1.210	-0.940	-5.696	-0.539	-1.210	0.320	0.439	-0.395	1.382	5.819
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.855	-0.661	-2.865	-2.865	0.692	-0.284	-1.977	-1.064	1.957	-0.284	6.368
GOMF_CHEMOKINE_ACTIVITY GOMF_CHEMOKINE_ACTIVITY	-1.948	-1.191	-1.948	-0.431	4.322	-0.242	-0.729	-1.191	-0.242	0.370	3.687
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.512	-3.525	-2.133	-2.741	1.111	-0.357	-0.702	0.368	1.956	0.683	2.640
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.388	-1.544	-1.544	-2.854	1.712	-0.580	-2.854	2.277	0.829	0.514	2.269
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.301	-4.602	-0.751	-1.253	-0.566	-0.301	-0.978	0.894	0.711	0.711	5.209
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING	-1.057	-1.057	-1.782	-0.354	4.128	0.453	-0.624	-1.782	-0.354	0.254	2.894
GOMF_HEPARIN_BINDING GOMF_HEPARIN_BINDING	0.789	-0.957	-2.688	-2.688	1.383	0.375	-2.225	-0.581	0.967	1.876	2.143
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	0.725	-0.255	-1.707	-2.363	-0.865	-1.225	-0.397	0.520	-0.595	1.905	4.109
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.301	-2.571	-1.712	-1.152	-0.301	-0.301	-0.762	0.478	1.285	0.478	4.007
GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	-0.301	-3.029	-1.486	-0.710	-0.471	-0.301	-0.301	-0.301	1.509	0.463	4.151
GOMF_EXTRACELLULAR_MATRIX_BINDING GOMF_EXTRACELLULAR_MATRIX_BINDING	-0.600	-0.949	-0.949	-2.280	-0.365	0.246	-0.949	0.246	3.517	0.638	2.013
GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	0.415	-1.584	-1.253	-1.253	-0.566	-0.751	-1.584	0.711	0.894	2.145	3.144
GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY GOMF_TRANSMITTER_GATED_CHANNEL_ACTIVITY	-0.260	-2.447	-1.064	-1.064	-0.691	0.346	-0.434	-0.260	2.216	0.346	3.175
