GO	[-10.07 -0.87]	[-0.87 -0.54]	[-0.54 -0.31]	[-0.31 -0.12]	[-0.12 0.00]	[0.00 0.13]	[0.13 0.32]	[0.32 0.58]	[0.58 0.79]	[0.79 1.57]	[1.57 26.69]
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_UP	0.325	-1.593	-1.177	-1.177	-0.606	-0.418	-1.593	-2.132	-0.279	1.697	10.905
HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP	-0.270	-2.032	-1.259	-2.032	4.751	4.104	-2.032	-0.782	0.815	-0.782	-0.272
NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN NAKAYA_PBMC_FLUAD_MALE_AGE_14_27YO_1D_POSTBOOST_VS_0D_PREIMM_MF59_ADJUVANTED_1DY_GENES_IN_BTM_M40_AND_M53_DN	-0.381	-0.381	-1.501	-2.322	-0.977	1.960	-1.501	-0.622	0.233	0.233	7.368
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_NEGATIVE	0.559	-0.962	-1.740	-0.962	2.165	6.989	-1.740	-1.304	-0.336	-0.696	0.267
PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP	0.528	-2.103	-0.345	-2.708	-1.238	-1.238	0.261	0.703	-0.493	5.371	1.675
ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN ANDERSON_BLOOD_CN54GP140_ADJUVANTED_WITH_GLA_AF_AGE_18_45YO_1DY_DN	-2.549	0.833	0.616	0.435	-0.981	-0.981	3.276	1.084	0.290	0.290	-3.538
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GT_200_VS_LTE_200_1DY_DN ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GT_200_VS_LTE_200_1DY_DN	-0.668	-0.334	-0.668	-1.596	0.723	-0.668	-0.668	-0.668	-1.214	3.141	3.542
HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_3DY_UP	-1.927	-1.332	-0.240	-0.389	-0.910	0.373	1.378	4.045	-0.240	0.373	-0.914
SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_HIGH_VS_LOW_RESPONDERS_MEDIUM_HIGH_ADVERSE_EVENTS_SCORE_1DY_CORRELATED_WITH_TRANSITIONAL_B_CELLS_UP SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_HIGH_VS_LOW_RESPONDERS_MEDIUM_HIGH_ADVERSE_EVENTS_SCORE_1DY_CORRELATED_WITH_TRANSITIONAL_B_CELLS_UP	-0.870	-0.378	-0.378	0.236	-0.870	-0.870	-0.870	-0.378	0.527	2.038	2.722
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP	-3.555	-0.318	0.960	1.363	-0.318	0.382	2.389	0.633	-0.910	-0.558	-1.414
