GO	[-10.07 -0.88]	[-0.88 -0.51]	[-0.51 -0.25]	[-0.25 -0.03]	[-0.03 0.00]	[0.00 0.08]	[0.08 0.32]	[0.32 0.58]	[0.58 0.78]	[0.78 1.74]	[1.74 26.66]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-3.596	-4.341	-6.487	-5.263	47.714	13.188	-5.263	-6.487	-0.482	-5.263	-3.581
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	-1.153	-4.050	-4.050	-6.153	24.130	8.028	-4.050	-1.452	0.725	-1.807	-1.442
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	-0.662	-4.075	-3.421	-7.071	23.579	8.326	-4.855	-1.976	0.318	-1.064	-0.837
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-2.607	-3.906	-4.795	-3.906	21.510	8.377	-3.906	-2.607	0.257	-2.607	1.208
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION	4.630	15.318	3.391	-0.363	-5.568	-1.846	0.477	-2.864	-3.547	-5.568	-5.552
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	3.119	10.097	6.613	1.075	-7.782	-1.682	0.360	-0.729	-5.486	-6.483	-4.647
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	4.115	16.114	3.738	-0.452	-5.615	-1.853	0.480	-1.512	-4.671	-4.671	-5.596
GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	-1.963	-1.963	-2.862	-2.862	19.207	6.347	-2.862	-2.862	0.539	-2.862	-1.357
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-2.013	-2.456	-3.596	-3.596	22.708	6.875	-2.456	-0.823	0.347	-2.013	-1.626
GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING GOMF_IMMUNOGLOBULIN_RECEPTOR_BINDING	-2.035	-2.035	-2.945	-2.945	17.654	6.772	-2.945	-2.945	0.712	-2.035	-1.418
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	3.117	13.799	4.170	0.335	-5.188	-2.635	0.335	-0.993	-2.204	-3.711	-7.425
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	3.690	9.744	3.690	0.355	-6.904	-1.534	1.119	-0.608	-5.655	-4.707	-3.920
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.198	-2.198	-1.651	-3.944	9.216	11.345	-2.920	-2.198	1.319	-2.920	-0.443
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-1.078	-3.694	-1.078	-1.477	15.557	7.296	-1.078	-0.771	-1.477	-1.477	-3.683
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-0.563	6.363	3.999	4.732	-6.920	-1.612	2.153	-0.889	-4.338	-1.612	-5.035
GOBP_PHAGOCYTOSIS_RECOGNITION GOBP_PHAGOCYTOSIS_RECOGNITION	-0.792	-2.032	-2.733	-2.733	15.367	5.416	-2.733	-2.032	0.521	-2.032	-0.550
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	2.123	9.243	5.373	0.486	-5.110	-1.986	-0.694	-0.924	-1.559	-2.510	-5.094
GOBP_TRANSLATIONAL_TERMINATION GOBP_TRANSLATIONAL_TERMINATION	4.729	9.340	2.200	0.447	-3.297	-2.535	0.447	-1.949	-2.535	-4.360	-3.285
GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	-0.385	-2.930	-2.930	-5.652	12.932	4.082	-3.619	-0.703	0.763	-0.703	0.334
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	3.935	9.293	2.214	0.246	-3.694	-1.999	0.539	-1.477	-2.696	-3.694	-3.683
GOBP_TRANSLATIONAL_ELONGATION GOBP_TRANSLATIONAL_ELONGATION	4.630	8.734	2.331	-0.257	-4.407	-1.846	0.998	-1.846	-1.846	-4.407	-3.533
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	-0.262	-2.810	-2.195	-4.693	14.683	4.177	-2.810	-0.738	-0.381	-0.738	-0.532
GOCC_ORGANELLAR_RIBOSOME GOCC_ORGANELLAR_RIBOSOME	3.597	8.177	2.712	0.576	-3.611	-1.420	-0.338	-1.420	-2.622	-3.611	-3.600
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	3.370	8.002	1.029	1.488	-5.902	-2.547	-0.801	-0.609	-2.063	0.380	-5.884
GOCC_LARGE_RIBOSOMAL_SUBUNIT GOCC_LARGE_RIBOSOMAL_SUBUNIT	1.801	8.857	2.457	1.007	-4.776	-1.359	-0.281	-0.281	-4.776	-3.677	-2.247
GOBP_TRNA_PROCESSING GOBP_TRNA_PROCESSING	2.495	8.537	3.600	0.395	-4.252	-1.740	0.533	-1.064	-1.740	-2.734	-5.385
GOBP_TRANSLATIONAL_INITIATION GOBP_TRANSLATIONAL_INITIATION	-0.294	2.888	6.234	4.991	-3.563	-2.168	1.144	-0.814	-4.172	-1.012	-5.690
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-2.914	-1.383	-2.914	-1.383	8.145	6.439	-2.914	-1.788	2.772	-1.056	-0.577
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	2.382	8.504	2.029	0.896	-4.193	-2.399	-0.250	-1.382	-3.146	-0.537	-4.181
GOBP_IMMUNOGLOBULIN_PRODUCTION GOBP_IMMUNOGLOBULIN_PRODUCTION	-1.591	-1.317	-0.874	-2.680	14.356	5.994	-1.317	-1.907	-0.326	-1.317	-1.069
GOBP_RNA_MODIFICATION GOBP_RNA_MODIFICATION	1.723	6.432	4.691	1.482	-4.818	-1.601	-0.277	-0.648	-2.834	-1.952	-4.023
GOBP_CELLULAR_RESPIRATION GOBP_CELLULAR_RESPIRATION	1.963	6.168	4.152	0.593	-3.973	-2.412	0.736	-0.572	-2.412	-0.914	-5.466
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	3.341	7.985	1.151	0.587	-2.364	-1.536	-1.006	-0.645	-2.364	-2.364	-2.357
GOBP_OXIDATIVE_PHOSPHORYLATION GOBP_OXIDATIVE_PHOSPHORYLATION	1.832	5.530	3.831	0.433	-4.050	-3.327	-0.904	-0.284	-1.452	0.568	-4.933
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-3.687	-0.699	0.892	2.455	-4.305	-1.907	1.256	6.868	0.367	0.736	-4.285
GOMF_MRNA_3_UTR_BINDING GOMF_MRNA_3_UTR_BINDING	-1.829	-1.490	0.492	-1.490	13.564	2.438	-0.328	-0.752	-1.490	-0.582	-3.214
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	0.388	2.951	6.107	2.243	-3.868	-2.414	0.697	-0.333	-2.414	-1.901	-3.040
GOBP_TRNA_MODIFICATION GOBP_TRNA_MODIFICATION	2.214	4.957	3.464	0.539	-3.694	-1.999	0.376	-0.538	-1.477	-1.999	-3.683
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	-1.657	-2.063	-1.318	-2.547	9.128	5.470	-0.801	0.274	0.659	-2.063	-1.027
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-1.771	-0.371	1.848	2.374	-4.105	-0.621	5.925	0.998	0.325	-1.205	-6.619
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-3.264	-2.606	-0.282	-2.072	9.542	3.416	-2.072	-0.552	0.594	-0.744	-0.279
GOCC_CYTOSOLIC_RIBOSOME GOCC_CYTOSOLIC_RIBOSOME	0.977	3.666	3.666	0.762	-4.443	-0.634	0.762	0.419	-3.372	-3.372	-2.000
GOCC_SMALL_RIBOSOMAL_SUBUNIT GOCC_SMALL_RIBOSOMAL_SUBUNIT	1.816	2.619	5.188	0.445	-3.070	-0.732	0.642	-1.065	-1.518	-3.070	-3.061
GOBP_SISTER_CHROMATID_SEGREGATION GOBP_SISTER_CHROMATID_SEGREGATION	-4.405	-0.586	1.194	2.093	-2.761	-3.781	4.264	3.244	0.442	-0.264	-2.328
GOMF_RRNA_BINDING GOMF_RRNA_BINDING	0.440	6.971	2.808	-1.211	-2.654	-0.811	0.906	0.274	-2.654	-2.654	-1.206
GOBP_CORNIFICATION GOBP_CORNIFICATION	-0.992	-0.992	-1.705	-3.600	2.199	5.630	-2.810	-2.195	2.199	-0.537	1.887
GOBP_MEMBRANE_INVAGINATION GOBP_MEMBRANE_INVAGINATION	-3.583	-3.583	-0.374	-0.903	9.824	2.292	-0.903	-1.167	-0.265	-0.687	0.789
GOBP_RNA_METHYLATION GOBP_RNA_METHYLATION	0.301	4.311	4.311	1.726	-2.511	-1.836	0.301	-0.301	-2.511	-1.336	-3.475
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	-0.580	-1.160	-0.580	-1.160	8.568	3.971	-1.160	-0.580	-1.160	-1.160	-1.157
GOBP_RIBOSOME_ASSEMBLY GOBP_RIBOSOME_ASSEMBLY	1.547	6.281	2.350	0.274	-2.654	-1.784	-0.527	0.274	-2.654	-2.654	-0.806
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	1.438	4.120	2.814	0.707	-4.152	-2.365	-0.360	0.249	-1.355	0.249	-4.139
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.419	3.242	5.591	1.220	-1.167	-2.010	0.762	-0.451	-2.603	-2.603	-3.360
GOMF_HELICASE_ACTIVITY GOMF_HELICASE_ACTIVITY	-2.484	-0.494	1.327	4.544	-4.378	-1.661	3.756	0.739	-0.650	0.585	-2.994
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	2.369	3.927	2.369	0.426	-4.860	-1.816	0.301	0.301	-1.408	-0.430	-3.740
GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY GOMF_S_ADENOSYLMETHIONINE_DEPENDENT_METHYLTRANSFERASE_ACTIVITY	0.585	4.142	2.392	2.392	-4.378	-1.339	0.337	0.451	-0.650	-2.039	-4.360
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	-3.261	-0.337	1.140	2.112	-2.251	-3.903	3.738	2.402	0.268	0.480	-3.245
GOCC_RESPIRASOME GOCC_RESPIRASOME	2.289	4.878	2.289	-0.270	-4.277	-2.467	-0.569	-0.398	-0.790	0.334	-3.209
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	1.426	3.989	3.005	1.120	-2.180	-1.091	0.428	-1.091	-1.091	-3.112	-3.102
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	-2.098	0.488	1.138	8.910	-2.098	-1.563	0.336	1.420	-0.833	-1.152	-2.798
GOMF_LIGASE_ACTIVITY GOMF_LIGASE_ACTIVITY	1.405	7.343	0.985	0.805	-4.597	-3.198	-0.319	0.384	-2.198	-1.182	-0.425
GOBP_DNA_GEOMETRIC_CHANGE GOBP_DNA_GEOMETRIC_CHANGE	-1.732	-0.756	1.543	4.572	-3.639	-0.756	2.871	0.467	-0.393	0.333	-4.720
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION	1.741	4.604	0.921	3.224	-4.152	-0.733	-0.360	-1.007	-1.355	-2.365	-1.790
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.738	-1.557	-1.261	-1.902	-0.798	-3.325	-1.902	-0.621	2.047	3.289	6.134
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	1.997	4.271	1.638	1.638	-1.644	-0.820	0.243	-0.820	-1.644	-3.236	-3.227
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE	0.984	3.620	-0.453	5.857	-1.492	-1.492	-0.453	-1.492	-1.492	-1.492	-0.825
GOMF_RNA_METHYLTRANSFERASE_ACTIVITY GOMF_RNA_METHYLTRANSFERASE_ACTIVITY	0.560	3.009	3.009	2.546	-1.927	-1.927	0.372	-0.390	-2.821	-1.332	-2.812
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	1.911	3.708	2.310	1.223	-2.987	-1.455	-0.288	-0.288	-2.987	-2.071	-1.449
GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY GOBP_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	-2.577	-1.340	-1.055	-0.818	9.033	3.701	0.495	-0.818	-0.623	-0.623	-1.672
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	0.505	0.985	3.120	4.618	-3.198	-1.468	1.185	-0.569	-0.431	-3.198	-3.182
GOBP_SPROUTING_ANGIOGENESIS GOBP_SPROUTING_ANGIOGENESIS	-0.867	-1.616	-1.616	-1.950	9.813	0.502	-3.286	-0.310	-0.412	1.135	0.960
GOBP_CYTOPLASMIC_TRANSLATION GOBP_CYTOPLASMIC_TRANSLATION	0.667	1.987	3.535	1.987	-4.235	-0.385	0.873	-0.553	-1.859	-1.859	-3.172
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	-0.447	0.263	0.452	3.954	-3.208	-0.726	3.612	0.859	-0.447	-0.447	-6.936
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	0.416	8.311	0.910	-0.365	-2.281	-1.466	-0.365	0.245	-2.281	0.416	-2.274
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	1.168	6.160	1.502	0.422	-2.696	-1.819	0.422	-0.835	-1.819	-0.344	-2.688
GOBP_DNA_DEPENDENT_DNA_REPLICATION GOBP_DNA_DEPENDENT_DNA_REPLICATION	-1.339	-0.494	1.564	4.142	-2.484	-1.339	3.388	1.111	-0.268	-1.339	-4.360
