GO	[-15.83 -0.96]	[-0.96 -0.54]	[-0.54 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.19]	[0.19 0.45]	[0.45 0.58]	[0.58 0.97]	[0.97 2.01]	[2.01 11.56]
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-0.301	12.276	3.831	1.322	-3.062	-0.398	-1.028	-2.598	-1.028	-2.598	-3.059
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-3.562	-1.613	0.614	0.614	-2.426	0.259	4.252	0.774	5.989	-0.806	-6.440
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	-1.027	6.556	2.725	3.039	-5.262	0.677	-0.382	-1.027	-0.647	-5.262	-1.548
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	-0.992	-2.278	-2.745	-2.745	4.863	0.355	-2.278	6.175	-2.745	0.469	2.677
MANNO_MIDBRAIN_NEUROTYPES_BASAL MANNO_MIDBRAIN_NEUROTYPES_BASAL	-1.198	2.336	3.683	3.204	-1.675	-0.244	0.539	-2.326	-0.383	-2.326	-3.275
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS	-1.407	-0.810	-0.810	-0.597	-4.859	-0.430	0.426	-0.810	2.039	8.651	-0.300
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	-1.446	-1.446	-1.446	-0.923	3.166	-1.446	-2.171	0.292	-0.555	0.823	8.467
AIZARANI_LIVER_C18_NK_NKT_CELLS_5 AIZARANI_LIVER_C18_NK_NKT_CELLS_5	-1.142	-1.900	-0.469	-0.866	-3.052	0.272	2.244	-1.482	2.244	6.641	-1.141
TRAVAGLINI_LUNG_NONCLASSICAL_MONOCYTE_CELL TRAVAGLINI_LUNG_NONCLASSICAL_MONOCYTE_CELL	-0.490	-1.010	-0.490	-0.490	-3.163	-0.277	1.914	-3.163	1.665	7.088	-1.247
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 AIZARANI_LIVER_C25_KUPFFER_CELLS_4	-1.403	-1.403	-0.318	-0.909	-3.549	-0.558	2.997	-1.403	2.380	5.236	-0.556
DESCARTES_FETAL_KIDNEY_STROMAL_CELLS DESCARTES_FETAL_KIDNEY_STROMAL_CELLS	-1.093	0.349	-1.384	-3.941	3.601	-0.851	-2.145	2.540	-0.851	0.349	3.232
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	-1.054	2.301	2.622	3.324	-4.755	0.496	0.496	-1.340	-0.623	-1.340	-1.338
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	1.406	-1.468	-1.804	-1.804	4.221	-0.737	-2.197	3.122	-1.468	-0.430	1.408
