GO	[-15.83 -0.92]	[-0.92 -0.54]	[-0.54 -0.27]	[-0.27 -0.05]	[-0.05 0.00]	[0.00 0.13]	[0.13 0.37]	[0.37 0.58]	[0.58 0.85]	[0.85 1.84]	[1.84 26.66]
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	0.554	-2.256	-1.173	-1.832	-2.256	-1.474	-0.921	-0.402	0.884	2.702	8.512
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	-0.415	-2.952	-2.952	-2.051	0.392	-0.545	-2.468	2.412	2.412	1.612	2.731
XIE_ST_HSC_S1PR3_OE_UP XIE_ST_HSC_S1PR3_OE_UP	-0.572	-2.860	-0.442	-1.681	-0.728	-1.386	-0.442	-0.572	0.269	3.117	8.056
HOELZEL_NF1_TARGETS_UP HOELZEL_NF1_TARGETS_UP	0.693	-2.485	-2.007	-0.311	-2.485	-0.767	0.291	-0.580	0.403	1.813	6.109
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	-1.528	-2.192	-1.260	-1.260	1.765	0.944	-3.061	0.301	0.635	0.781	4.960
HOLLERN_EMT_BREAST_TUMOR_DN HOLLERN_EMT_BREAST_TUMOR_DN	0.515	-1.928	-0.661	-1.508	-0.885	-1.928	-0.661	0.515	-0.661	2.901	6.048
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3 MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	-0.283	-0.940	-1.535	-2.395	1.144	-0.539	-2.962	0.580	1.379	0.745	3.640
LIEN_BREAST_CARCINOMA_METAPLASTIC LIEN_BREAST_CARCINOMA_METAPLASTIC	-1.367	-0.733	-1.367	-0.733	-0.385	-0.385	-1.367	0.754	0.453	3.306	2.098
CHEBOTAEV_GR_TARGETS_UP CHEBOTAEV_GR_TARGETS_UP	0.243	-1.643	0.243	-2.290	-0.820	0.243	-1.171	-0.820	1.313	3.269	2.006
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	-1.127	-1.127	-0.572	-0.572	-0.812	-0.391	-1.534	-0.572	2.496	2.496	2.130
SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER	-1.158	-1.158	-1.158	-0.411	-0.228	-0.702	0.920	-0.228	-0.702	1.677	3.204
FIGUEROA_AML_METHYLATION_CLUSTER_6_DN FIGUEROA_AML_METHYLATION_CLUSTER_6_DN	0.614	0.359	-1.533	-1.533	-0.477	0.359	0.359	-0.477	0.614	-0.860	2.885
