GO	[-6.26 -0.87]	[-0.87 -0.53]	[-0.53 -0.29]	[-0.29 -0.08]	[-0.08 0.00]	[0.00 0.11]	[0.11 0.33]	[0.33 0.58]	[0.58 0.81]	[0.81 1.70]	[1.70 26.66]
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-1.426	-2.949	-2.949	-2.949	19.801	8.198	-2.949	-1.426	-0.987	-0.987	-2.952
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-1.349	-1.045	-2.709	-4.224	7.545	5.459	-4.224	-2.165	1.359	-0.596	1.355
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	-1.321	-3.163	-3.703	-3.163	7.395	1.940	-3.163	-0.552	-0.326	0.278	6.921
REACTOME_ANTIMICROBIAL_PEPTIDES REACTOME_ANTIMICROBIAL_PEPTIDES	-0.660	-1.683	-2.235	-2.962	6.025	6.604	-2.962	-0.920	2.640	-2.235	-0.463
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	3.941	8.476	1.584	-0.312	-1.683	-0.920	0.290	-1.683	-2.962	-3.992	-2.238
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	2.549	6.810	5.045	-0.354	-0.778	-2.617	-0.469	-0.609	-2.617	-1.814	-5.177
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	0.272	4.203	4.203	2.966	-1.144	-1.144	0.531	-0.469	-3.876	-4.995	-3.064
REACTOME_PROTEIN_LOCALIZATION REACTOME_PROTEIN_LOCALIZATION	2.158	3.447	3.813	2.767	-1.205	-0.754	-0.754	-2.232	-4.649	-2.696	-1.208
REACTOME_TRNA_PROCESSING REACTOME_TRNA_PROCESSING	0.684	6.362	3.877	0.512	-0.952	-0.357	0.251	-1.653	-2.746	-2.746	-2.750
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-1.710	-0.585	3.103	1.946	-0.744	0.582	3.103	0.352	-0.585	-1.154	-7.860
REACTOME_DNA_REPLICATION REACTOME_DNA_REPLICATION	-0.301	0.564	4.151	1.145	-1.025	-0.779	4.151	-0.779	-1.325	-2.136	-4.190
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	1.110	-1.555	-4.256	-2.636	0.497	-1.868	0.293	0.293	0.931	1.997	3.807
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	3.596	1.781	0.582	0.388	-1.303	-0.885	-1.303	-1.893	-1.893	-1.893	2.613
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	1.085	5.694	0.477	0.749	-0.599	-1.024	-0.336	-1.024	-0.599	-1.742	-1.744
REACTOME_CELL_CELL_COMMUNICATION REACTOME_CELL_CELL_COMMUNICATION	-0.448	-0.611	-1.372	-1.744	-1.744	-1.744	-0.448	0.697	2.179	2.857	2.174
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.457	-1.624	-2.168	-2.168	1.659	-0.624	-1.203	1.659	0.313	0.457	2.741
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	-0.430	-0.581	-2.493	-3.070	0.292	-0.430	-0.311	-0.311	1.078	0.875	4.719
REACTOME_SULFUR_AMINO_ACID_METABOLISM REACTOME_SULFUR_AMINO_ACID_METABOLISM	-0.580	3.978	0.607	1.965	-1.160	-0.580	-0.279	-1.160	-1.160	-0.580	-0.280
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	-1.683	-0.312	1.290	0.290	-0.660	0.290	3.941	0.290	0.795	-1.254	-2.966
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	0.245	0.416	1.604	3.522	-0.949	-2.282	-0.365	-0.600	-0.600	0.638	-1.469
REACTOME_GLUCURONIDATION REACTOME_GLUCURONIDATION	-0.491	-1.036	-1.036	-1.036	2.252	0.727	-0.491	1.150	-1.036	-0.222	1.148
REACTOME_AMINO_ACIDS_REGULATE_MTORC1 REACTOME_AMINO_ACIDS_REGULATE_MTORC1	0.245	1.234	0.416	3.522	0.638	-0.949	-0.365	-0.949	-0.365	-2.282	-0.951
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	-0.301	0.751	0.499	1.057	-2.116	-0.513	-0.837	2.275	-2.116	0.302	0.301
REACTOME_NUCLEOBASE_BIOSYNTHESIS REACTOME_NUCLEOBASE_BIOSYNTHESIS	1.386	2.868	-0.223	0.824	-0.621	-0.621	-0.621	-0.621	-0.621	-0.621	-0.223
