GO	[-10.07 -0.88]	[-0.88 -0.52]	[-0.52 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.07]	[0.07 0.31]	[0.31 0.58]	[0.58 0.78]	[0.78 1.72]	[1.72 26.66]
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	-0.661	-4.074	-3.419	-7.070	24.419	7.826	-4.854	-2.385	0.424	-1.063	-0.851
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION	4.636	13.899	4.204	-0.362	-5.567	-1.845	0.478	-2.863	-3.546	-5.567	-5.581
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-1.077	-3.693	-1.077	-1.476	12.271	10.013	-1.077	-0.770	-1.476	-1.476	-3.702
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-0.562	5.945	4.366	4.006	-4.337	-1.928	2.157	-0.888	-5.054	-1.334	-5.072
GOBP_TRNA_PROCESSING GOBP_TRNA_PROCESSING	2.172	9.139	3.215	0.534	-4.251	-1.739	0.534	-1.063	-1.739	-2.733	-5.414
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	2.385	6.680	2.765	1.138	-4.192	-3.144	0.359	-1.380	-3.144	-0.536	-4.203
GOBP_SISTER_CHROMATID_SEGREGATION GOBP_SISTER_CHROMATID_SEGREGATION	-4.404	-0.738	1.397	2.097	-2.760	-3.780	3.917	3.576	0.443	-0.264	-2.354
GOBP_CORNIFICATION GOBP_CORNIFICATION	-0.991	-0.991	-1.703	-3.599	6.708	1.579	-2.808	-2.194	2.202	-0.536	1.868
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.739	-1.555	-1.260	-1.901	-0.620	-3.970	-1.901	-0.474	1.784	3.295	6.088
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	-1.656	-0.800	-2.545	-0.800	1.249	5.477	-3.126	-1.034	3.375	-1.034	1.241
GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE	0.647	4.318	-0.453	5.064	-0.828	-1.491	-0.453	-1.491	-1.491	-1.491	-0.831
GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA GOBP_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA	0.397	2.048	2.879	0.254	-3.194	-0.354	2.879	-0.797	-2.252	-2.252	-0.801
GOBP_VACUOLE_ORGANIZATION GOBP_VACUOLE_ORGANIZATION	-3.548	0.382	1.360	1.589	-5.968	-0.557	0.382	1.589	0.382	1.150	-0.723
