GO	[-7.51 -0.90]	[-0.90 -0.53]	[-0.53 -0.27]	[-0.27 -0.05]	[-0.05 0.00]	[0.00 0.13]	[0.13 0.37]	[0.37 0.58]	[0.58 0.86]	[0.86 1.86]	[1.86 26.66]
GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_DN	1.927	10.320	1.927	5.575	-3.147	-2.677	-1.078	-0.873	-2.266	-5.017	-4.298
GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP GSE22432_PDC_VS_TGFB1_TREATEDCOMMON_DC_PROGENITOR_UP	0.721	7.255	1.899	7.255	-2.705	-0.562	0.463	-1.335	-3.716	-5.052	-6.911
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	1.417	3.954	5.066	3.954	-4.369	-2.732	0.859	0.571	-3.747	-5.088	-5.929
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	-0.264	5.013	6.240	1.611	-1.653	-0.351	1.194	-1.129	-3.779	-2.759	-8.317
GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_DN GSE17322_CD103_POS_VS_CD11B_HIGH_LUNG_DC_DN	2.673	5.464	1.417	5.066	-5.933	-0.903	-0.447	-2.732	-0.725	-2.732	-3.203
GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP	0.992	7.986	2.897	0.992	-2.786	-0.752	0.827	-1.146	-1.392	-1.998	-8.359
GSE14000_UNSTIM_VS_4H_LPS_DC_UP GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.507	7.062	1.766	2.277	-1.259	-1.528	2.556	-1.837	-2.191	-3.060	-5.741
GSE29618_MONOCYTE_VS_PDC_UP GSE29618_MONOCYTE_VS_PDC_UP	-2.341	-1.373	-0.457	-1.974	-5.971	-2.341	1.394	0.843	1.844	10.070	0.443
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN GSE46606_UNSTIM_VS_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_DN	0.736	4.406	5.172	1.927	-8.196	-0.873	0.368	-1.905	-1.590	-1.316	-1.314
GSE42021_CD24INT_TREG_VS_CD24INT_TCONV_THYMUS_UP GSE42021_CD24INT_TREG_VS_CD24INT_TCONV_THYMUS_UP	0.341	6.240	2.638	2.638	-3.779	-2.341	1.611	-0.739	-3.235	-0.739	-4.398
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN	0.597	1.687	3.046	4.044	-5.017	-1.078	2.183	-0.551	-5.017	-0.427	-4.298
