GO	[-15.83 -0.95]	[-0.95 -0.45]	[-0.45 -0.09]	[-0.09 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.58]	[0.58 0.66]	[0.66 1.74]	[1.74 26.66]
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	0.692	12.767	17.083	-0.457	-8.302	-8.302	-0.737	1.191	-5.955	-3.226	-8.292
HALLMARK_OXIDATIVE_PHOSPHORYLATION HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.008	22.626	9.493	-0.585	-8.302	-6.977	-1.649	0.841	-5.109	-3.226	-6.968
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	1.686	24.313	5.336	-2.197	-7.428	-7.428	0.440	-0.363	-5.173	-1.504	-7.419
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	1.211	12.287	9.572	-1.109	-8.260	-8.260	-0.724	4.290	-5.917	-2.724	-5.909
GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP	0.341	8.011	15.170	-3.226	-8.302	-8.302	1.008	2.627	-3.226	-1.649	-6.968
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-3.587	-4.330	-5.250	2.125	13.768	13.768	-0.260	-6.472	-0.481	-5.250	-3.580
GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_2H_UP	-1.969	10.539	10.010	-1.969	-8.302	-8.302	0.841	1.606	-4.390	1.838	-6.968
GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_DN GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_DN	-3.081	3.110	10.428	-1.545	-8.094	-8.094	1.102	4.862	-5.768	3.431	-5.759
GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	0.858	13.452	9.572	-1.628	-6.938	-8.260	0.571	1.211	-6.938	-1.109	-5.066
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN	-3.226	3.891	11.631	-1.127	-6.977	-8.302	2.627	5.788	-4.390	-0.264	-6.968
GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_DAY15_LCMV_EFFECTOR_CD8_TCELL_UP	-1.649	7.542	15.797	-1.127	-8.302	-8.302	0.442	3.230	-2.751	-1.127	-5.101
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	-7.017	-0.359	5.731	-0.932	-8.344	-7.017	3.512	10.992	-3.255	3.512	-4.415
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	-1.607	8.641	9.652	-1.923	-8.219	-8.219	0.271	5.492	-4.323	0.583	-5.030
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP	0.285	6.021	14.982	-2.235	-8.135	-8.135	0.609	3.071	-4.968	-0.856	-4.249
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN	-2.310	9.572	10.624	-1.946	-8.260	-8.260	0.571	3.936	-2.724	0.263	-5.066
GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP	-1.946	0.350	14.659	-1.350	-6.938	-8.260	0.571	10.092	-3.737	1.026	-5.066
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN	-3.768	0.442	0.558	-2.335	-8.302	-8.302	2.627	4.988	-3.768	17.083	-1.365
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_DN	0.473	4.759	13.654	-3.675	-8.177	-6.859	0.735	3.349	-6.859	0.278	-3.667
GSE14000_UNSTIM_VS_4H_LPS_DC_UP GSE14000_UNSTIM_VS_4H_LPS_DC_UP	0.396	10.514	8.946	-0.516	-8.052	-8.052	0.635	2.006	-5.730	-1.025	-5.722
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_UP	-4.357	-0.447	3.936	-2.310	-8.260	-8.260	2.662	12.287	-1.946	4.658	-3.190
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	-0.710	11.256	10.175	-1.092	-8.219	-8.219	2.413	0.720	-4.323	-1.331	-3.698
MORF_RAB1A MORF_RAB1A	-2.966	4.683	13.067	-0.976	-7.927	-7.927	2.096	2.365	-2.510	0.425	-6.613
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-3.768	3.553	11.631	-0.351	-8.302	-8.302	1.390	3.553	-2.335	0.841	-6.968
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP	-0.447	5.845	12.287	-0.902	-8.260	-8.260	0.571	3.936	-3.737	-0.724	-5.909
GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP GSE46468_LUNG_INNATE_LYMPHOID_CELL_VS_SPLEEN_CD4_TCELL_UP	-1.238	1.555	7.091	-1.009	-8.011	-8.011	3.188	9.024	-2.563	-0.293	-8.001
GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	-0.351	6.207	11.631	-1.369	-8.302	-8.302	-0.351	2.349	-5.109	1.390	-5.101
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	-0.902	3.936	12.864	-1.350	-8.260	-8.260	0.858	5.041	-4.357	-0.342	-4.349
GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_DN	-2.563	7.091	10.601	-1.503	-8.011	-8.011	0.309	4.966	-2.161	0.405	-4.855
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	-3.197	5.845	11.167	0.350	-8.260	-8.260	0.858	1.631	-3.197	1.211	-5.909
GSE39864_WT_VS_GATA3_KO_TREG_DN GSE39864_WT_VS_GATA3_KO_TREG_DN	-0.585	5.788	13.352	-1.649	-8.302	-8.302	-0.737	1.606	-4.390	2.085	-3.219
GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_UP GSE19888_CTRL_VS_T_CELL_MEMBRANES_ACT_MAST_CELL_UP	-1.649	3.230	15.170	-1.369	-8.302	-6.977	2.349	2.085	-4.390	0.442	-4.382
GSE14350_TREG_VS_TEFF_UP GSE14350_TREG_VS_TEFF_UP	-5.917	1.413	6.702	-1.628	-8.260	-6.938	2.662	6.702	-4.357	3.269	-2.304
