GO	[-10.12 -1.00]	[-1.00 -0.51]	[-0.51 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.19]	[0.19 0.61]	[0.61 1.73]	[1.73 23.61]
chrYp11 chrYp11	-0.754	-2.221	-4.726	-0.551	0.333	37.194	0.467	-2.221	-3.631	-2.838	-2.843
chr19p12 chr19p12	0.252	-1.259	-0.701	-1.259	-2.128	-2.735	-3.517	17.348	0.683	-0.356	0.509
chrXq27 chrXq27	-0.382	-1.196	-1.673	-1.196	15.756	1.947	-1.673	-2.323	-1.196	-1.673	0.366
chr7q34 chr7q34	-0.594	-2.146	-2.146	-1.461	6.790	1.286	0.353	5.041	-3.063	-0.759	-1.193
chr13q31 chr13q31	-0.324	-1.275	-0.938	-2.990	-0.475	13.283	-0.676	0.279	-1.706	-0.475	0.574
chr5p15 chr5p15	-0.285	-0.381	-0.285	-1.265	-1.024	-5.246	10.020	1.197	-0.501	-1.265	0.417
chr17q12 chr17q12	0.439	-0.938	0.745	-0.395	-2.955	-5.681	-1.921	4.871	0.745	1.377	0.742
chr11p11 chr11p11	-0.607	1.028	0.274	0.509	0.509	-3.119	9.091	-0.607	-3.824	-0.607	-1.036
chr2q22 chr2q22	-0.240	-0.605	-1.924	-1.330	-0.240	10.945	-0.605	0.560	-0.908	-1.330	-0.391
chrXq13 chrXq13	1.403	-0.849	-0.651	-0.359	2.866	2.220	-6.014	-0.849	0.349	-1.727	0.774
chr2q21 chr2q21	0.403	-0.429	-1.604	-0.429	-0.579	9.875	-0.579	-0.766	-2.479	-0.579	0.690
chr5q13 chr5q13	-0.351	-0.485	1.020	-0.485	-2.825	-2.271	7.666	-0.351	0.820	-0.485	-1.126
chr6q22 chr6q22	0.594	-1.784	-0.291	0.312	8.119	-1.784	-1.784	-1.380	-0.291	-0.417	0.772
chr4q35 chr4q35	1.254	-1.706	-2.260	-1.706	0.997	-2.990	4.324	0.576	-0.324	0.771	-0.325
chrXq26 chrXq26	-0.773	-1.252	-1.252	0.500	1.676	1.944	-3.485	3.206	-0.446	-2.363	0.991
chr18p11 chr18p11	-0.683	-0.683	-0.538	-1.058	-0.417	-2.642	6.025	3.392	0.377	-0.856	-0.859
chr7p11 chr7p11	0.277	0.620	0.277	-0.505	0.277	8.316	-1.089	-1.089	-1.547	-1.089	-0.754
chr21q11 chr21q11	0.409	-1.864	-1.123	0.654	2.204	3.896	-0.675	-0.392	-1.864	-1.123	0.225
