GO	[-10.12 -0.97]	[-0.97 -0.58]	[-0.58 -0.31]	[-0.31 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.14]	[0.14 0.41]	[0.41 0.78]	[0.78 1.84]	[1.84 23.61]
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	2.629	10.472	3.034	-0.461	-2.230	-3.984	-1.252	0.426	-2.230	-3.984	-2.225
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	2.242	7.217	5.844	0.577	-2.177	-5.147	-0.776	-0.262	-1.806	-1.806	-5.137
SCHUHMACHER_MYC_TARGETS_UP SCHUHMACHER_MYC_TARGETS_UP	5.780	7.685	0.724	0.724	-1.707	-3.318	-1.707	-1.225	-0.595	-3.318	-2.358
DANG_MYC_TARGETS_UP DANG_MYC_TARGETS_UP	2.168	6.862	2.168	1.326	-2.733	-4.250	-1.368	-0.448	-1.063	-0.813	-2.726
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	7.869	1.726	2.082	0.636	-0.457	-3.485	-2.510	-1.335	-1.835	-0.957	-1.332
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	3.102	3.688	0.370	2.561	-1.191	-1.948	-0.729	-0.431	-1.948	-1.948	-1.945
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	2.289	4.302	1.168	0.876	0.262	-2.695	-1.241	-0.344	-1.241	-2.695	-1.815
BURTON_ADIPOGENESIS_5 BURTON_ADIPOGENESIS_5	3.865	3.865	1.164	1.164	-1.843	-2.981	-0.443	-1.843	-0.829	-0.829	-1.427
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	2.353	4.124	1.862	-0.354	-1.782	-1.782	-1.057	0.453	-1.057	-1.057	-1.779
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	4.080	3.140	0.404	0.404	-1.420	-2.621	-1.029	-1.420	-1.029	-1.933	1.609
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	3.079	2.174	0.581	0.388	-0.884	-1.890	-0.884	-1.890	-1.890	-1.890	2.615
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION	2.840	2.840	0.576	1.220	-1.540	-3.371	-1.166	-1.540	-0.634	-1.540	1.224
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	2.147	1.426	0.850	1.769	-1.548	-2.180	-1.091	-2.180	-1.091	-1.548	2.153
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	3.140	3.596	0.267	0.267	-1.420	-2.621	-0.505	-0.730	-1.933	-1.420	1.609
IRITANI_MAD1_TARGETS_DN IRITANI_MAD1_TARGETS_DN	2.134	2.640	2.134	-0.228	-1.157	-1.906	-0.702	0.389	-0.411	-1.906	-1.903
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	2.901	1.772	0.693	0.504	-2.064	-2.769	-0.812	-0.572	-1.534	-1.534	2.503
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3 REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	2.673	1.459	0.604	0.250	-1.855	-1.855	-0.359	-1.271	-1.855	-1.271	3.159
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	3.755	2.389	0.772	-0.368	-2.289	-1.643	-1.171	-0.368	-0.559	-2.289	1.028
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	2.334	3.109	0.492	1.108	-1.407	-3.182	-0.552	-1.051	-1.407	-1.407	1.112
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	3.806	3.392	0.716	-0.629	-1.457	-0.322	0.400	-2.381	-2.381	-1.120	0.283
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	2.602	1.856	0.539	0.539	-2.695	-2.695	-1.077	-0.538	-0.771	-0.538	1.533
REACTOME_DNA_METHYLATION REACTOME_DNA_METHYLATION	2.808	1.547	0.440	0.275	-1.211	-1.211	-1.211	-1.211	-1.211	-1.211	2.814
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	2.425	0.737	-0.263	0.342	-1.998	-1.998	-0.421	0.997	1.297	-2.903	-0.262
LENAOUR_DENDRITIC_CELL_MATURATION_UP LENAOUR_DENDRITIC_CELL_MATURATION_UP	2.076	-0.291	0.439	-0.291	-1.787	-1.787	-1.055	-1.787	-0.792	2.412	2.420
BROWN_MYELOID_CELL_DEVELOPMENT_DN BROWN_MYELOID_CELL_DEVELOPMENT_DN	3.362	1.679	0.945	-0.566	-1.002	-2.636	-2.100	0.432	0.311	0.578	-1.294
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	2.254	1.188	0.907	0.463	-1.486	-2.107	-0.710	-0.710	-1.038	-1.486	2.260
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	2.945	2.200	0.312	0.312	-1.120	-3.295	-0.424	-1.120	-0.291	-1.120	1.031
COLLER_MYC_TARGETS_UP COLLER_MYC_TARGETS_UP	3.048	2.357	0.426	0.426	-0.994	-0.994	-0.994	-0.994	-0.462	-0.462	-0.461
REACTOME_MEIOTIC_RECOMBINATION REACTOME_MEIOTIC_RECOMBINATION	2.363	1.052	0.807	0.419	-2.584	-1.900	-0.711	-0.711	-0.711	-0.711	1.994
REACTOME_AMYLOID_FIBER_FORMATION REACTOME_AMYLOID_FIBER_FORMATION	2.031	2.739	0.928	-0.909	-0.479	-0.909	-1.213	-0.479	-1.594	-1.594	1.431
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	2.310	1.223	0.481	0.314	-1.455	-2.071	-0.689	-0.454	-0.689	-1.455	2.316
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN	3.282	0.276	0.768	-0.436	-1.423	-2.522	-2.522	-0.327	0.938	0.618	0.621
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	2.969	0.976	-0.265	-0.687	-2.895	-0.373	-0.903	-0.903	0.340	-0.903	2.299
WP_PYRIMIDINE_METABOLISM WP_PYRIMIDINE_METABOLISM	2.034	0.831	0.615	1.367	-0.473	-2.547	0.289	-0.313	-0.981	0.289	-1.863
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	2.201	1.886	0.263	1.086	-1.507	-1.164	-0.885	-0.482	-0.885	-1.164	0.874
