GO	[-10.12 -0.97]	[-0.97 -0.59]	[-0.59 -0.32]	[-0.32 -0.10]	[-0.10 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.42]	[0.42 0.80]	[0.80 1.88]	[1.88 23.61]
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	-0.543	6.040	8.004	5.149	-1.143	-5.456	-0.543	0.301	-2.599	-6.693	-6.674
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	0.514	5.130	8.832	1.156	-2.746	-6.322	-1.594	1.156	-0.674	-2.746	-4.507
BENPORATH_PROLIFERATION BENPORATH_PROLIFERATION	-2.728	1.568	1.325	3.449	-3.326	-6.151	-0.697	2.420	4.227	-0.904	-4.933
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	-1.260	-2.597	-1.260	-1.528	3.486	7.058	-3.592	-1.528	-2.597	0.635	4.960
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-1.637	0.767	2.879	3.881	-1.347	-6.401	1.114	0.767	0.491	0.285	-6.381
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13	0.721	5.002	2.530	2.835	-3.102	-5.149	-0.354	-0.262	-0.262	-1.487	-4.333
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	-1.731	-0.693	-1.124	-0.293	-0.693	-5.417	-2.570	-0.293	2.587	9.162	1.264
HOLLERN_SQUAMOUS_BREAST_TUMOR HOLLERN_SQUAMOUS_BREAST_TUMOR	0.301	-2.026	-2.440	-1.669	3.074	7.656	-1.669	-1.362	-2.922	-0.301	3.093
WANG_CLIM2_TARGETS_DN WANG_CLIM2_TARGETS_DN	-3.808	0.409	-0.392	2.995	0.309	-5.298	1.177	4.395	1.385	-1.572	-2.704
ZHENG_FOXP3_TARGETS_IN_THYMUS_UP ZHENG_FOXP3_TARGETS_IN_THYMUS_UP	-5.053	0.270	-0.562	-0.562	-1.095	-6.916	1.046	3.006	3.321	1.660	0.274
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	-2.395	1.635	1.379	0.580	-0.940	-5.692	0.580	1.635	3.622	-0.940	-3.640
JISON_SICKLE_CELL_DISEASE_DN JISON_SICKLE_CELL_DISEASE_DN	-2.411	0.736	2.804	3.117	-0.442	-6.480	0.360	1.270	1.270	-2.021	-2.008
