GO	[-10.12 -0.92]	[-0.92 -0.57]	[-0.57 -0.32]	[-0.32 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.45]	[0.45 0.82]	[0.82 1.83]	[1.83 10.85]
MIR4255 MIR4255	-2.441	0.301	-0.405	0.662	-2.441	-3.485	0.662	0.403	5.362	1.194	-0.408
MIR4436B_5P MIR4436B_5P	-3.094	-0.320	0.854	1.275	-1.632	-2.516	0.392	2.072	2.072	0.523	-1.302
MIR1825 MIR1825	0.824	0.518	0.661	-0.722	-0.555	-5.499	0.824	1.676	1.676	-0.419	-2.180
MIR6807_3P MIR6807_3P	0.661	-1.318	-0.800	0.510	-2.062	-3.834	1.031	2.667	1.490	-0.800	0.829
MIR487A_3P MIR487A_3P	-2.433	-2.433	-0.385	1.110	0.492	-2.433	0.668	2.714	0.492	0.874	-0.387
MIR513C_5P MIR513C_5P	-0.909	-0.717	0.382	0.498	0.498	-4.214	0.786	2.101	2.384	-0.425	-1.723
MIR619_5P MIR619_5P	-0.734	-1.231	1.354	-0.292	-1.231	-3.690	0.914	0.566	2.500	0.914	-0.556
MIR3064_3P MIR3064_3P	-2.251	-1.221	-0.452	0.481	-0.337	-2.716	0.481	0.481	3.746	1.143	0.362
MIR1289 MIR1289	0.542	-2.446	-0.434	-1.606	1.793	-0.691	0.346	0.542	-0.260	2.679	-1.067
MIR6773_5P MIR6773_5P	-0.524	0.858	-1.616	0.320	-0.925	-0.524	0.320	-0.925	0.555	-0.925	4.622
MIR1183 MIR1183	-3.264	-1.276	-0.551	0.321	0.321	-0.743	0.770	2.673	1.716	0.595	-0.987
MIR4685_3P MIR4685_3P	1.650	-1.022	0.564	-1.322	-0.423	-4.175	0.420	0.732	1.384	-0.423	0.727
MIR652_5P MIR652_5P	0.985	-1.492	0.647	-0.453	0.647	-1.492	0.647	0.381	1.861	-1.492	-0.830
MIR4257 MIR4257	-2.101	-0.566	0.579	1.168	-1.299	-3.299	1.168	0.947	0.751	0.751	0.309
MIR3144_3P MIR3144_3P	-0.489	-0.489	1.285	-2.571	0.479	-1.151	0.702	2.478	-0.489	0.702	-1.155
MIR767_3P MIR767_3P	-2.043	1.749	-0.537	-2.043	-2.043	-0.272	0.611	0.611	1.220	-0.272	1.465
MIR600 MIR600	-1.296	-1.015	0.677	0.392	0.283	-0.441	-3.094	2.709	1.519	0.677	-0.788
MIR4777_3P MIR4777_3P	-2.903	-0.960	-0.263	0.519	0.998	-0.647	2.876	-0.647	0.998	-0.421	-0.423
MIR1537_5P MIR1537_5P	-1.164	-0.660	0.680	-1.507	0.871	-1.928	1.890	1.598	1.331	-0.660	-0.890
MIR4778_5P MIR4778_5P	0.277	-0.926	-1.738	-0.570	0.373	-2.524	1.563	1.807	2.070	0.277	-0.574
MIR339_5P MIR339_5P	-1.038	-1.486	1.189	-1.038	-0.710	-0.710	2.257	-0.471	2.684	-0.471	0.300
MIR6719_3P MIR6719_3P	-0.904	-1.957	-1.186	0.254	2.501	-1.957	1.063	0.254	1.302	0.663	0.252
MIR6830_5P MIR6830_5P	-0.994	-1.488	-1.223	2.077	0.416	-1.793	1.825	-0.994	0.815	1.167	0.314
MIR6806_5P MIR6806_5P	0.791	-0.606	-1.926	0.791	-0.606	-1.926	-0.240	0.373	3.012	0.560	-0.608
MIR6775_3P MIR6775_3P	1.145	-0.934	2.951	-0.289	-0.934	-0.934	-0.442	0.468	-1.803	-0.652	1.435
MIR6716_5P MIR6716_5P	0.408	-0.435	-0.311	-1.043	0.549	-0.795	4.075	0.292	0.292	-2.702	0.405
MIR4705 MIR4705	-2.014	-0.376	-0.376	-1.584	0.473	-1.584	0.628	0.628	1.015	2.765	-0.266
MIR487A_5P MIR487A_5P	-2.637	-0.650	0.281	0.954	0.281	-2.637	0.954	0.742	0.281	1.193	0.403
MIR7974 MIR7974	-0.750	-1.966	0.257	1.902	-0.750	-1.448	0.390	-0.351	0.390	0.257	2.651
MIR10526_3P MIR10526_3P	-0.322	-1.120	2.636	0.717	-1.120	-1.457	0.546	0.401	0.915	-1.872	0.542
