GO	[-10.12 -0.93]	[-0.93 -0.57]	[-0.57 -0.30]	[-0.30 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.38]	[0.38 0.74]	[0.74 1.74]	[1.74 23.61]
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.738	-1.556	-1.261	-1.901	-0.475	0.908	-2.304	-0.798	-1.261	2.634	7.056
GOMF_GROWTH_FACTOR_BINDING GOMF_GROWTH_FACTOR_BINDING	0.746	-0.718	-1.209	-4.522	-1.209	-0.283	-1.209	0.439	0.320	1.380	6.318
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	-0.476	-1.277	0.412	-4.026	1.860	-1.709	-1.277	-0.476	0.279	1.543	4.337
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.388	-1.234	-1.543	-3.460	1.227	3.629	0.388	-2.852	-0.435	0.513	2.276
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	1.036	-0.385	-3.419	-2.386	0.318	0.423	0.318	-1.321	-0.385	-0.285	6.842
GOBP_GRANULOCYTE_CHEMOTAXIS GOBP_GRANULOCYTE_CHEMOTAXIS	-3.122	-3.122	-0.677	-1.533	0.849	1.062	-0.496	-0.354	0.254	2.163	3.640
GOBP_NERVE_DEVELOPMENT GOBP_NERVE_DEVELOPMENT	-0.405	-1.362	-0.935	-0.626	0.357	-0.251	-0.251	-2.862	-0.626	0.764	7.726
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	-0.765	-1.409	0.216	-1.409	-1.409	0.716	0.427	-0.407	-0.765	0.216	7.106
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.511	-3.523	-2.740	-2.132	0.683	1.953	0.252	-0.507	0.368	0.511	3.029
GOMF_CHEMOKINE_ACTIVITY GOMF_CHEMOKINE_ACTIVITY	-1.948	-1.191	-1.191	-0.729	2.067	1.621	-1.191	-0.729	-0.431	-0.242	4.321
GOMF_CHEMOKINE_RECEPTOR_BINDING GOMF_CHEMOKINE_RECEPTOR_BINDING	-1.855	-0.859	-1.855	-0.859	2.675	1.826	-1.271	-0.859	0.250	-0.359	3.669
GOBP_SYNAPSE_ASSEMBLY GOBP_SYNAPSE_ASSEMBLY	0.382	-1.403	0.498	-2.076	1.149	-0.718	-1.136	-0.718	-2.076	1.587	5.667
GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY	0.426	-1.680	0.794	-2.957	2.630	-0.918	-0.918	-0.461	-1.680	1.025	3.039
GOBP_CRANIAL_NERVE_DEVELOPMENT GOBP_CRANIAL_NERVE_DEVELOPMENT	0.226	-0.676	-1.124	-1.124	0.654	-0.392	0.226	-1.865	-0.676	0.226	7.591
GOBP_ARTERY_MORPHOGENESIS GOBP_ARTERY_MORPHOGENESIS	-0.960	-0.960	-0.421	-0.263	-1.998	0.998	0.738	-1.393	-1.393	0.519	6.236
GOBP_GRANULOCYTE_MIGRATION GOBP_GRANULOCYTE_MIGRATION	-2.667	-3.259	-0.502	-1.406	0.457	1.379	-0.370	-0.502	0.339	2.189	3.185
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	-0.685	-1.883	0.285	-3.119	0.751	-0.858	-0.539	-0.417	-0.317	1.714	5.641
GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.301	-2.571	-1.712	-1.152	-0.762	2.038	-0.301	-0.762	0.478	0.478	4.013
GOBP_ARTERY_DEVELOPMENT GOBP_ARTERY_DEVELOPMENT	-1.226	-0.446	-0.446	-0.446	-2.919	0.817	0.613	-1.226	-0.641	0.613	6.094
GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY GOMF_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.301	-3.725	-1.252	-0.977	-0.301	0.710	-0.977	-0.301	0.551	0.551	5.683
GOBP_NEUTROPHIL_CHEMOTAXIS GOBP_NEUTROPHIL_CHEMOTAXIS	-3.145	-2.398	-0.537	-1.381	0.687	0.508	-0.372	-0.372	0.508	2.029	3.171
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	-1.157	-0.411	-1.907	-0.228	-0.702	-1.907	-0.228	-0.702	1.678	2.135	2.643
GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY GOBP_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	0.346	-1.064	0.541	-2.446	2.677	-1.606	-1.064	-0.260	-1.064	1.075	2.216
GOBP_CARDIAC_CHAMBER_DEVELOPMENT GOBP_CARDIAC_CHAMBER_DEVELOPMENT	-1.543	-0.435	0.283	-0.580	-1.543	-0.319	-0.975	-0.580	-0.435	1.017	7.704
GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	-2.651	-0.417	-1.297	-0.539	-0.858	-1.297	-0.417	0.285	0.751	4.092	3.090
GOCC_SARCOLEMMA GOCC_SARCOLEMMA	1.732	-0.671	-1.845	-1.463	-0.499	-2.306	-0.671	1.464	-0.499	0.801	3.790
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	0.966	-0.397	-1.225	-1.225	-1.707	-0.865	-0.595	-0.255	-0.595	1.243	5.787
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	-0.904	-1.186	-0.677	-0.354	0.500	0.364	1.301	-0.904	-3.122	0.500	4.969
GOBP_INNER_EAR_MORPHOGENESIS GOBP_INNER_EAR_MORPHOGENESIS	2.167	-1.505	-0.555	-2.031	-0.791	1.492	-0.555	-1.102	-0.377	-0.377	3.869
