GO	[-7.55 -0.93]	[-0.93 -0.59]	[-0.59 -0.35]	[-0.35 -0.14]	[-0.14 0.00]	[0.00 0.02]	[0.02 0.24]	[0.24 0.50]	[0.50 0.87]	[0.87 1.95]	[1.95 23.61]
MODULE_92 MODULE_92	-0.544	-1.181	-3.383	-1.484	-0.293	7.503	-2.272	-2.272	0.554	1.549	2.438
MODULE_289 MODULE_289	1.017	-2.556	-2.556	-1.593	-0.264	4.868	-2.026	-0.526	-0.948	0.809	3.594
MODULE_146 MODULE_146	0.668	-1.056	-1.867	-1.056	-1.056	4.489	-1.414	-1.414	-0.774	0.874	4.054
MODULE_298 MODULE_298	-0.521	-1.079	-1.079	-1.079	1.580	3.513	-1.079	-1.079	-0.521	-0.521	2.815
MODULE_68 MODULE_68	-0.521	-1.079	-1.079	-1.079	1.580	3.513	-1.079	-1.079	-0.521	-0.241	2.166
MODULE_79 MODULE_79	-0.349	-1.335	-0.717	-1.777	-1.335	0.541	-1.777	-0.717	0.948	3.747	3.340
MODULE_128 MODULE_128	-0.325	-1.283	-0.680	-1.717	-1.283	0.411	-1.717	-0.680	1.000	3.880	3.029
MODULE_375 MODULE_375	1.203	-2.040	-2.040	-0.795	-0.557	2.975	-1.512	-0.378	-0.795	0.942	2.591
MODULE_170 MODULE_170	-0.361	-1.011	-0.736	-1.807	-1.361	0.371	-1.361	-0.736	0.923	4.147	2.863
MODULE_121 MODULE_121	0.258	-0.349	-0.988	-4.126	-0.988	1.787	-1.335	0.258	0.729	0.948	2.522
MODULE_76 MODULE_76	-1.257	-0.891	-2.409	-1.746	-0.267	1.212	-0.891	-0.413	0.939	2.239	2.677
MODULE_324 MODULE_324	0.822	-1.132	-1.830	-2.849	-0.488	2.069	-0.353	-1.448	0.361	1.773	2.101
MODULE_316 MODULE_316	0.999	-2.005	-1.398	-0.264	-0.423	1.300	-2.005	0.342	-1.398	0.999	2.913
MODULE_153 MODULE_153	0.716	0.215	-0.766	-1.411	1.079	0.716	-0.408	-1.411	-0.766	-0.766	3.221
MODULE_180 MODULE_180	-0.833	-0.616	-0.833	-1.104	-1.104	0.561	-0.616	-0.445	-0.445	3.896	2.730
MODULE_418 MODULE_418	-1.646	-1.096	0.519	-1.096	-0.716	1.370	0.330	-1.096	0.330	0.330	3.675
MODULE_80 MODULE_80	0.246	-0.363	-1.328	-0.363	2.180	0.246	-0.703	-0.703	-1.328	0.246	2.796
MODULE_223 MODULE_223	-0.455	-0.455	-1.041	-3.147	-0.805	1.033	-1.041	0.661	0.661	1.496	2.079
MODULE_122 MODULE_122	-0.597	-0.597	-1.022	-2.048	0.523	0.523	-0.597	-0.788	-0.321	1.279	4.302
MODULE_234 MODULE_234	-0.923	-0.579	-0.349	-0.579	-0.579	3.063	0.435	-1.435	-0.923	0.258	2.575
MODULE_51 MODULE_51	0.380	-0.454	-1.494	-0.234	1.862	0.380	-0.830	-0.830	-0.830	-0.454	3.006
MODULE_345 MODULE_345	-0.283	-0.748	0.445	-1.645	-0.748	-0.283	-2.084	-0.283	0.445	2.020	2.723
