GO	[-8.85 -1.02]	[-1.02 -0.60]	[-0.60 -0.32]	[-0.32 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.50]	[0.50 0.92]	[0.92 1.96]	[1.96 11.51]
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-3.562	-1.613	0.614	0.614	-1.613	-6.444	1.379	7.459	6.954	-0.806	-6.440
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-0.301	12.276	3.490	1.537	-1.838	-4.204	-0.517	-0.829	-1.028	-2.598	-3.059
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	-1.027	6.556	2.428	3.369	-1.551	-6.245	0.317	0.833	-0.647	-5.262	-1.548
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	-0.782	-2.278	-2.745	-3.292	3.693	8.133	-1.241	-0.607	-2.745	0.469	2.677
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL HAY_BONE_MARROW_IMMATURE_NEUTROPHIL	-2.168	-2.168	1.145	0.519	-1.241	-6.721	0.798	1.145	3.876	2.310	-1.009
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS	-1.815	-0.597	-0.810	-0.597	-1.077	-3.753	-1.407	0.755	3.105	8.050	-0.300
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	-1.780	-0.923	-1.780	-0.923	1.006	1.935	-0.923	-2.628	-0.923	0.660	9.007
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	-1.054	2.301	2.301	3.704	-1.340	-5.943	0.265	0.815	-0.465	-1.340	-1.338
MANNO_MIDBRAIN_NEUROTYPES_BASAL MANNO_MIDBRAIN_NEUROTYPES_BASAL	-1.198	2.336	3.204	3.683	-0.842	-2.326	-0.244	-0.244	-0.383	-2.326	-3.275
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	1.645	-2.197	-1.468	-2.197	2.181	6.378	-1.468	-1.182	-1.804	-0.430	1.408
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	1.227	-1.909	-1.909	-1.543	0.660	6.196	-0.975	-1.909	-1.543	-0.435	3.634
AIZARANI_LIVER_C18_NK_NKT_CELLS_5 AIZARANI_LIVER_C18_NK_NKT_CELLS_5	-1.142	-1.482	-0.645	-0.866	-0.645	-3.867	-0.645	1.925	2.587	6.641	-0.865
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 AIZARANI_LIVER_C25_KUPFFER_CELLS_4	-1.403	-1.136	-0.425	-0.909	-1.136	-5.969	0.284	1.834	3.330	4.045	0.285
DESCARTES_FETAL_ADRENAL_STROMAL_CELLS DESCARTES_FETAL_ADRENAL_STROMAL_CELLS	0.275	-1.255	-1.935	-1.255	1.431	4.778	-3.494	-1.935	0.809	-0.594	3.221
TRAVAGLINI_LUNG_NONCLASSICAL_MONOCYTE_CELL TRAVAGLINI_LUNG_NONCLASSICAL_MONOCYTE_CELL	-0.634	-0.634	-0.490	-0.490	-1.529	-5.225	0.691	0.691	1.665	7.088	-1.247
