GO	[-10.12 -0.93]	[-0.93 -0.57]	[-0.57 -0.32]	[-0.32 -0.12]	[-0.12 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.45]	[0.45 0.82]	[0.82 1.83]	[1.83 10.85]
MIR4255 MIR4255	-2.441	0.301	-0.405	0.662	-2.026	-4.930	0.820	0.403	5.362	1.194	-0.408
MIR4436B_5P MIR4436B_5P	-3.094	-0.320	0.854	1.275	-1.015	-3.798	0.392	2.072	2.072	0.523	-1.302
MIR371A_5P MIR371A_5P	-0.959	-0.959	-0.959	0.463	1.511	-3.647	0.463	1.088	4.280	0.261	-1.473
MIR522_3P MIR522_3P	-1.010	-1.854	0.692	0.692	-0.277	-5.227	0.851	0.851	2.183	0.851	-0.638
MIR302D_5P MIR302D_5P	-2.293	-0.437	0.585	1.238	-0.334	-1.930	2.428	1.049	1.665	-0.712	-2.718
MIR3064_3P MIR3064_3P	-2.251	-1.221	-0.452	0.481	0.268	-3.261	0.481	0.481	3.746	1.143	0.362
MIR4649_3P MIR4649_3P	0.433	-0.934	-0.271	0.680	0.548	-6.014	0.433	-0.359	2.904	-0.359	0.330
MIR888_3P MIR888_3P	-0.866	-2.414	0.699	0.388	0.388	-0.866	0.893	0.272	1.631	1.927	-3.061
MIR6773_5P MIR6773_5P	-0.524	0.858	-1.616	0.320	-0.925	-0.524	0.320	-0.925	0.555	-0.925	4.622
MIR619_5P MIR619_5P	-0.734	-1.231	1.354	-0.292	-1.559	-2.995	0.914	0.566	2.500	0.914	-0.556
MIR487A_3P MIR487A_3P	-2.433	-2.433	-0.385	1.110	-0.385	-1.051	0.668	2.714	0.492	0.874	-0.387
MIR12129 MIR12129	-1.015	-1.632	-0.594	0.677	-2.035	-1.632	1.053	1.053	2.380	1.275	-0.323
MIR652_5P MIR652_5P	0.985	-1.492	0.647	-0.453	0.647	-1.492	0.647	0.381	1.861	-1.492	-0.830
MIR500A_5P MIR500A_5P	-0.319	-1.234	-0.580	0.514	0.661	-3.462	1.228	1.984	1.228	0.284	-1.550
MIR1_5P MIR1_5P	-1.363	-1.363	1.083	0.832	0.832	-3.527	0.616	0.832	-0.313	0.832	-0.476
MIR339_5P MIR339_5P	-1.038	-1.486	1.189	-1.038	-0.471	-1.038	2.257	-0.471	2.684	-0.471	0.300
MIR8057 MIR8057	-1.868	-0.313	0.290	0.290	0.290	-1.363	2.419	0.832	0.832	0.616	-2.554
MIR1289 MIR1289	0.542	-2.446	-0.434	-1.606	0.542	0.542	0.346	0.542	-0.260	2.679	-1.067
MIR6072 MIR6072	0.579	0.579	-0.354	2.448	-0.797	-3.194	-0.354	0.397	1.057	-1.144	-0.356
MIR7850_5P MIR7850_5P	1.063	1.302	-0.354	-1.957	-1.957	-1.186	2.166	-0.496	1.063	0.365	-0.681
MIR219B_3P MIR219B_3P	0.346	-0.691	-0.434	0.346	-1.063	-2.446	-0.434	1.793	-0.691	2.216	0.782
MIR4666B MIR4666B	-1.002	-2.101	-0.291	0.311	1.168	-1.002	0.433	2.989	-1.002	1.413	-0.765
MIR1282 MIR1282	0.566	-0.351	-0.828	-0.828	0.256	2.150	-0.828	-0.828	-0.351	-0.351	2.145
MIR6775_3P MIR6775_3P	1.145	-0.934	2.951	-0.289	-0.652	-1.308	-0.442	0.468	-1.803	-0.652	1.435
MIR3144_3P MIR3144_3P	-0.489	-0.489	1.285	-2.571	-0.489	-0.301	0.702	2.478	-0.489	0.702	-1.155
MIR767_3P MIR767_3P	-2.043	1.749	-0.537	-2.043	-1.254	-0.537	0.611	0.611	1.220	-0.272	1.465
MIR548B_3P MIR548B_3P	-1.487	0.312	-0.829	1.281	-0.290	-1.120	-0.424	0.612	3.796	0.312	-1.492
MIR7974 MIR7974	-0.750	-1.966	0.257	1.902	-0.521	-1.966	0.390	-0.351	0.390	0.257	2.651
MIR135A_3P MIR135A_3P	0.647	-0.234	-1.492	-0.828	0.381	-0.828	0.985	0.985	-1.492	1.861	-0.455
MIR1324 MIR1324	-0.761	0.433	0.579	-0.411	-1.299	0.433	3.370	-1.299	0.947	-2.101	0.430
MIR4705 MIR4705	-2.014	-0.376	-0.376	-1.584	0.342	-1.584	0.809	0.628	1.015	2.765	-0.266
MIR5087 MIR5087	-0.875	1.353	1.082	-1.201	-1.201	-2.164	0.457	0.313	0.633	1.988	-0.627
MIR4257 MIR4257	-2.101	-0.566	0.579	1.168	-1.661	-2.101	0.947	0.947	0.751	0.751	0.309
