GO	[-10.12 -0.93]	[-0.93 -0.58]	[-0.58 -0.33]	[-0.33 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.45]	[0.45 0.82]	[0.82 1.85]	[1.85 10.85]
MIR4255 MIR4255	-2.443	0.301	-0.534	0.819	-2.443	-3.487	0.661	0.402	5.358	1.193	-0.402
MIR3064_3P MIR3064_3P	-2.253	-1.222	-0.595	0.480	0.616	-5.619	0.616	0.480	3.743	1.141	0.368
MIR4436B_5P MIR4436B_5P	-3.096	-0.442	0.853	1.518	-1.016	-3.800	0.391	2.070	2.070	0.523	-1.291
MIR302D_5P MIR302D_5P	-2.294	-0.437	0.584	1.048	0.584	-3.181	2.426	1.048	1.663	-0.563	-3.170
MIR6773_5P MIR6773_5P	-0.525	0.858	-1.617	0.320	-0.925	-1.617	0.858	-0.925	0.555	-0.925	4.639
MIR371A_5P MIR371A_5P	-0.960	-0.960	-0.960	0.463	1.086	-3.075	0.463	1.289	4.276	0.261	-1.460
GTCTTCC_MIR7 GTCTTCC_MIR7	-2.361	-0.830	0.706	0.706	-1.046	-3.391	1.483	2.264	0.561	1.260	-0.824
MIR522_3P MIR522_3P	-1.011	-1.856	0.430	1.026	-0.373	-4.425	0.850	0.850	2.181	0.850	-0.630
MIR6764_3P MIR6764_3P	-2.638	0.742	-1.191	0.280	-0.323	-2.041	0.953	-0.651	3.609	0.953	-0.321
MIR888_3P MIR888_3P	-0.867	-2.415	0.698	0.388	0.698	-1.143	0.698	0.272	1.629	1.925	-3.046
MIR7850_5P MIR7850_5P	0.849	1.564	-0.354	-1.958	-1.958	-1.534	2.499	-0.496	1.062	0.364	-0.673
MIR652_5P MIR652_5P	0.984	-1.492	0.646	-0.453	0.646	-1.492	0.646	0.380	1.860	-1.492	-0.826
MIR487A_3P MIR487A_3P	-2.434	-2.434	-0.385	0.873	-0.260	-1.052	0.667	2.712	0.492	0.873	-0.383
MIR600 MIR600	-1.297	-1.016	0.676	0.391	-0.320	-0.320	-3.096	2.707	1.518	0.676	-0.780
MIR767_3P MIR767_3P	-2.044	1.748	-0.538	-2.044	-0.727	-1.255	0.788	0.611	1.471	-0.388	1.478
MIR8057 MIR8057	-1.869	-0.313	-0.313	0.435	0.289	-1.364	2.417	0.831	0.831	0.615	-2.542
MIR4257 MIR4257	-2.102	-0.566	0.579	1.167	-1.003	-3.300	0.946	0.946	0.750	0.750	0.313
MIR339_5P MIR339_5P	-1.039	-1.487	0.907	-0.710	-0.301	-1.487	2.256	-0.471	2.682	-0.471	0.303
MIR1289 MIR1289	0.541	-2.447	-0.434	-1.607	0.346	0.541	0.541	0.541	-0.260	2.678	-1.061
MIR6072 MIR6072	0.578	0.578	-0.355	2.446	-0.798	-3.195	-0.355	0.396	1.056	-1.145	-0.352
MIR4666B MIR4666B	-1.003	-2.639	-0.292	0.432	0.750	-0.566	0.432	2.986	-1.003	1.412	-0.757
MIR3144_3P MIR3144_3P	-0.489	-0.489	1.284	-2.572	-0.489	-0.301	0.701	2.476	-0.489	0.701	-1.148
TTCCGTT_MIR191 TTCCGTT_MIR191	-1.202	-0.300	1.877	-0.300	0.572	-1.202	0.302	-0.610	1.365	-1.202	0.574
MIR504_3P MIR504_3P	-0.258	0.613	0.613	0.349	-0.360	-3.229	-1.094	1.406	0.470	1.658	-1.379
MIR499B_5P MIR499B_5P	0.398	0.269	-0.962	0.269	0.269	-3.034	2.529	-0.491	0.749	0.972	-0.958
