GO	[-10.12 -0.95]	[-0.95 -0.59]	[-0.59 -0.34]	[-0.34 -0.13]	[-0.13 0.00]	[0.00 0.00]	[0.00 0.15]	[0.15 0.41]	[0.41 0.76]	[0.76 1.76]	[1.76 23.61]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-3.601	-4.347	-6.494	-5.269	7.406	41.493	3.820	-6.494	-6.494	-5.269	-3.605
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-2.610	-3.910	-5.992	-4.800	2.268	33.385	0.483	-3.910	-2.120	-2.610	1.198
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	1.721	10.698	5.762	0.899	-0.915	-5.495	-0.572	-0.729	-1.684	-7.794	-4.680
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.199	-2.199	-2.922	-2.199	5.542	14.506	1.946	-2.199	-2.922	-2.922	-0.448
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-4.312	-0.699	0.895	0.474	0.474	-6.892	-0.551	4.062	6.022	0.598	-4.318
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	3.016	8.032	0.835	1.031	-1.036	-4.722	-1.319	-0.609	-1.319	0.274	-5.913
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-1.773	-1.206	1.189	3.295	0.426	-4.816	1.855	1.855	2.110	-1.469	-6.659
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	2.000	3.763	1.315	1.315	0.243	-2.291	-0.559	-0.368	-1.172	-3.238	-3.240
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	0.646	0.506	3.131	2.483	0.284	-3.840	-0.569	1.409	-0.319	-3.202	-3.206
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	-1.301	2.293	0.947	2.293	-0.412	-4.141	-0.291	1.414	0.579	-0.761	-4.145
GOCC_SITE_OF_DOUBLE_STRAND_BREAK GOCC_SITE_OF_DOUBLE_STRAND_BREAK	-1.964	-0.251	3.435	1.684	-0.626	-2.863	-0.405	1.031	0.764	-0.251	-2.865
GOCC_NUCLEOID GOCC_NUCLEOID	0.654	7.597	0.654	0.409	-0.676	-1.866	-0.676	-0.676	-1.124	-0.676	-1.125
GOCC_SITE_OF_POLARIZED_GROWTH GOCC_SITE_OF_POLARIZED_GROWTH	-0.411	-1.952	-0.536	-0.536	-0.687	-1.952	-1.618	0.785	2.334	6.385	-0.413
GOCC_AZUROPHIL_GRANULE GOCC_AZUROPHIL_GRANULE	-1.012	-0.458	0.630	1.408	0.630	-6.411	0.367	-0.338	2.207	0.630	-1.015
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	2.489	-0.935	-1.964	-2.863	0.539	0.764	1.338	-0.935	-1.363	0.357	1.336
GOCC_P_BODY GOCC_P_BODY	-0.792	-0.555	0.942	1.494	-2.033	-2.033	0.715	2.554	1.202	-0.555	-2.035
GOCC_TERMINAL_BOUTON GOCC_TERMINAL_BOUTON	1.018	-0.534	-2.156	-0.534	-0.865	1.763	-2.156	0.721	-0.316	-0.534	2.692
GOCC_CENTRIOLE GOCC_CENTRIOLE	-1.189	-1.901	0.452	0.452	0.452	-2.933	0.957	2.259	2.586	-0.526	-1.191
GOCC_COLLAGEN_TRIMER GOCC_COLLAGEN_TRIMER	0.784	-0.731	-1.421	-1.421	1.300	2.317	-0.505	-2.623	-0.505	-0.338	2.314
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	0.318	-0.285	-2.390	-1.979	0.548	2.235	-0.385	-0.662	-1.979	1.461	2.231
GOCC_ORGANELLE_MEMBRANE_CONTACT_SITE GOCC_ORGANELLE_MEMBRANE_CONTACT_SITE	-0.525	2.146	-1.616	1.658	0.320	-1.616	-0.525	0.555	-0.283	0.858	-1.618
GOCC_MICROBODY_MEMBRANE GOCC_MICROBODY_MEMBRANE	-0.738	1.327	0.729	3.029	-0.287	-0.738	-1.122	-1.122	0.729	-2.530	0.315
GOCC_RECYCLING_ENDOSOME GOCC_RECYCLING_ENDOSOME	-1.751	0.848	0.556	1.020	-2.952	-2.098	-0.270	2.707	0.556	0.556	-0.475
GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX	-0.240	-0.390	0.560	3.014	0.372	-1.927	-0.240	0.560	0.791	-0.910	-2.824
GOCC_DNA_PACKAGING_COMPLEX GOCC_DNA_PACKAGING_COMPLEX	1.248	1.248	1.009	-0.281	-0.567	-0.567	-1.761	-0.405	-1.359	-1.761	2.459
GOCC_PERINUCLEAR_ENDOPLASMIC_RETICULUM GOCC_PERINUCLEAR_ENDOPLASMIC_RETICULUM	-0.828	-0.828	-0.828	1.522	0.566	-0.828	0.991	0.256	-0.351	1.522	-0.829
GOCC_MEDIATOR_COMPLEX GOCC_MEDIATOR_COMPLEX	-0.300	1.177	-0.300	2.071	0.820	-1.658	0.528	-0.300	-0.958	-0.300	-1.659
GOCC_GLYCOPROTEIN_COMPLEX GOCC_GLYCOPROTEIN_COMPLEX	-0.787	-0.787	0.279	-0.787	-0.324	0.279	-0.787	0.279	-0.324	0.609	3.857
GOCC_PLATELET_ALPHA_GRANULE_MEMBRANE GOCC_PLATELET_ALPHA_GRANULE_MEMBRANE	0.706	-0.704	-0.704	-0.272	-0.704	-0.272	-0.704	0.332	-0.704	1.207	2.541
GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	0.579	0.187	-0.455	-0.455	-0.455	3.763	-0.455	-0.455	-0.455	-0.455	0.578
GOCC_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX GOCC_TRICARBOXYLIC_ACID_CYCLE_ENZYME_COMPLEX	-0.199	2.212	1.489	-0.199	0.892	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580
GOCC_RIBONUCLEASE_MRP_COMPLEX GOCC_RIBONUCLEASE_MRP_COMPLEX	0.640	4.071	-0.414	-0.414	-0.414	0.211	-0.414	-0.414	0.211	-0.414	-0.414
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	0.434	2.212	0.892	-0.580	-0.580	-0.580	-0.199	0.892	-0.580	-0.580	-0.580
GOCC_PI_BODY GOCC_PI_BODY	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	1.703	2.720
GOCC_ZONULA_ADHERENS GOCC_ZONULA_ADHERENS	-0.331	-0.331	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	2.453	1.528
