GO	[-10.12 -0.93]	[-0.93 -0.57]	[-0.57 -0.31]	[-0.31 -0.10]	[-0.10 0.00]	[0.00 0.00]	[0.00 0.15]	[0.15 0.41]	[0.41 0.77]	[0.77 1.81]	[1.81 23.61]
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-2.289	-1.788	-2.914	-1.788	2.417	24.449	0.776	-4.819	-2.914	-1.055	-0.584
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-1.637	-2.979	-3.598	-3.598	5.933	15.940	2.752	-1.637	-1.318	-2.014	-1.643
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	3.700	8.678	3.700	0.355	-1.535	-5.658	0.260	-0.346	-1.878	-5.658	-3.948
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	2.127	8.656	4.905	0.829	-3.159	-5.111	-0.693	-0.924	-0.924	-2.510	-5.119
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	-0.447	-0.342	0.264	3.623	0.264	-6.965	0.861	2.129	1.876	-0.725	-6.977
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	-1.187	-0.496	-3.946	-1.958	2.166	8.758	1.064	-1.958	-0.354	-0.905	0.252
GOMF_MRNA_3_UTR_BINDING GOMF_MRNA_3_UTR_BINDING	-2.225	-1.490	0.493	-1.829	3.432	6.799	1.383	0.375	-1.490	-0.957	-3.238
GOMF_GROWTH_FACTOR_BINDING GOMF_GROWTH_FACTOR_BINDING	0.746	-0.718	-1.210	-5.696	-0.539	0.320	-1.535	0.935	-0.718	1.147	6.313
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.388	-1.235	-1.910	-2.854	1.460	6.209	-1.235	-2.342	-0.580	0.514	2.269
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	-1.029	0.898	2.766	1.407	-1.029	-4.194	-0.372	1.138	2.032	-1.829	-2.404
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	0.301	1.405	0.858	6.597	-0.671	-3.486	-0.457	-0.671	0.301	-1.836	-1.840
GOMF_CHEMOKINE_ACTIVITY GOMF_CHEMOKINE_ACTIVITY	-1.948	-1.191	-1.948	-0.431	0.884	3.106	-0.431	-1.948	-0.431	-0.242	4.316
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.512	-3.525	-2.741	-2.133	0.683	2.647	0.368	-1.261	0.368	0.883	2.282
GOMF_SNORNA_BINDING GOMF_SNORNA_BINDING	0.794	5.738	0.480	0.794	-0.363	-1.326	-1.326	-0.702	-0.363	-1.326	-1.328
