GO	[-7.55 -0.95]	[-0.95 -0.58]	[-0.58 -0.32]	[-0.32 -0.10]	[-0.10 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.42]	[0.42 0.81]	[0.81 1.89]	[1.89 23.61]
GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP GSE29614_CTRL_VS_TIV_FLU_VACCINE_PBMC_2007_UP	2.165	-2.463	-2.069	-2.069	0.568	3.364	-1.725	-2.463	0.568	0.343	3.368
GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP	-0.457	-3.779	-1.653	-1.653	0.559	1.194	-1.653	-0.586	0.341	2.638	5.019
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	1.826	-0.401	-1.593	-1.307	-2.306	4.733	-0.401	-1.593	-1.593	0.301	3.286
GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP	-0.317	-0.858	-3.654	-1.569	-0.417	2.779	-0.685	-2.650	0.910	1.713	3.409
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP	-0.335	-2.020	-2.411	-2.020	2.228	0.361	0.736	-1.680	-0.913	1.271	4.920
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	1.220	-1.845	-1.845	-2.305	1.220	0.801	-0.499	-2.305	-1.146	3.017	2.667
GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP	-0.264	-1.129	-0.586	-1.974	-1.129	0.693	0.341	-1.653	-1.129	1.194	8.549
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	-1.702	-0.929	-1.702	-2.437	2.196	4.862	-0.742	-1.149	0.457	-0.343	2.199
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP	0.271	-0.712	-1.611	-1.335	1.662	2.422	-0.334	-3.716	0.271	-0.437	3.012
GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP GSE37605_TREG_VS_TCONV_C57BL6_FOXP3_IRES_GFP_UP	0.321	-1.635	-1.635	-1.276	-0.282	2.328	-0.552	-1.276	-0.982	1.441	4.252
GSE22886_IL2_VS_IL15_STIM_NKCELL_UP GSE22886_IL2_VS_IL15_STIM_NKCELL_UP	0.301	-0.659	-1.027	-3.591	-0.398	1.322	0.396	-1.259	0.945	-0.659	4.943
GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_UP GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_UP	-0.751	-0.566	-3.724	-1.979	0.892	1.098	0.551	-0.418	-0.301	-0.301	4.332
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_UP	-0.919	-0.457	-2.759	-1.974	0.843	3.569	0.442	-0.351	-0.586	-0.739	2.937
GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_UP GSE13762_CTRL_VS_125_VITAMIND_DAY5_DC_UP	0.451	-0.525	-1.510	-1.898	-0.274	2.253	-0.384	-0.921	-2.365	2.253	2.256
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_DN GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_DN	1.174	-1.674	-0.752	-1.998	0.333	1.586	-0.752	-1.146	-1.146	0.827	4.221
