	[-1.23 -0.93]	[-0.93 -0.57]	[-0.57 -0.30]	[-0.30 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.38]	[0.38 0.74]	[0.74 1.74]	[1.74 2.04]
GOBP_MITOCHONDRIAL_TRANSLATION	4.632	14.595	3.786	-0.36200000000000004	-3.5460000000000003	-5.567	-0.884	-0.499	-2.306	-5.567	-5.564
GOBP_TRNA_PROCESSING	2.496	8.539	3.2119999999999997	0.5329999999999999	-3.404	-4.251	-0.813	0.5329999999999999	-1.063	-2.734	-5.397
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	3.008	8.559	1.03	1.4880000000000002	-2.546	-4.716	-1.6569999999999998	-0.608	-1.317	0.38	-5.897
GOMF_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	3.344	0.439	0.32799999999999996	-0.276	-2.512	0.723	1.791	-1.36	-1.36	-0.37799999999999995	-0.8540000000000001
GOBP_NEGATIVE_REGULATION_OF_MEGAKARYOCYTE_DIFFERENTIATION	4.059	0.655	-0.298	-0.745	-0.745	-0.298	0.304	-0.298	-0.745	-0.745	0.304
GOBP_KYNURENINE_METABOLIC_PROCESS	3.762	0.187	0.187	-0.455	-0.455	-0.455	0.187	-0.455	0.578	-0.455	-0.455
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.738	-1.556	-1.261	-1.901	-0.475	0.9079999999999999	-2.3040000000000003	-0.7979999999999999	-1.261	2.634	7.056
GOMF_GROWTH_FACTOR_BINDING	0.746	-0.718	-1.209	-4.522	-1.209	-0.28300000000000003	-1.209	0.439	0.32	1.38	6.318
GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.38799999999999996	-1.234	-1.5430000000000001	-3.46	1.227	3.6289999999999996	0.38799999999999996	-2.852	-0.435	0.513	2.276
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	-0.765	-1.409	0.21600000000000003	-1.409	-1.409	0.716	0.42700000000000005	-0.40700000000000003	-0.765	0.21600000000000003	7.106
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.511	-3.523	-2.74	-2.1319999999999997	0.6829999999999999	1.953	0.252	-0.507	0.368	0.511	3.029
GOBP_PIRNA_METABOLIC_PROCESS	-0.298	-0.745	-0.298	-0.298	-0.745	-0.745	-0.745	-0.298	-0.745	2.4	4.061
GOBP_INNERVATION	-0.434	-0.953	0.2	0.2	-0.953	-0.953	0.2	-0.953	-0.434	1.835	3.983
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	-0.621	-0.621	-0.621	-0.223	0.8240000000000001	-0.621	-0.223	0.396	-0.621	-0.621	4.785
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	-0.525	-0.28300000000000003	0.32	-1.6159999999999999	-1.6159999999999999	0.32	-1.6159999999999999	0.555	0.32	1.226	2.6910000000000003
GOBP_INTERLEUKIN_4_PRODUCTION	-0.385	0.45299999999999996	0.231	-1.367	-0.385	-0.733	-0.385	-1.367	-0.385	2.092	2.6710000000000003
GOBP_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	-0.87	0.527	-0.87	0.23600000000000002	0.93	-0.37799999999999995	-0.87	0.527	-0.37799999999999995	-0.87	2.728
GOBP_PANCREATIC_A_CELL_DIFFERENTIATION	-0.29	-0.29	-0.29	0.313	-0.29	0.313	-0.29	-0.29	-0.29	-0.29	3.9560000000000004
