GO	[-7.27 -0.58]	[-0.58 -0.26]	[-0.26 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.22]	[0.22 0.46]	[0.46 0.96]	[0.96 8.92]
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.781	-1.028	-3.592	-4.911	5.332	6.607	-4.203	-3.061	-1.028	-0.399	4.204
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	-1.615	0.783	-0.867	-2.333	-3.873	-5.372	-0.310	0.502	1.797	2.613	6.381
HOLLERN_SQUAMOUS_BREAST_TUMOR HOLLERN_SQUAMOUS_BREAST_TUMOR	-0.533	-1.100	-2.922	-2.922	2.448	6.689	-2.922	-2.440	-0.301	0.818	2.770
MOHANKUMAR_HOXA1_TARGETS_DN MOHANKUMAR_HOXA1_TARGETS_DN	-0.405	-0.301	-5.888	-1.362	0.995	-0.405	-1.669	-0.533	-1.669	2.448	8.714
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	0.770	-0.767	-3.901	-1.852	1.354	-1.221	-2.715	-1.221	0.480	1.840	7.720
MIKKELSEN_IPS_WITH_HCP_H3K27ME3 MIKKELSEN_IPS_WITH_HCP_H3K27ME3	2.658	-1.434	-1.434	-0.569	5.389	0.648	-2.466	-3.220	-1.888	-0.569	2.671
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	-0.829	0.301	-1.028	-0.829	-2.192	-4.911	-1.028	0.507	0.396	3.826	7.090
XIE_LT_HSC_S1PR3_OE_UP XIE_LT_HSC_S1PR3_OE_UP	0.302	-1.202	-1.202	-1.202	-1.202	-1.202	-0.300	-0.610	-1.202	3.824	6.342
MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3 MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.330	-1.642	0.330	-1.093	-0.715	-0.452	-1.642	-1.642	-1.093	0.756	11.657
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	1.612	-1.118	-1.118	-2.468	1.381	0.292	-1.691	-2.952	-1.118	2.714	4.496
WIERENGA_STAT5A_TARGETS_GROUP1 WIERENGA_STAT5A_TARGETS_GROUP1	0.578	-0.292	-0.566	-1.003	-3.298	-3.298	-0.761	-0.412	-0.292	4.185	4.647
MIKKELSEN_IPS_ICP_WITH_H3K27ME3 MIKKELSEN_IPS_ICP_WITH_H3K27ME3	1.601	-0.600	-1.466	-2.280	1.232	0.416	-2.280	-2.280	-0.600	1.232	3.524
SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER	-0.228	-1.907	0.389	-1.158	-0.702	-0.702	-1.907	0.389	0.389	-0.411	8.267
RICKMAN_HEAD_AND_NECK_CANCER_A RICKMAN_HEAD_AND_NECK_CANCER_A	2.608	-0.280	-0.411	-2.500	1.309	-0.585	-3.258	-0.585	-1.460	0.461	3.429
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	-0.278	-0.278	-1.249	-2.229	-0.491	-3.742	-0.373	0.326	0.849	3.075	3.094
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1	-0.647	0.519	-0.961	-1.999	-0.961	-2.903	-0.422	0.342	1.297	2.872	2.021
LIM_MAMMARY_LUMINAL_MATURE_UP LIM_MAMMARY_LUMINAL_MATURE_UP	-0.703	-0.703	-1.649	-0.508	0.367	-3.523	-0.508	0.251	3.023	1.109	2.296
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	0.564	0.440	-0.993	-1.508	1.457	-1.830	-1.830	-1.230	-0.363	2.209	3.134
HARRIS_BRAIN_CANCER_PROGENITORS HARRIS_BRAIN_CANCER_PROGENITORS	0.453	0.254	0.254	-1.782	-1.782	0.453	-1.782	-0.624	0.254	1.861	2.362
RICKMAN_HEAD_AND_NECK_CANCER_F RICKMAN_HEAD_AND_NECK_CANCER_F	-0.382	-1.501	-1.501	-0.977	1.190	1.190	-0.382	-1.501	-0.622	1.190	2.906
NAKAJIMA_EOSINOPHIL NAKAJIMA_EOSINOPHIL	0.398	-0.222	-1.036	-1.036	-1.036	-0.491	0.398	0.398	0.398	-1.036	4.474
MEBARKI_HCC_PROGENITOR_WNT_DN_BLOCKED_BY_FZD8CRD MEBARKI_HCC_PROGENITOR_WNT_DN_BLOCKED_BY_FZD8CRD	0.997	0.737	-2.903	-0.647	-0.647	-0.647	-0.422	-0.647	-0.422	0.997	2.884
FIGUEROA_AML_METHYLATION_CLUSTER_6_DN FIGUEROA_AML_METHYLATION_CLUSTER_6_DN	-0.860	-0.860	-0.860	0.359	-0.477	0.940	-0.477	-0.250	-1.533	1.332	2.885
SEKI_INFLAMMATORY_RESPONSE_LPS_DN SEKI_INFLAMMATORY_RESPONSE_LPS_DN	0.217	-0.911	-0.911	-0.406	0.217	-0.911	-0.406	-0.406	0.490	0.490	4.169
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	-0.301	0.301	-0.977	-0.977	0.414	2.789	-1.980	-0.751	-0.418	-0.301	2.468
