GO	[-7.27 -0.54]	[-0.54 -0.25]	[-0.25 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.22]	[0.22 0.45]	[0.45 0.95]	[0.95 6.79]
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-2.545	-2.545	-1.710	-0.388	-0.388	-4.456	-0.518	2.036	1.070	0.879	8.198
GOCC_BLOOD_MICROPARTICLE GOCC_BLOOD_MICROPARTICLE	1.153	-1.408	-2.175	-1.408	1.153	6.655	-3.983	-1.114	-1.759	0.598	2.190
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	0.548	-1.064	-2.390	-2.390	-0.662	2.842	-2.868	-0.662	0.424	1.240	5.059
GOCC_SPECIFIC_GRANULE_MEMBRANE GOCC_SPECIFIC_GRANULE_MEMBRANE	-2.735	-1.102	-2.033	0.522	0.363	-3.737	-0.247	1.202	0.715	0.522	4.880
GOCC_AZUROPHIL_GRANULE GOCC_AZUROPHIL_GRANULE	-4.273	-1.277	-1.592	0.367	0.367	-3.533	0.367	1.408	2.837	0.630	2.508
GOCC_GOLGI_LUMEN GOCC_GOLGI_LUMEN	0.372	-1.007	-3.110	-1.800	0.922	2.820	-1.800	-1.356	-0.733	2.076	2.816
GOCC_VACUOLAR_LUMEN GOCC_VACUOLAR_LUMEN	-2.957	-0.894	-2.054	-0.415	-0.894	-1.119	-0.415	0.392	3.046	1.173	4.487
GOCC_BASEMENT_MEMBRANE GOCC_BASEMENT_MEMBRANE	3.158	-0.624	-2.884	-1.202	-0.624	0.841	-1.622	-1.622	0.313	1.082	2.737
GOCC_TERTIARY_GRANULE GOCC_TERTIARY_GRANULE	-1.806	-1.183	-1.470	-0.941	0.807	-3.202	0.807	0.987	0.646	0.385	5.045
GOCC_AZUROPHIL_GRANULE_LUMEN GOCC_AZUROPHIL_GRANULE_LUMEN	-3.779	-0.572	-1.127	0.349	-0.257	-2.066	0.505	0.694	1.458	-0.257	3.338
GOCC_COLLAGEN_TRIMER GOCC_COLLAGEN_TRIMER	1.300	-0.505	-1.421	-1.421	0.405	0.784	-1.935	-1.421	-0.505	0.577	4.597
GOCC_ADHERENS_JUNCTION GOCC_ADHERENS_JUNCTION	-0.301	-1.671	-0.878	-0.405	-1.364	-2.445	1.195	-0.690	1.410	1.410	3.082
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.722	-0.479	-1.596	-0.479	0.270	2.379	-1.596	-2.073	-0.479	0.543	2.743
GOCC_TERTIARY_GRANULE_LUMEN GOCC_TERTIARY_GRANULE_LUMEN	-0.365	-0.949	-0.949	-1.467	-0.600	-1.467	0.911	0.246	1.233	0.246	4.094
GOCC_SPECIFIC_GRANULE_LUMEN GOCC_SPECIFIC_GRANULE_LUMEN	-0.489	-1.713	-0.489	-0.762	-1.152	-1.152	-0.489	0.702	0.971	0.971	4.012
GOCC_TERTIARY_GRANULE_MEMBRANE GOCC_TERTIARY_GRANULE_MEMBRANE	-1.456	-0.454	-1.012	0.314	0.937	-2.988	0.314	1.225	-0.454	0.481	2.311
GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION GOCC_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	0.647	-0.828	-1.492	-0.828	-0.234	-0.234	-0.828	-0.828	-0.234	2.392	2.389
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	0.808	-0.711	-1.902	-0.325	-0.325	1.334	-1.005	-1.393	-0.489	0.596	3.206
GOCC_PLASMA_MEMBRANE_RAFT GOCC_PLASMA_MEMBRANE_RAFT	0.356	-0.252	-0.369	-1.678	-0.369	-2.165	0.496	-0.369	0.665	-0.522	4.249
