GO	[-7.27 -0.53]	[-0.53 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.92]	[0.92 8.92]
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-2.542	-2.542	-1.382	0.428	-0.678	-6.612	-0.873	1.760	1.760	0.707	8.745
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	1.236	-0.510	-2.864	-1.976	1.695	-2.864	-2.864	-2.387	-0.385	2.832	8.362
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	2.047	-1.261	-3.325	-0.621	1.097	-2.775	-3.325	-1.010	-1.010	2.047	9.143
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	0.436	-2.095	-1.187	-0.962	10.382	0.436	-4.072	-2.947	-0.271	-0.271	2.425
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	1.708	-1.544	-3.461	-0.759	6.193	-0.581	-0.975	-2.342	-1.235	1.016	2.287
GOBP_OSTEOCLAST_DIFFERENTIATION GOBP_OSTEOCLAST_DIFFERENTIATION	-1.563	-1.152	-0.268	-2.808	0.336	-3.819	0.672	-0.589	0.889	1.732	5.263
GOBP_DETECTION_OF_ABIOTIC_STIMULUS GOBP_DETECTION_OF_ABIOTIC_STIMULUS	0.964	-0.258	-0.852	-3.942	3.226	-4.834	-0.652	-0.360	-0.490	0.964	2.890
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	0.862	0.342	-2.465	-0.463	2.164	-7.866	-0.463	-0.463	0.342	0.862	2.458
GOMF_CARGO_RECEPTOR_ACTIVITY GOMF_CARGO_RECEPTOR_ACTIVITY	1.426	-0.506	-1.549	-1.549	0.620	-2.180	-1.091	-3.112	0.850	3.005	2.572
GOMF_METALLOPEPTIDASE_ACTIVITY GOMF_METALLOPEPTIDASE_ACTIVITY	3.578	0.292	-1.616	-0.412	1.559	-5.374	0.292	-1.950	-0.412	-0.412	2.632
GOMF_SOLUTE_CATION_SYMPORTER_ACTIVITY GOMF_SOLUTE_CATION_SYMPORTER_ACTIVITY	0.946	-0.715	-0.506	-1.769	4.190	-4.110	-0.506	0.259	-1.329	0.384	2.491
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION	1.455	0.349	-2.065	-0.391	0.504	-0.812	-2.771	1.169	-0.391	-1.127	3.351
GOBP_NEGATIVE_CHEMOTAXIS GOBP_NEGATIVE_CHEMOTAXIS	3.194	-0.411	-0.411	-0.702	-0.702	-1.907	-1.158	0.389	-0.228	-0.228	2.143
GOMF_IGG_BINDING GOMF_IGG_BINDING	0.187	-0.456	-0.456	-0.456	0.578	-0.456	-0.456	-0.456	-0.456	0.187	4.927
GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	-0.199	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580	0.891	-0.199	0.434	4.016
GOBP_HISTIDINE_CATABOLIC_PROCESS GOBP_HISTIDINE_CATABOLIC_PROCESS	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	0.795	3.569
