GO	[-7.27 -0.53]	[-0.53 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.92]	[0.92 8.92]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	1.592	-3.596	-5.263	-6.487	-6.487	69.591	-2.013	-3.596	-4.341	-0.636	-2.963
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.198	-3.944	-2.920	-2.920	2.298	39.438	-1.651	-3.944	-3.944	-1.651	-0.443
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.973	0.593	16.771	15.455	-0.729	-5.486	-0.572	-2.412	-3.377	-2.022	-7.759
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	0.257	-1.707	-3.906	-4.795	-5.986	31.280	2.262	-3.906	-3.194	-0.350	0.487
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-1.383	-1.383	-1.788	-2.914	0.593	36.742	-0.418	-3.715	-3.715	-0.418	-2.902
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-5.636	0.829	10.843	8.225	-0.278	-5.636	2.103	-0.484	-2.976	-4.808	-4.788
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	0.246	-3.694	-0.538	-1.999	-3.694	20.128	3.464	-1.477	-1.999	-1.078	-1.470
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	-1.657	0.833	4.155	8.557	-0.609	-5.902	2.033	0.833	-3.127	-4.717	-4.700
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	-0.926	8.444	7.935	2.954	-2.524	-6.009	-0.732	-0.570	-0.732	-4.248	-2.998
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-3.134	3.804	8.132	2.799	-1.509	-6.167	0.866	1.045	-0.993	-3.134	-5.168
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-5.020	-1.317	4.783	1.463	-1.591	-5.861	3.364	3.697	1.927	-1.317	-5.839
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	2.497	-2.478	-1.957	-5.068	11.285	0.500	-1.957	-2.478	-1.533	0.661	1.310
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	-1.644	0.381	7.262	5.387	-0.559	-3.236	0.243	0.772	-2.290	-3.236	-3.227
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-2.542	-2.542	-1.382	0.428	-0.678	-6.612	-0.873	1.760	1.760	0.707	8.745
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	1.236	-0.510	-2.864	-1.976	1.695	-2.864	-2.864	-2.387	-0.385	2.832	8.362
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	2.047	-1.261	-3.325	-0.621	1.097	-2.775	-3.325	-1.010	-1.010	2.047	9.143
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	0.436	-2.095	-1.187	-0.962	10.382	0.436	-4.072	-2.947	-0.271	-0.271	2.425
GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	-1.677	0.355	3.373	4.243	-1.677	-3.562	1.913	0.859	0.355	-2.775	-3.550
GOBP_REGULATION_OF_MACROAUTOPHAGY GOBP_REGULATION_OF_MACROAUTOPHAGY	-1.708	-0.873	-0.284	2.030	-0.678	-6.612	1.067	7.652	0.707	-1.382	-1.097
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	-3.389	-0.648	-0.648	-0.277	-0.829	-7.030	1.482	3.202	3.550	0.434	0.331
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	-1.468	-0.319	1.185	3.120	-0.940	-3.835	2.789	2.475	0.505	-1.804	-4.579
GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING GOMF_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	-1.836	1.726	2.886	3.808	-1.336	-3.486	0.301	1.112	-0.458	-1.836	-2.502
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	1.708	-1.544	-3.461	-0.759	6.193	-0.581	-0.975	-2.342	-1.235	1.016	2.287
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	-3.146	0.896	1.405	2.761	-1.829	-4.193	-0.250	2.382	1.136	-1.382	-1.022
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.645	-1.650	-1.262	-2.741	3.024	0.882	-2.741	-2.133	-0.951	3.024	1.373
GOBP_VESICLE_TARGETING GOBP_VESICLE_TARGETING	-1.622	-1.622	0.456	-0.432	-0.876	-3.902	1.351	4.062	4.062	-1.202	-0.619
