GO	[-4.32 -0.52]	[-0.52 -0.25]	[-0.25 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.02]	[0.02 0.11]	[0.11 0.23]	[0.23 0.48]	[0.48 1.00]	[1.00 6.79]
HP_LACTIC_ACIDOSIS HP_LACTIC_ACIDOSIS	-2.509	1.412	2.185	4.626	1.651	-2.509	1.651	-0.309	-1.402	-2.509	-6.092
HP_INCREASED_SERUM_LACTATE HP_INCREASED_SERUM_LACTATE	-1.641	1.369	4.065	2.392	1.369	-1.093	1.159	0.293	-1.641	-2.825	-7.856
HP_ABNORMALITY_OF_THE_MITOCHONDRION HP_ABNORMALITY_OF_THE_MITOCHONDRION	-2.480	0.301	2.517	4.277	1.679	-1.694	1.437	0.527	-0.886	-2.480	-6.051
HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN	-2.602	-0.325	4.229	4.758	1.063	-1.400	0.813	-0.490	-1.010	-2.602	-3.629
HP_INCREASED_CSF_LACTATE HP_INCREASED_CSF_LACTATE	-2.385	0.713	2.864	2.104	1.179	-1.013	1.458	0.249	-0.737	-3.133	-4.227
HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I	-2.080	-0.493	2.875	6.083	-0.285	-0.811	0.523	-0.493	-0.493	-2.080	-2.101
HP_SLOPING_FOREHEAD HP_SLOPING_FOREHEAD	-1.137	-0.898	2.991	4.514	-1.137	-1.421	0.549	0.872	0.419	-0.698	-3.844
HP_LEUKODYSTROPHY HP_LEUKODYSTROPHY	-1.081	0.335	0.858	2.706	0.653	-1.081	1.977	0.653	-0.570	-1.904	-4.355
HP_MUSCLE_ABNORMALITY_RELATED_TO_MITOCHONDRIAL_DYSFUNCTION HP_MUSCLE_ABNORMALITY_RELATED_TO_MITOCHONDRIAL_DYSFUNCTION	-0.892	0.340	1.221	4.633	0.504	-0.412	0.504	-0.616	-0.265	-2.415	-3.416
HP_ABNORMAL_CSF_METABOLITE_LEVEL HP_ABNORMAL_CSF_METABOLITE_LEVEL	-1.471	0.402	1.996	2.328	1.153	-1.130	1.408	-0.457	-0.321	-2.407	-3.092
HP_DUPLICATION_OF_THUMB_PHALANX HP_DUPLICATION_OF_THUMB_PHALANX	-2.205	-1.401	2.642	1.720	1.329	-0.895	0.457	-2.205	-0.557	0.272	0.265
HP_CAFE_AU_LAIT_SPOT HP_CAFE_AU_LAIT_SPOT	-0.837	0.386	1.083	0.871	0.386	-1.094	2.859	0.386	0.871	-2.243	-4.391
HP_DECREASED_ACTIVITY_OF_THE_PYRUVATE_DEHYDROGENASE_COMPLEX HP_DECREASED_ACTIVITY_OF_THE_PYRUVATE_DEHYDROGENASE_COMPLEX	-0.766	0.216	3.898	-0.407	1.084	-1.411	0.428	1.084	-0.766	-1.411	-1.426
HP_MITOCHONDRIAL_MYOPATHY HP_MITOCHONDRIAL_MYOPATHY	-1.186	0.288	1.608	3.424	0.679	-0.508	0.679	-0.315	-0.788	-1.756	-2.651
HP_TRANSIENT_ISCHEMIC_ATTACK HP_TRANSIENT_ISCHEMIC_ATTACK	1.615	-0.365	-2.289	-2.289	-2.289	0.916	0.417	0.417	0.417	0.640	0.898
HP_ERYTHROID_HYPOPLASIA HP_ERYTHROID_HYPOPLASIA	-1.037	-1.037	1.666	2.932	1.666	-0.491	-0.491	-1.037	-0.222	-1.037	-0.498
HP_INFERTILITY HP_INFERTILITY	2.048	-0.721	-1.686	-4.011	0.372	2.620	-0.433	-1.130	0.931	0.372	0.590
HP_OPTIC_DISC_PALLOR HP_OPTIC_DISC_PALLOR	-0.569	-0.419	2.187	3.610	-0.419	-2.004	1.605	0.301	-1.265	-0.986	-1.636
HP_BRAIN_IMAGING_ABNORMALITY HP_BRAIN_IMAGING_ABNORMALITY	-0.538	-0.756	0.511	1.150	-0.249	-1.035	3.225	0.693	-0.538	0.360	-4.270
HP_SANDAL_GAP HP_SANDAL_GAP	-1.557	-0.327	0.624	3.047	-2.193	-0.756	2.174	0.624	-1.096	0.430	-1.116
HP_LOWER_LIMB_SPASTICITY HP_LOWER_LIMB_SPASTICITY	-0.360	-0.360	1.629	1.406	-1.416	-2.414	1.201	1.201	0.689	-0.360	-3.393
HP_PURE_RED_CELL_APLASIA HP_PURE_RED_CELL_APLASIA	-0.491	-1.037	1.666	2.932	1.666	-0.491	-0.491	-1.037	-0.491	-1.037	-0.498
HP_DIALEPTIC_SEIZURE HP_DIALEPTIC_SEIZURE	1.353	-0.520	0.795	2.071	-0.399	-3.662	-0.838	0.399	0.795	0.795	-2.701
HP_NON_MOTOR_SEIZURE HP_NON_MOTOR_SEIZURE	1.489	-0.385	0.700	2.002	-0.667	-3.476	-0.854	0.319	0.553	1.262	-2.472
HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL HP_ELEVATED_RED_CELL_ADENOSINE_DEAMINASE_LEVEL	-0.912	-0.912	1.361	3.356	1.361	-0.406	-0.406	-0.912	-0.406	-0.912	-0.412
HP_FOCAL_T2_HYPERINTENSE_BRAINSTEM_LESION HP_FOCAL_T2_HYPERINTENSE_BRAINSTEM_LESION	-1.328	-0.363	1.656	2.790	0.247	-0.363	1.190	-0.363	-0.703	-1.328	-1.342
HP_MACROCYTIC_ANEMIA HP_MACROCYTIC_ANEMIA	-2.540	-0.740	1.705	2.568	1.336	0.316	-0.286	-0.740	-0.471	-1.684	-0.295
