GO	[-4.93 -0.54]	[-0.54 -0.26]	[-0.26 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.03]	[0.03 0.13]	[0.13 0.28]	[0.28 0.54]	[0.54 1.07]	[1.07 6.79]
JAK2_DN.V1_UP JAK2_DN.V1_UP	1.621	-0.514	-2.290	-1.047	2.129	5.657	-3.237	-3.237	-1.578	0.819	0.813
CTIP_DN.V1_UP CTIP_DN.V1_UP	2.344	-0.499	-3.556	-4.418	0.804	1.002	-0.499	-1.850	0.478	-0.362	3.793
KRAS.LUNG.BREAST_UP.V1_UP KRAS.LUNG.BREAST_UP.V1_UP	1.524	0.283	-4.690	-0.785	1.791	1.524	-2.523	-2.040	-1.018	0.855	2.378
ESC_J1_UP_LATE.V1_UP ESC_J1_UP_LATE.V1_UP	-0.309	-1.621	-3.889	-0.869	-0.411	0.504	-0.869	0.504	-1.331	3.266	5.518
IL21_UP.V1_DN IL21_UP.V1_DN	1.323	0.770	-3.329	-4.614	0.622	1.543	-1.643	-1.643	1.781	0.380	1.534
MEL18_DN.V1_DN MEL18_DN.V1_DN	0.927	-1.787	-1.787	-1.787	-0.888	-1.433	-0.888	-0.515	2.164	1.875	4.721
CAMP_UP.V1_UP CAMP_UP.V1_UP	-1.984	1.857	2.659	0.443	-0.351	-0.587	1.403	1.403	-0.458	-2.352	-4.438
KRAS.LUNG_UP.V1_DN KRAS.LUNG_UP.V1_DN	1.033	0.274	-1.037	-4.729	1.495	2.677	-2.068	-0.802	-0.453	0.274	1.487
P53_DN.V1_UP P53_DN.V1_UP	0.801	-1.513	-1.245	-1.245	0.801	-1.245	-1.513	-1.245	0.406	2.057	5.420
KRAS.PROSTATE_UP.V1_UP KRAS.PROSTATE_UP.V1_UP	0.937	-0.539	-3.664	-1.931	1.149	1.385	-1.212	-1.539	0.439	1.644	1.378
CSR_LATE_UP.V1_UP CSR_LATE_UP.V1_UP	-2.285	-0.346	4.094	3.357	-0.608	-0.608	-1.244	0.470	-0.346	0.260	-1.892
HOXA9_DN.V1_UP HOXA9_DN.V1_UP	-2.555	0.317	-0.998	-0.380	-2.151	-2.151	1.171	1.374	0.817	0.817	2.632
E2F1_UP.V1_DN E2F1_UP.V1_DN	0.285	-2.815	-2.368	1.323	-1.643	-1.351	1.121	1.543	1.543	0.285	0.930
E2F1_UP.V1_UP E2F1_UP.V1_UP	-1.154	0.582	2.790	1.699	-1.710	-0.932	1.469	0.458	-0.343	-0.452	-3.434
TGFB_UP.V1_UP TGFB_UP.V1_UP	0.901	-2.029	-0.442	-0.730	-0.730	-1.687	-2.029	0.595	1.081	3.143	1.484
NOTCH_DN.V1_DN NOTCH_DN.V1_DN	1.162	-0.402	-2.316	-1.932	-0.853	0.973	-1.599	-0.301	0.400	0.973	3.292
TBK1.DN.48HRS_DN TBK1.DN.48HRS_DN	-2.074	-0.285	1.097	0.783	-0.492	-0.492	0.522	2.345	-1.294	0.317	-0.813
