GO	[-6.42 -0.58]	[-0.58 -0.27]	[-0.27 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.22]	[0.22 0.46]	[0.46 0.96]	[0.96 8.92]
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN	6.105	-0.452	-3.406	-1.702	1.249	4.476	-2.888	-3.406	-1.702	0.581	0.723
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	2.779	-0.685	-1.882	-2.241	3.405	0.377	-2.241	-4.982	-0.539	0.910	3.409
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	2.179	-3.162	-0.805	-2.661	2.179	1.434	-2.228	-0.805	-0.805	0.326	3.413
GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN	2.115	-1.571	-2.718	-2.280	-0.392	2.115	-2.718	0.409	-0.660	0.988	3.671
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	3.446	-1.278	-0.672	-1.278	-0.309	1.740	-1.278	-2.623	-1.278	-0.309	4.509
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	2.093	0.693	-1.373	-1.974	1.611	-0.739	-3.779	-1.653	-0.457	1.194	2.937
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN	3.161	-0.331	-1.392	-2.765	0.861	0.384	-2.765	-0.830	-1.392	1.831	2.134
GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_DN GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_DN	3.409	-0.277	-1.529	-3.742	1.664	0.691	-0.805	-2.661	-0.490	-0.277	2.182
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	3.569	-0.919	-0.919	-1.974	0.442	0.559	-1.653	-3.235	-0.351	1.394	2.642
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP	3.286	-0.343	-1.164	-3.086	4.565	0.515	-1.928	-0.661	-0.482	-0.482	0.263
GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP GSE21670_UNTREATED_VS_TGFB_TREATED_CD4_TCELL_UP	2.934	-0.351	-1.974	-3.235	1.010	-0.351	-0.739	-1.653	-0.739	1.611	2.361
GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP	2.228	-0.442	-1.386	-3.375	1.715	0.594	0.897	-1.680	-1.680	-0.442	2.231
GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	3.052	-0.613	-2.350	-0.443	1.164	-0.828	-1.098	-1.432	-1.098	0.561	3.452
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	2.650	-0.301	-1.924	-1.593	1.157	0.301	-1.924	0.301	-1.924	0.301	3.286
GSE9988_LPS_VS_LOW_LPS_MONOCYTE_DN GSE9988_LPS_VS_LOW_LPS_MONOCYTE_DN	2.509	-0.335	-1.680	-1.386	0.361	0.736	-1.386	-2.411	0.468	-0.442	3.797
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP	3.284	-0.574	-1.112	-0.447	2.971	-1.354	-1.632	-1.632	0.263	0.859	0.351
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	3.084	0.485	-0.317	-2.241	0.910	-0.417	-0.685	-3.118	-0.858	1.487	0.611
GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP GSE4142_PLASMA_CELL_VS_MEMORY_BCELL_UP	2.971	-0.447	-1.632	-1.632	1.636	0.571	-1.951	-0.903	-0.574	0.350	1.639
GSE35543_IN_VIVO_NTREG_VS_IN_VITRO_ITREG_UP GSE35543_IN_VIVO_NTREG_VS_IN_VITRO_ITREG_UP	2.390	-0.725	-2.732	-0.574	3.954	0.263	-0.903	-0.903	0.350	0.350	-0.446
