GO	[-7.27 -0.66]	[-0.66 -0.29]	[-0.29 -0.15]	[-0.15 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.11]	[0.11 0.27]	[0.27 0.53]	[0.53 1.06]	[1.06 6.87]
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-4.204	-0.301	10.048	17.272	0.508	-5.748	-0.301	-1.260	-3.062	-4.204	-3.590
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-6.444	-3.562	0.259	0.614	-0.806	-3.562	2.468	7.980	5.989	-0.621	-6.440
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	2.368	0.355	-3.937	-3.937	7.622	3.336	-4.707	-1.241	-2.745	0.260	0.756
AIZARANI_LIVER_C21_STELLATE_CELLS_1 AIZARANI_LIVER_C21_STELLATE_CELLS_1	0.301	-0.398	-3.593	-1.529	-1.260	-4.204	-2.192	-1.028	2.558	5.752	6.624
DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS	1.857	0.246	-1.999	-1.077	-0.538	11.491	-3.693	-1.999	-0.364	0.376	-1.076
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	1.935	-0.310	-0.923	-3.800	-0.722	-0.310	-2.171	-1.780	0.518	-0.722	11.303
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 AIZARANI_LIVER_C25_KUPFFER_CELLS_4	-3.549	-0.909	-0.909	0.498	-1.714	-7.238	1.359	0.632	2.098	2.680	2.101
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	1.406	0.385	-4.597	-3.197	0.645	3.122	-3.834	-2.197	0.645	1.903	1.408
DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS	3.990	-0.417	-2.288	-2.913	1.767	3.563	-2.288	-2.288	-1.787	0.439	0.985
DESCARTES_FETAL_PANCREAS_ACINAR_CELLS DESCARTES_FETAL_PANCREAS_ACINAR_CELLS	0.576	-1.029	-1.029	-1.420	5.130	5.692	-1.029	-3.610	-1.420	-0.505	0.268
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	1.017	-0.759	-0.975	-3.461	2.914	4.015	-2.341	-2.341	-1.543	0.828	1.460
DESCARTES_FETAL_LIVER_MEGAKARYOCYTES DESCARTES_FETAL_LIVER_MEGAKARYOCYTES	-0.259	-0.635	-2.455	-1.048	-2.012	-0.635	-2.012	-0.358	0.347	3.809	7.387
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	-0.334	-1.594	-1.594	-2.671	1.427	5.959	-2.071	-2.071	0.393	0.543	2.035
DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS	2.562	-1.948	-0.431	-1.191	7.240	0.597	-1.191	-1.191	-1.191	-0.242	-1.190
DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS	2.368	-0.782	-1.241	-3.292	0.755	-2.278	-2.745	0.260	-0.346	2.081	4.462
DESCARTES_FETAL_EYE_PHOTORECEPTOR_CELLS DESCARTES_FETAL_EYE_PHOTORECEPTOR_CELLS	3.604	-0.578	-0.348	-2.239	0.664	4.820	-2.239	-0.578	-1.431	-0.920	-0.348
DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS	2.330	-0.685	-2.706	-2.101	4.378	0.702	-3.486	-0.685	-0.493	0.380	1.138
DESCARTES_FETAL_LIVER_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_LIVER_VASCULAR_ENDOTHELIAL_CELLS	1.489	-1.035	-2.062	-2.546	0.660	-1.035	-1.657	-1.318	0.660	1.751	5.478
CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE	-1.831	-1.831	0.564	0.706	-0.270	-4.386	4.953	-0.621	2.212	0.441	-0.789
DESCARTES_MAIN_FETAL_MUC13_DMBT1_POSITIVE_CELLS DESCARTES_MAIN_FETAL_MUC13_DMBT1_POSITIVE_CELLS	3.358	0.447	-1.487	-1.949	0.805	4.250	-1.949	-1.949	0.312	-0.829	-0.423
DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS	0.818	-1.302	-2.779	-2.779	0.582	3.081	-0.586	-0.884	0.238	0.388	2.177
ZHENG_CORD_BLOOD_C4_PUTATIVE_EARLY_ERYTHROID_COMMITMENT ZHENG_CORD_BLOOD_C4_PUTATIVE_EARLY_ERYTHROID_COMMITMENT	-2.264	-0.677	0.771	0.998	-0.677	-4.026	1.860	2.579	0.771	-0.324	-1.276
DESCARTES_MAIN_FETAL_HEPATOBLASTS DESCARTES_MAIN_FETAL_HEPATOBLASTS	0.500	-0.677	-2.477	-1.957	4.966	0.500	-2.477	-0.904	0.849	1.301	0.365
DESCARTES_FETAL_PLACENTA_TROPHOBLAST_GIANT_CELLS DESCARTES_FETAL_PLACENTA_TROPHOBLAST_GIANT_CELLS	0.488	-1.151	-1.563	-2.807	2.075	3.274	-1.563	-0.833	-0.589	0.488	1.735
DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS	1.589	0.268	-0.767	-2.716	3.380	-0.337	-2.251	-1.853	-0.594	2.404	0.482
DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS	0.737	0.376	-1.999	-1.077	3.021	2.604	-1.477	-1.477	-1.999	0.246	0.969
HAY_BONE_MARROW_CD34_POS_EO_B_MAST HAY_BONE_MARROW_CD34_POS_EO_B_MAST	-0.324	0.279	-0.787	-0.787	-0.787	-0.787	-0.787	0.279	-0.324	0.279	6.892
DESCARTES_MAIN_FETAL_BIPOLAR_CELLS DESCARTES_MAIN_FETAL_BIPOLAR_CELLS	0.451	0.301	-0.457	-2.510	0.301	6.589	-1.336	-1.336	0.451	-0.457	-0.300
DESCARTES_FETAL_PLACENTA_SMOOTH_MUSCLE_CELLS DESCARTES_FETAL_PLACENTA_SMOOTH_MUSCLE_CELLS	1.529	-0.771	-1.077	-0.538	1.232	0.246	-2.696	-2.696	0.246	2.604	0.969
HAY_BONE_MARROW_CD34_POS_GRAN HAY_BONE_MARROW_CD34_POS_GRAN	-1.118	-0.550	-0.260	-0.550	-1.118	-1.118	-1.118	0.347	0.644	1.503	4.130
HAY_BONE_MARROW_PLASMA_CELL HAY_BONE_MARROW_PLASMA_CELL	0.548	-2.159	-2.702	-1.043	0.408	4.070	0.291	-0.595	-0.311	0.902	0.549
DESCARTES_MAIN_FETAL_CARDIOMYOCYTES DESCARTES_MAIN_FETAL_CARDIOMYOCYTES	-0.525	-1.616	-0.525	-0.525	-0.283	3.933	-0.925	-0.925	-0.525	0.858	1.658
