GO	[-7.27 -0.76]	[-0.76 -0.25]	[-0.25 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.35]	[0.35 0.84]	[0.84 8.92]
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN	-4.390	-1.127	0.558	-0.457	-8.302	-8.302	-8.302	0.692	8.493	8.987	2.929
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	-3.768	-0.264	1.191	-1.649	-8.302	-8.302	-8.302	-0.351	4.243	10.010	5.800
GSE29618_MONOCYTE_VS_PDC_UP GSE29618_MONOCYTE_VS_PDC_UP	-2.751	-1.369	-0.264	-0.585	-8.302	-6.977	-8.302	-0.585	4.243	10.539	9.003
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	-5.109	0.341	-0.457	-0.917	-8.302	-6.977	-8.302	0.442	5.788	7.542	7.556
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN	-3.768	-1.369	0.341	-0.585	-6.977	-8.302	-8.302	0.442	6.639	7.084	7.556
GSE29618_MONOCYTE_VS_MDC_UP GSE29618_MONOCYTE_VS_MDC_UP	-2.335	-1.127	0.341	-0.917	-8.302	-6.977	-8.302	-0.264	3.553	9.493	9.003
GSE29618_BCELL_VS_MONOCYTE_DN GSE29618_BCELL_VS_MONOCYTE_DN	-4.423	-1.144	2.056	-0.467	-8.344	-8.344	-8.344	1.368	5.327	4.937	4.571
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	-2.360	-0.932	0.825	-1.389	-8.344	-7.017	-8.344	-0.271	5.327	8.911	6.160
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN	-3.768	-1.127	0.841	-0.585	-6.977	-8.302	-8.302	0.841	10.010	4.609	3.901
HALLMARK_TNFA_SIGNALING_VIA_NFKB HALLMARK_TNFA_SIGNALING_VIA_NFKB	-2.778	0.333	-0.359	-0.751	-8.344	-5.992	-8.344	-0.597	4.937	7.019	8.436
GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN	-4.059	-0.607	2.126	-1.743	-7.886	-7.886	-5.581	-0.361	5.533	6.834	5.545
GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_DN	-5.109	-0.351	1.390	-0.264	-8.302	-6.977	-8.302	0.692	7.542	5.788	2.092
GSE10325_BCELL_VS_MYELOID_DN GSE10325_BCELL_VS_MYELOID_DN	-1.946	0.263	0.263	-0.724	-8.260	-6.938	-8.260	-0.447	3.269	7.150	9.080
GSE11057_CD4_EFF_MEM_VS_PBMC_DN GSE11057_CD4_EFF_MEM_VS_PBMC_DN	-3.023	0.519	-0.389	-0.505	-8.011	-8.011	-8.011	0.519	7.091	4.212	5.788
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP	-4.357	0.452	6.702	-0.342	-8.260	-8.260	-8.260	0.571	3.595	2.381	2.669
GSE29618_PDC_VS_MDC_DN GSE29618_PDC_VS_MDC_DN	-4.357	0.263	2.381	1.026	-6.938	-8.260	-8.260	-0.902	3.595	8.082	2.388
AIZARANI_LIVER_C21_STELLATE_CELLS_1 AIZARANI_LIVER_C21_STELLATE_CELLS_1	-0.516	0.396	-0.827	-1.832	-4.191	-8.052	-5.730	-2.185	1.122	6.141	17.162
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_DN GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_DN	-3.706	-0.334	-0.886	0.271	-6.898	-8.219	-8.219	3.980	6.766	3.638	3.318
GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_DN GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_DN	-4.390	-1.649	4.988	-0.264	-8.302	-8.302	-5.109	0.841	8.011	1.191	3.563
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP	-2.778	-0.467	1.368	-0.271	-8.344	-8.344	-8.344	0.825	1.581	7.019	6.160
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP	-4.390	-0.264	3.230	-0.264	-8.302	-8.302	-8.302	2.085	5.382	1.606	2.929
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN	-2.778	0.678	0.432	-0.359	-8.344	-8.344	-8.344	0.678	6.577	2.317	6.160
GSE7852_LN_VS_THYMUS_TREG_UP GSE7852_LN_VS_THYMUS_TREG_UP	-3.197	0.452	5.845	-1.946	-8.260	-8.260	-6.938	0.706	3.595	3.595	3.278
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	-1.900	0.278	-0.550	-1.312	-5.003	-5.843	-8.177	-0.697	1.921	4.759	16.806
GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP GSE21360_TERTIARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	-2.274	0.985	0.309	-1.568	-7.553	-6.267	-7.553	-0.659	9.927	6.010	2.684
GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN	-3.768	0.558	0.341	-0.737	-6.977	-8.302	-5.955	-0.264	10.010	1.838	7.098
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	-5.109	-0.264	-0.351	2.349	-6.977	-6.977	-8.302	-0.264	3.553	7.542	3.563
HALLMARK_IL2_STAT5_SIGNALING HALLMARK_IL2_STAT5_SIGNALING	-3.737	-0.573	2.381	-1.350	-5.917	-5.917	-6.938	-1.628	5.436	7.150	6.280
AIZARANI_LIVER_C2_KUPFFER_CELLS_1 AIZARANI_LIVER_C2_KUPFFER_CELLS_1	-3.737	-0.447	1.865	-0.902	-8.260	-5.917	-8.260	1.631	2.115	3.269	8.583
GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_DN GSE35685_CD34POS_CD10NEG_CD62LPOS_VS_CD34POS_CD10POS_BONE_MARROW_DN	-6.977	-0.457	5.382	-0.917	-6.977	-5.955	-6.977	2.085	5.788	2.085	2.092
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 AIZARANI_LIVER_C25_KUPFFER_CELLS_4	-3.539	-0.907	1.827	-0.716	-7.220	-7.220	-7.220	0.784	2.983	4.405	7.488
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	-3.226	0.442	-0.264	0.558	-8.302	-6.977	-8.302	0.341	3.553	6.207	5.800
GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	-3.768	-0.351	2.349	-0.264	-6.977	-8.302	-8.302	0.841	7.542	2.349	2.929
VERHAAK_AML_WITH_NPM1_MUTATED_UP VERHAAK_AML_WITH_NPM1_MUTATED_UP	-0.896	1.505	-0.559	-0.559	-6.425	-5.432	-7.719	-1.363	0.479	2.832	17.474
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	-2.326	1.555	-0.535	-3.862	-4.547	-7.636	-6.346	0.293	5.464	3.228	9.243
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	-1.923	-1.331	3.638	-0.710	-6.898	-8.219	-8.219	0.874	4.337	3.309	4.719
GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN	-3.768	0.692	1.390	-1.127	-6.977	-8.302	-6.977	0.442	6.207	4.609	3.901
GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP	-3.197	0.263	4.290	0.350	-8.260	-8.260	-6.938	0.263	5.436	1.211	4.669
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP	-4.390	-0.457	0.841	-1.369	-8.302	-5.109	-5.955	0.442	5.382	5.788	6.653
GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP	-3.197	0.350	1.026	1.865	-8.260	-8.260	-8.260	0.706	6.267	1.631	2.966
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN	-3.197	0.571	0.571	-1.109	-6.938	-8.260	-6.938	0.858	7.150	5.436	2.966
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN	-2.249	-1.024	1.004	-1.872	-7.511	-5.247	-6.228	-0.382	5.640	4.429	8.966
GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP GSE21670_UNTREATED_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	-1.331	0.720	-0.437	0.271	-8.219	-8.219	-8.219	0.463	5.093	6.328	3.004
GSE22229_RENAL_TRANSPLANT_IMMUNOSUPP_THERAPY_VS_HEALTHY_PBMC_DN GSE22229_RENAL_TRANSPLANT_IMMUNOSUPP_THERAPY_VS_HEALTHY_PBMC_DN	-3.737	1.413	1.026	-0.573	-6.938	-8.260	-6.938	-0.447	6.267	3.269	4.669
EGFR_UP.V1_UP EGFR_UP.V1_UP	-2.994	0.415	0.662	-0.992	-7.969	-3.520	-6.661	-2.136	5.019	7.158	6.717
GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_DN GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_DN	-2.335	-0.264	3.553	-0.585	-8.302	-8.302	-6.977	0.442	6.639	2.349	2.929
GSE11057_CD4_CENT_MEM_VS_PBMC_DN GSE11057_CD4_CENT_MEM_VS_PBMC_DN	-1.545	0.765	-0.407	-0.671	-8.094	-5.768	-8.094	-0.671	4.483	5.661	6.973
GSE40666_WT_VS_STAT1_KO_CD8_TCELL_DN GSE40666_WT_VS_STAT1_KO_CD8_TCELL_DN	-2.310	1.413	1.631	0.452	-8.260	-8.260	-8.260	-0.447	5.845	2.381	2.966
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_DN GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_DN	-3.706	-0.334	2.995	0.463	-6.898	-8.219	-6.898	-0.710	4.337	3.638	5.105
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN	-4.768	-0.633	-0.269	-0.485	-5.718	-6.971	-5.718	0.336	7.428	6.011	4.737
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-3.688	-1.703	0.428	0.319	-5.367	-4.439	-6.596	-0.284	8.666	0.428	11.551
GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP GSE16385_ROSIGLITAZONE_IL4_VS_IFNG_TNF_STIM_MACROPHAGE_UP	-1.649	-0.351	3.553	0.692	-8.302	-8.302	-8.302	1.191	7.084	0.442	2.092
GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN	-5.074	0.350	0.706	0.571	-8.260	-5.917	-8.260	3.595	5.041	2.381	2.388
HOXA9_DN.V1_UP HOXA9_DN.V1_UP	-4.125	0.662	0.530	-0.379	-7.969	-6.661	-7.969	2.066	5.420	2.333	4.269
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	-2.185	0.942	0.780	-1.256	-6.740	-8.052	-5.730	-0.516	1.122	5.718	10.532
GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_DN	-2.724	0.706	0.858	-0.342	-6.938	-8.260	-8.260	0.571	7.150	3.595	2.669
GSE14000_UNSTIM_VS_4H_LPS_DC_DN GSE14000_UNSTIM_VS_4H_LPS_DC_DN	-3.168	0.874	3.309	0.463	-6.898	-8.219	-8.219	-0.561	5.093	2.995	2.420
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	-4.290	0.473	1.921	0.278	-6.859	-5.843	-8.177	0.473	10.796	1.063	2.453
GSE7460_TCONV_VS_TREG_LN_DN GSE7460_TCONV_VS_TREG_LN_DN	-4.390	1.008	0.841	-0.737	-5.955	-8.302	-6.977	0.558	5.788	4.988	3.239
GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	-3.737	-1.946	5.041	0.452	-8.260	-5.074	-6.938	1.413	3.269	1.026	5.858
GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN	-3.226	1.606	1.606	-0.351	-6.977	-8.302	-8.302	0.558	5.788	2.627	2.356
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	-0.264	-0.264	-0.457	-0.351	-6.977	-5.109	-8.302	-0.737	1.008	2.085	16.458
GSE7852_TREG_VS_TCONV_LN_UP GSE7852_TREG_VS_TCONV_LN_UP	-3.737	1.413	0.706	-1.109	-8.260	-5.917	-6.938	0.706	6.702	2.662	4.300
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN	-2.335	0.341	1.606	-1.127	-6.977	-6.977	-8.302	1.838	8.011	2.349	2.092
GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP GSE2405_0H_VS_12H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	-2.310	2.381	2.958	-1.628	-6.938	-6.938	-8.260	-0.342	2.662	2.958	4.669
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_DN GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_DN	-2.751	-0.457	1.606	-0.351	-8.302	-6.977	-5.955	0.692	10.010	1.191	3.563
DESCARTES_FETAL_PLACENTA_MEGAKARYOCYTES DESCARTES_FETAL_PLACENTA_MEGAKARYOCYTES	-1.946	1.211	1.631	-1.350	-5.917	-8.260	-6.938	-0.902	3.936	3.595	6.716
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP	-1.369	-1.127	1.390	-0.457	-8.302	-6.977	-6.977	0.558	7.084	3.891	3.563
GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP	-1.967	0.379	1.312	-0.547	-7.678	-7.678	-7.678	0.619	5.000	3.867	3.528
HUANG_GATA2_TARGETS_UP HUANG_GATA2_TARGETS_UP	-5.055	-0.742	0.526	0.675	-6.264	-5.055	-6.264	0.292	9.958	2.302	3.304
GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP	-1.369	1.390	1.838	-0.737	-8.302	-6.977	-8.302	0.341	7.084	1.838	2.356
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_DN GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_DN	-1.369	-0.351	3.553	-0.737	-5.955	-8.302	-8.302	-0.264	4.609	4.988	2.092
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	-4.224	1.296	3.110	-1.855	-6.780	-6.780	-6.780	1.977	4.862	1.507	2.811
GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_45MIN_DN GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_45MIN_DN	-4.390	-1.369	3.553	2.085	-6.977	-6.977	-6.977	2.349	3.553	1.008	2.635
DESCARTES_FETAL_THYMUS_ANTIGEN_PRESENTING_CELLS DESCARTES_FETAL_THYMUS_ANTIGEN_PRESENTING_CELLS	-2.407	-0.293	0.412	-0.674	-7.095	-4.097	-5.836	-0.859	2.477	2.188	15.293
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	-1.350	-0.342	1.026	0.263	-8.260	-8.260	-6.938	0.452	5.041	4.290	3.604
GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_DN GSE22140_GERMFREE_VS_SPF_ARTHRITIC_MOUSE_CD4_TCELL_DN	-5.074	1.631	5.041	0.263	-6.938	-5.917	-8.260	1.026	3.595	0.858	2.122
GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN	-2.310	0.571	0.350	-0.724	-6.938	-6.938	-5.074	-1.109	6.702	5.436	5.448
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN	-3.799	-0.467	4.197	-0.359	-8.344	-4.423	-8.344	3.512	2.056	1.581	3.200
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_DN	-4.026	-1.165	2.432	-0.595	-7.844	-5.544	-5.544	1.034	4.787	4.787	3.359
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_DN GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_DN	-4.898	0.780	1.318	-0.658	-8.052	-4.898	-6.740	0.780	5.718	4.532	2.275
GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP	-3.226	-0.351	3.230	-0.351	-5.109	-5.109	-8.302	-0.351	11.631	0.692	2.356
GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_DN GSE32986_CURDLAN_LOWDOSE_VS_CURDLAN_HIGHDOSE_STIM_DC_DN	-3.226	-0.737	3.230	-0.457	-8.302	-6.977	-5.109	0.558	3.553	4.988	3.563
GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	-2.724	0.706	3.269	-0.573	-5.917	-8.260	-8.260	0.706	3.936	2.662	2.966
GSE10325_CD4_TCELL_VS_MYELOID_DN GSE10325_CD4_TCELL_VS_MYELOID_DN	-2.751	-0.585	2.085	-0.737	-8.302	-5.109	-6.977	0.692	6.207	4.609	2.635
