GO	[-7.27 -0.75]	[-0.75 -0.25]	[-0.25 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.35]	[0.35 0.84]	[0.84 8.92]
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	-6.977	2.349	47.722	4.609	-8.302	-8.302	-8.302	0.558	-1.369	-5.955	-8.292
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-5.470	0.895	50.130	2.795	-5.470	-7.761	-7.761	-0.335	-1.676	-1.676	-7.752
HALLMARK_OXIDATIVE_PHOSPHORYLATION HALLMARK_OXIDATIVE_PHOSPHORYLATION	-6.977	0.692	19.775	5.382	-8.302	-8.302	-8.302	7.542	0.442	-3.226	-5.101
GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN GSE41867_DAY6_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	-8.260	2.115	25.788	2.381	-8.260	-8.260	-6.938	1.413	2.381	-2.310	-5.909
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-8.135	0.285	14.363	-0.317	-8.135	-8.135	-8.135	4.434	11.999	-0.684	-4.960
GSE27786_BCELL_VS_MONO_MAC_UP GSE27786_BCELL_VS_MONO_MAC_UP	-4.323	1.656	21.456	1.045	-8.219	-8.219	-8.219	2.697	5.093	-3.706	-5.871
GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP GSE31082_DN_VS_CD4_SP_THYMOCYTE_UP	-3.768	0.558	27.190	0.442	-8.302	-8.302	-8.302	2.921	3.891	-3.226	-3.219
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP	-5.917	4.658	21.318	-0.342	-8.260	-8.260	-8.260	2.958	2.662	-1.946	-4.349
MORF_RAB1A MORF_RAB1A	-6.622	-0.620	4.308	2.365	-7.927	-7.927	-7.927	9.181	11.899	-0.620	-6.613
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN	-6.977	1.191	11.631	3.891	-8.302	-8.302	-8.302	3.553	6.639	-4.390	-2.745
