GO	[-4.93 -0.49]	[-0.49 -0.23]	[-0.23 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.21]	[0.21 0.44]	[0.44 0.92]	[0.92 7.03]
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1.695	-3.155	-3.694	-2.271	1.936	3.382	-1.318	-3.694	-1.318	2.468	3.357
NABA_ECM_AFFILIATED NABA_ECM_AFFILIATED	2.533	-1.979	-2.868	-1.625	-0.385	1.462	-4.862	-1.064	-1.064	3.175	5.467
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.301	-0.659	-1.531	-4.213	3.507	5.782	-1.029	-2.196	-1.029	-0.659	2.548
KEGG_ECM_RECEPTOR_INTERACTION KEGG_ECM_RECEPTOR_INTERACTION	0.637	-0.671	-2.512	-1.837	-2.512	-0.958	-0.671	-0.958	0.451	2.894	7.868
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	2.785	-0.500	-1.575	-1.575	-0.500	-0.893	-0.266	-0.893	-1.575	-0.266	7.178
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	3.805	-0.672	-2.221	-3.632	0.497	0.624	-3.097	-1.280	0.293	1.994	2.514
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.349	-1.733	-2.147	-3.946	1.410	3.240	-1.094	-0.490	-1.385	2.233	2.216
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	2.422	-0.981	-1.869	-1.869	-0.473	-1.364	-1.869	-0.981	0.616	2.040	4.749
WP_GPCRS_OTHER WP_GPCRS_OTHER	0.842	-0.875	-1.202	-2.165	-0.623	2.743	-2.165	-0.432	-2.165	1.658	4.055
WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS	0.453	-1.057	-1.782	-1.782	0.716	1.425	-1.057	-1.782	0.254	-0.354	5.524
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	3.087	-0.374	-0.884	-1.891	-0.374	-0.374	-0.374	-1.891	-1.891	0.239	5.919
PID_INTEGRIN1_PATHWAY PID_INTEGRIN1_PATHWAY	1.829	-1.271	-1.271	-1.271	-0.859	-1.855	-0.566	-1.271	0.605	1.134	6.034
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	1.280	-1.575	-0.893	-1.575	-1.575	-0.893	-0.500	-0.893	0.899	3.397	2.216
REACTOME_ELASTIC_FIBRE_FORMATION REACTOME_ELASTIC_FIBRE_FORMATION	0.959	-1.865	-1.124	-1.124	-1.865	-1.124	-0.676	-0.392	0.959	3.294	2.716
KEGG_FOCAL_ADHESION KEGG_FOCAL_ADHESION	0.709	-0.342	-1.356	-1.956	-2.739	-2.739	0.454	0.709	1.032	1.032	4.306
KEGG_DILATED_CARDIOMYOPATHY KEGG_DILATED_CARDIOMYOPATHY	1.495	-0.554	-2.735	-2.033	-1.102	-0.247	-1.102	-0.247	-0.377	1.495	4.866
REACTOME_ECM_PROTEOGLYCANS REACTOME_ECM_PROTEOGLYCANS	1.391	-1.581	-1.581	-0.775	-1.118	-0.775	-0.775	-1.118	0.265	3.920	3.401
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	1.518	-0.309	-2.630	-1.864	-1.551	-0.844	-1.280	-0.309	1.518	1.109	4.131
KEGG_HEMATOPOIETIC_CELL_LINEAGE KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.435	0.435	-0.981	-0.981	-0.691	-0.473	-0.981	-1.869	0.290	-0.313	8.421
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION	-0.364	0.638	-0.949	-2.281	-0.949	-0.364	-1.466	-0.600	-0.364	2.979	4.083
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	1.303	-1.275	-1.275	-2.009	-2.009	-0.580	-0.310	-0.580	1.821	0.695	4.262
REACTOME_O_LINKED_GLYCOSYLATION REACTOME_O_LINKED_GLYCOSYLATION	3.934	0.380	-1.238	-1.623	-1.238	-0.930	-0.493	0.261	-0.930	-0.345	3.912
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1.443	-0.934	-1.308	-1.804	-1.308	0.658	-0.652	-0.652	-0.442	0.885	4.920
WP_TGFBETA_RECEPTOR_SIGNALING WP_TGFBETA_RECEPTOR_SIGNALING	0.815	-1.035	-0.416	-1.035	-2.405	-0.668	0.363	1.848	-0.247	-1.035	3.799
REACTOME_DISEASES_OF_GLYCOSYLATION REACTOME_DISEASES_OF_GLYCOSYLATION	2.346	-0.330	-0.801	-2.064	-0.608	-1.035	-0.608	-1.319	-0.453	1.493	3.746
WP_GENES_CONTROLLING_NEPHROGENESIS WP_GENES_CONTROLLING_NEPHROGENESIS	-0.354	-1.057	-1.057	-1.782	1.041	-1.057	-0.354	0.453	-0.354	0.453	4.798
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	0.825	-1.581	-1.118	-0.775	-1.118	0.265	-0.775	-0.523	0.265	0.825	5.577
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	-0.283	-0.524	-0.925	-1.616	-0.524	1.658	-0.925	-1.616	0.859	1.228	2.138
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.880	-1.518	-1.064	-0.731	-1.518	0.289	-0.731	-0.488	0.289	0.880	5.181
PID_AVB3_INTEGRIN_PATHWAY PID_AVB3_INTEGRIN_PATHWAY	-0.314	-2.144	-0.488	-0.314	-1.064	-2.144	0.289	0.643	2.626	-0.314	2.612
WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS	0.702	-0.762	-0.489	-1.152	-2.572	-0.762	0.302	1.643	0.302	-0.489	3.454
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	0.252	-1.262	-0.950	-1.262	0.252	-0.950	-0.702	-0.507	0.512	1.112	5.784
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	-0.351	-0.828	-0.351	-0.828	-0.828	-0.351	-0.828	0.256	-0.351	3.675	2.143
WP_HIPPOMERLIN_SIGNALING_DYSREGULATION WP_HIPPOMERLIN_SIGNALING_DYSREGULATION	0.487	-0.924	-0.693	-0.509	0.487	-1.209	-1.987	0.354	-0.509	0.646	5.367
WP_SLEEP_REGULATION WP_SLEEP_REGULATION	-0.266	-0.500	-0.266	-1.575	0.899	2.226	-1.575	-0.266	-0.500	-0.893	2.216
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY	-0.266	-0.266	-1.575	-0.893	-0.266	-0.266	-0.893	-0.893	0.339	0.899	4.759
