GO	[-4.32 -0.51]	[-0.51 -0.24]	[-0.24 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.03]	[0.03 0.13]	[0.13 0.27]	[0.27 0.53]	[0.53 1.04]	[1.04 6.70]
MODULE_92 MODULE_92	1.086	-0.716	-3.383	-3.383	-0.293	4.214	-2.272	-0.716	-0.404	1.086	3.112
MODULE_146 MODULE_146	-0.555	-1.056	-1.867	-1.414	0.668	1.377	-1.414	-2.444	-0.260	0.874	7.282
MODULE_122 MODULE_122	1.524	-1.022	-2.048	-2.048	-0.443	-0.443	-2.048	-0.443	-0.788	3.449	5.186
MODULE_324 MODULE_324	0.361	-1.132	-1.448	-2.291	1.251	0.491	-2.849	-1.132	0.255	1.773	5.253
MODULE_289 MODULE_289	1.017	-0.378	-1.593	-2.026	0.341	2.426	-2.556	-2.026	-0.378	0.809	3.594
MODULE_73 MODULE_73	-0.434	0.821	0.199	-0.954	-0.954	-0.954	0.199	-0.434	-0.954	0.199	5.825
MODULE_76 MODULE_76	1.212	-1.746	-0.616	-1.746	-0.267	1.520	-1.257	-0.616	-0.891	0.501	4.093
MODULE_180 MODULE_180	1.168	0.290	-1.854	-1.854	-0.312	-0.833	-1.104	-0.833	1.168	0.290	4.857
MODULE_96 MODULE_96	0.359	0.359	-0.862	-1.536	1.334	-0.250	-1.536	-1.536	-0.250	0.614	2.905
MODULE_385 MODULE_385	0.607	-0.581	-1.162	-1.162	0.323	0.978	-0.581	-1.162	-0.280	-0.280	4.003
MODULE_223 MODULE_223	0.509	-0.805	-3.147	-1.326	0.273	-0.612	-0.612	-0.331	0.661	2.046	3.072
MODULE_375 MODULE_375	1.203	-0.378	-1.106	-1.512	-0.248	2.176	-2.040	-1.512	0.362	0.362	2.203
MODULE_410 MODULE_410	0.646	-0.234	-0.830	-1.494	0.984	-0.234	-1.494	-1.494	0.380	0.646	2.413
MODULE_164 MODULE_164	0.315	-1.682	-0.471	-1.682	-0.740	2.100	-1.125	-0.287	-0.287	0.728	3.063
MODULE_79 MODULE_79	0.258	-1.335	-0.717	-0.988	-1.777	0.729	0.384	-1.335	0.541	1.198	3.788
MODULE_199 MODULE_199	1.152	-0.235	-0.400	-1.540	-0.647	-1.009	-1.009	-0.235	-1.009	1.152	3.946
MODULE_259 MODULE_259	0.625	-0.228	-0.412	-1.160	-0.704	-0.704	-1.160	-0.412	-0.704	1.273	4.480
MODULE_128 MODULE_128	0.278	-1.283	-0.680	-0.944	-1.717	0.772	0.278	-1.283	0.576	1.259	3.462
MODULE_170 MODULE_170	0.248	-1.361	-0.523	-1.011	-1.807	0.708	0.248	-1.011	0.524	1.168	3.723
MODULE_424 MODULE_424	0.655	-0.746	-0.746	-0.298	-0.746	0.655	-0.746	-0.298	-0.746	1.129	2.416
MODULE_478 MODULE_478	0.279	-0.325	-0.788	-0.325	-0.788	0.608	-0.788	-0.325	-0.788	1.057	3.039
MODULE_495 MODULE_495	-0.248	-0.663	-0.248	-0.663	-0.663	0.362	-0.248	-0.663	-0.248	0.762	3.578
