GO	[-7.27 -0.54]	[-0.54 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.92]	[0.92 8.92]
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.973	0.593	16.771	15.455	-0.572	-6.483	-0.572	-2.412	-3.377	-2.022	-7.759
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	1.592	-3.596	-5.263	-6.487	5.917	25.197	-0.358	-3.596	-4.341	-0.636	-2.963
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-3.719	0.875	8.202	21.621	-1.930	-8.242	0.583	-0.889	-1.930	-3.719	-6.896
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	-3.053	0.272	9.566	20.842	-1.143	-4.985	-0.645	-1.143	-3.868	-4.985	-3.854
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.198	-3.944	-2.920	-2.920	7.900	20.646	0.301	-3.944	-3.944	-1.651	-0.443
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	-3.293	-0.464	12.706	14.637	-0.347	-4.707	0.355	-2.278	-3.293	-1.534	-6.884
GOBP_TRANSLATIONAL_INITIATION GOBP_TRANSLATIONAL_INITIATION	-4.172	-0.647	11.221	18.058	-0.814	-4.878	0.308	-0.506	-3.034	-4.878	-3.017
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-1.383	-1.383	-1.788	-2.914	7.558	22.538	-1.383	-3.715	-3.715	-0.418	-2.902
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-5.636	0.829	10.843	8.225	-0.278	-5.636	2.103	-0.484	-2.976	-4.808	-4.788
GOBP_MITOCHONDRIAL_GENE_EXPRESSION GOBP_MITOCHONDRIAL_GENE_EXPRESSION	-4.671	6.708	9.279	3.035	-0.595	-6.862	0.364	0.364	-2.251	-2.251	-6.842
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-3.088	-0.483	5.520	16.528	-0.886	-5.026	0.870	-0.661	-1.508	-3.906	-3.892
GOCC_LARGE_RIBOSOMAL_SUBUNIT GOCC_LARGE_RIBOSOMAL_SUBUNIT	-2.879	1.007	11.480	9.486	-0.774	-4.776	-0.405	-1.760	-2.257	-1.760	-4.762
GOCC_CYTOSOLIC_RIBOSOME GOCC_CYTOSOLIC_RIBOSOME	-2.010	-0.869	8.473	14.857	-0.451	-2.603	0.290	-3.372	-2.603	-1.541	-4.430
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-3.372	-0.451	6.127	15.655	-0.869	-4.443	0.290	-0.451	-1.541	-2.603	-4.430
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION	-4.407	5.551	8.734	2.664	-0.363	-5.568	0.477	-0.363	-2.307	-2.307	-5.552
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-4.086	-0.712	5.017	14.713	-0.712	-6.194	0.708	-0.712	-0.293	-3.361	-2.245
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	-1.657	0.833	4.155	8.557	-0.609	-5.902	2.033	0.833	-3.127	-4.717	-4.700
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	-0.926	8.444	7.935	2.954	-2.102	-6.009	-0.926	-0.570	-0.732	-4.248	-2.998
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-3.134	3.804	8.132	2.799	-1.509	-6.167	0.866	1.045	-0.993	-3.134	-5.168
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	0.257	-1.707	-4.795	-3.906	5.336	10.110	1.198	-3.906	-3.194	-0.350	0.487
GOBP_NUCLEAR_EXPORT GOBP_NUCLEAR_EXPORT	-2.788	0.827	6.614	7.060	-1.148	-5.162	1.586	0.827	-1.393	-2.788	-5.141
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-5.020	-1.317	4.783	1.463	-1.591	-5.020	3.046	3.697	1.927	-1.317	-5.839
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	2.521	-4.075	-2.864	-3.421	3.866	9.942	-0.845	-3.421	-2.864	0.547	0.554
GOBP_TRANSLATIONAL_TERMINATION GOBP_TRANSLATIONAL_TERMINATION	-3.297	1.866	9.340	3.790	-0.424	-4.360	0.312	-0.424	-1.949	-1.487	-4.347
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	-2.307	3.391	4.198	2.664	-1.146	-5.568	1.464	2.020	-1.846	-4.407	-3.533
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	-2.761	0.843	5.819	7.125	-0.586	-4.405	0.341	2.093	-1.976	-2.343	-5.106
