GO	[-4.93 -0.54]	[-0.54 -0.26]	[-0.26 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.03]	[0.03 0.13]	[0.13 0.28]	[0.28 0.54]	[0.54 1.07]	[1.07 6.79]
KRAS.LUNG.BREAST_UP.V1_UP KRAS.LUNG.BREAST_UP.V1_UP	1.524	0.283	-4.690	-0.785	0.524	3.441	-2.523	-2.040	-1.018	0.855	2.378
CTIP_DN.V1_UP CTIP_DN.V1_UP	2.344	-0.499	-3.556	-4.418	0.629	1.225	-0.499	-1.850	0.478	-0.362	3.793
ESC_J1_UP_LATE.V1_UP ESC_J1_UP_LATE.V1_UP	-0.309	-1.621	-3.889	-0.869	-0.411	0.504	-0.869	0.504	-1.331	3.266	5.518
MEL18_DN.V1_DN MEL18_DN.V1_DN	0.927	-1.787	-1.787	-1.787	-1.433	-0.888	-0.888	-0.515	2.164	1.875	4.721
EGFR_UP.V1_UP EGFR_UP.V1_UP	-0.801	-0.998	-0.998	-1.227	-0.998	-3.017	-0.635	0.666	1.595	5.089	2.076
KRAS.BREAST_UP.V1_UP KRAS.BREAST_UP.V1_UP	1.102	-0.752	-1.587	-1.587	1.856	1.856	-2.462	-1.985	-0.979	1.102	2.458
MEK_UP.V1_UP MEK_UP.V1_UP	1.307	-1.048	-1.283	-1.555	-1.283	-2.226	-1.048	0.293	1.521	2.541	3.133
P53_DN.V1_UP P53_DN.V1_UP	0.801	-1.513	-1.245	-1.245	0.652	-1.014	-1.513	-1.245	0.406	2.057	5.420
BMI1_DN_MEL18_DN.V1_UP BMI1_DN_MEL18_DN.V1_UP	0.968	-3.236	-1.388	-0.258	-1.096	-0.360	-0.653	-0.653	-0.258	1.941	4.413
KRAS.KIDNEY_UP.V1_UP KRAS.KIDNEY_UP.V1_UP	2.763	-1.612	-1.612	-1.612	1.304	0.538	-0.998	-1.277	-0.998	1.304	2.105
HOXA9_DN.V1_UP HOXA9_DN.V1_UP	-2.555	0.317	-0.998	-0.380	-2.151	-2.151	1.171	1.374	0.817	0.817	2.632
ALK_DN.V1_DN ALK_DN.V1_DN	2.227	-0.395	-0.942	-3.664	-0.720	-0.283	-1.212	-0.395	-0.283	1.149	3.248
ERBB2_UP.V1_UP ERBB2_UP.V1_UP	0.437	-0.965	-1.190	-0.965	-1.754	-0.965	-0.772	-0.474	2.148	1.022	4.780
RPS14_DN.V1_UP RPS14_DN.V1_UP	-0.610	-0.474	-1.190	-0.474	-0.965	-1.452	-0.965	-0.270	-0.361	3.025	5.178
LEF1_UP.V1_UP LEF1_UP.V1_UP	1.545	-0.831	-1.264	-1.534	0.509	-0.831	-1.264	-1.845	0.785	1.329	3.844
BRCA1_DN.V1_UP BRCA1_DN.V1_UP	1.048	-0.341	-1.419	-2.806	0.505	2.767	-1.419	-1.419	0.373	0.264	2.094
PTEN_DN.V1_UP PTEN_DN.V1_UP	1.323	-1.351	-2.815	-1.980	1.121	-0.318	0.285	-0.702	-0.549	1.323	2.889
ESC_V6.5_UP_EARLY.V1_DN ESC_V6.5_UP_EARLY.V1_DN	0.532	-0.301	-1.761	-0.708	-1.146	0.532	-2.608	-0.708	0.844	2.262	2.554
ATF2_S_UP.V1_DN ATF2_S_UP.V1_DN	-0.432	-2.004	-0.900	-1.118	0.755	0.755	-1.371	-0.716	0.919	0.481	4.218
NOTCH_DN.V1_DN NOTCH_DN.V1_DN	1.162	-0.402	-2.316	-1.932	-0.301	0.400	-1.599	-0.301	0.400	0.973	3.292
RELA_DN.V1_DN RELA_DN.V1_DN	-0.301	-0.752	0.415	-3.036	0.895	1.331	-0.752	-1.255	-0.418	0.415	2.794
BMI1_DN.V1_UP BMI1_DN.V1_UP	0.584	-3.303	-1.136	-0.683	-0.515	-0.275	-0.275	-0.381	0.446	1.875	2.463
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	0.629	-0.886	-1.466	-1.148	-0.362	1.739	-0.672	-0.886	-0.886	2.030	2.021
KRAS.DF.V1_UP KRAS.DF.V1_UP	-1.472	0.680	-0.787	0.680	-0.787	-2.127	-0.787	0.326	2.391	-0.278	2.106
