GO	[-7.27 -0.58]	[-0.58 -0.26]	[-0.26 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.22]	[0.22 0.46]	[0.46 0.96]	[0.96 8.92]
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.781	-1.028	-3.592	-4.911	3.160	6.169	-1.260	-3.061	-1.028	-0.399	4.204
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP	-1.615	0.783	-0.867	-2.333	-5.372	-4.560	0.293	0.502	1.797	2.613	6.381
MOHANKUMAR_HOXA1_TARGETS_DN MOHANKUMAR_HOXA1_TARGETS_DN	-0.405	-0.301	-5.888	-1.362	0.402	0.402	-1.362	-0.533	-1.669	2.448	8.714
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	-0.829	0.301	-1.028	-0.829	-1.837	-5.746	-1.028	0.507	0.396	3.826	7.090
HOLLERN_SQUAMOUS_BREAST_TUMOR HOLLERN_SQUAMOUS_BREAST_TUMOR	-0.533	-1.100	-2.922	-2.922	1.639	6.689	-1.669	-2.440	-0.301	0.818	2.770
MIKKELSEN_IPS_WITH_HCP_H3K27ME3 MIKKELSEN_IPS_WITH_HCP_H3K27ME3	2.658	-1.434	-1.434	-0.569	0.334	5.925	-1.888	-3.220	-1.888	-0.569	2.671
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	1.612	-1.118	-1.118	-2.468	-1.382	3.033	-1.382	-2.952	-1.118	2.714	4.496
VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	0.770	-0.767	-3.901	-1.852	-0.594	0.770	-2.715	-1.221	0.480	1.840	7.720
XIE_LT_HSC_S1PR3_OE_UP XIE_LT_HSC_S1PR3_OE_UP	0.302	-1.202	-1.202	-1.202	-1.202	-1.202	-0.300	-0.610	-1.202	3.824	6.342
MIKKELSEN_IPS_ICP_WITH_H3K27ME3 MIKKELSEN_IPS_ICP_WITH_H3K27ME3	1.601	-0.600	-1.466	-2.280	-0.949	2.973	-2.280	-2.280	-0.600	1.232	3.524
MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3 MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.330	-1.642	0.330	-1.093	-0.715	-1.093	-0.715	-1.642	-1.093	0.756	11.657
WIERENGA_STAT5A_TARGETS_GROUP1 WIERENGA_STAT5A_TARGETS_GROUP1	0.578	-0.292	-0.566	-1.003	-3.298	-3.298	-0.761	-0.412	-0.292	4.185	4.647
SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER	-0.228	-1.907	-0.228	-0.702	-0.702	-0.702	-1.907	0.389	0.389	-0.411	8.267
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1	-0.647	0.519	-0.961	-1.999	-1.393	-1.999	-0.422	0.342	1.297	2.872	2.021
NAKAJIMA_EOSINOPHIL NAKAJIMA_EOSINOPHIL	0.398	-0.222	-1.036	-1.036	-1.036	-0.491	0.398	0.398	0.398	-1.036	4.474
RICKMAN_HEAD_AND_NECK_CANCER_F RICKMAN_HEAD_AND_NECK_CANCER_F	0.233	-1.501	-1.501	-0.977	0.612	1.551	-0.382	-1.501	-0.622	1.190	2.906
WONG_ENDMETRIUM_CANCER_DN WONG_ENDMETRIUM_CANCER_DN	0.381	-0.369	-1.643	-3.236	-0.369	0.772	-0.559	-0.369	1.024	0.243	3.282
HARRIS_BRAIN_CANCER_PROGENITORS HARRIS_BRAIN_CANCER_PROGENITORS	0.453	0.254	0.254	-1.782	-1.057	0.254	-1.782	-0.624	0.254	1.861	2.362
FIGUEROA_AML_METHYLATION_CLUSTER_6_DN FIGUEROA_AML_METHYLATION_CLUSTER_6_DN	-0.860	-0.860	-0.860	0.359	-0.860	1.332	-0.477	-0.250	-1.533	1.332	2.885
MEBARKI_HCC_PROGENITOR_WNT_DN_BLOCKED_BY_FZD8CRD MEBARKI_HCC_PROGENITOR_WNT_DN_BLOCKED_BY_FZD8CRD	0.997	0.737	-2.903	-0.647	-0.422	-0.961	-0.422	-0.647	-0.422	0.997	2.884
LIM_MAMMARY_LUMINAL_MATURE_UP LIM_MAMMARY_LUMINAL_MATURE_UP	-0.703	-0.703	-1.649	-0.508	-1.261	-0.703	-0.508	0.251	3.023	1.109	2.296
BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.346	0.346	-0.691	-1.606	-0.434	-2.446	-0.434	1.075	0.346	0.784	2.222
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	1.086	-0.483	-0.343	-1.164	-1.164	0.262	-0.885	-1.164	-0.483	1.595	3.301
