GO	[-6.49 -0.68]	[-0.68 -0.27]	[-0.27 -0.12]	[-0.12 -0.01]	[-0.01 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.18]	[0.18 0.42]	[0.42 0.88]	[0.88 6.87]
TOX4_TARGET_GENES TOX4_TARGET_GENES	-2.942	1.016	1.873	5.140	-6.592	-7.896	-0.473	2.691	1.016	0.845	-2.932
SETBP1_TARGET_GENES SETBP1_TARGET_GENES	-1.970	0.491	6.277	5.419	-3.901	-5.403	-0.548	3.193	0.285	-1.095	-4.578
ZZZ3_TARGET_GENES ZZZ3_TARGET_GENES	-3.085	-0.343	4.558	10.718	-3.085	-3.902	-0.660	1.086	-0.343	-1.927	-1.501
GTF3A_TARGET_GENES GTF3A_TARGET_GENES	-1.144	-1.611	-3.193	-0.541	5.479	6.084	2.874	-2.252	-1.144	-1.144	-2.247
MCM3_TARGET_GENES MCM3_TARGET_GENES	-3.999	-0.344	4.466	4.466	-3.999	-2.434	-0.584	2.470	1.931	-1.149	-2.875
HOXA7_TARGET_GENES HOXA7_TARGET_GENES	-1.382	-0.291	2.075	2.769	-1.786	-4.814	0.311	4.430	0.439	-2.910	-0.788
HOXC13_TARGET_GENES HOXC13_TARGET_GENES	-0.847	-0.456	4.692	1.137	-3.015	-4.938	-1.119	1.660	1.386	0.545	-1.451
MYBL1_TARGET_GENES MYBL1_TARGET_GENES	-0.562	-0.711	3.646	1.896	-1.926	-5.047	-2.288	3.002	1.659	-0.888	-0.558
HOXD11_TARGET_GENES HOXD11_TARGET_GENES	-1.132	0.923	3.493	1.596	-2.695	-4.905	0.582	0.742	0.923	-0.275	-2.687
ZNF704_TARGET_GENES ZNF704_TARGET_GENES	-1.818	1.168	3.224	3.224	-1.818	-2.694	-1.241	1.168	0.262	-0.546	-1.814
ZSCAN5C_TARGET_GENES ZSCAN5C_TARGET_GENES	-0.502	0.943	1.149	1.376	-3.256	-2.170	-1.405	1.895	3.929	-0.666	-3.247
ZNF547_TARGET_GENES ZNF547_TARGET_GENES	-2.338	0.513	1.456	0.283	-2.338	-3.457	-1.542	3.621	2.579	0.827	-0.754
HDAC8_TARGET_GENES HDAC8_TARGET_GENES	-3.401	1.325	2.166	0.694	-1.368	-4.248	-0.812	3.595	0.533	-0.321	-0.607
TBX1_TARGET_GENES TBX1_TARGET_GENES	-2.828	1.507	1.740	3.153	-3.341	-3.934	-0.326	0.479	-0.431	-0.326	1.100
UBE2I_TARGET_GENES UBE2I_TARGET_GENES	-1.393	1.297	2.011	2.424	-1.998	-1.998	-1.393	1.297	0.519	-0.647	-0.957
CTR9_TARGET_GENES CTR9_TARGET_GENES	-2.611	0.675	1.981	-0.315	-2.611	-1.747	-0.508	1.981	1.244	-0.315	0.289
CHAF1A_TARGET_GENES CHAF1A_TARGET_GENES	-1.277	-0.324	1.541	1.541	-1.708	-2.263	-1.708	0.575	1.541	1.858	-0.936
THRA_TARGET_GENES THRA_TARGET_GENES	-0.909	0.270	2.371	1.425	-2.069	-3.445	-0.334	0.392	1.714	-0.334	-0.476
KDM1B_TARGET_GENES KDM1B_TARGET_GENES	-0.733	-0.360	0.371	2.070	-0.521	-3.105	1.164	2.427	0.249	-0.733	-1.350
SOX11_TARGET_GENES SOX11_TARGET_GENES	-1.823	0.998	1.797	0.998	0.239	-1.823	0.239	0.684	-0.650	0.239	-1.087
ADNP_TARGET_GENES ADNP_TARGET_GENES	-1.649	-0.301	0.612	1.051	-1.649	-2.196	-0.446	-0.301	1.051	2.296	0.443
ZNF16_TARGET_GENES ZNF16_TARGET_GENES	-0.775	-0.341	0.265	0.265	-0.775	-2.215	-1.579	0.823	2.500	0.265	1.729
BCL6B_TARGET_GENES BCL6B_TARGET_GENES	-0.620	0.345	1.779	1.305	-1.554	-2.771	-0.474	1.779	0.457	-0.261	-0.793
ZNF20_TARGET_GENES ZNF20_TARGET_GENES	-0.248	3.056	-0.248	-0.248	-0.248	-0.248	-0.248	1.014	-0.248	-0.248	-0.248
