GO	[-7.27 -0.54]	[-0.54 -0.25]	[-0.25 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.22]	[0.22 0.45]	[0.45 0.95]	[0.95 6.79]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	1.597	-3.601	-5.269	-6.494	3.447	43.613	-6.494	-2.981	-5.269	-0.636	-2.985
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.199	-3.946	-2.922	-3.946	4.491	35.857	-2.199	-3.946	-3.946	-1.651	-0.448
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.980	0.594	13.025	16.195	0.469	-6.493	-0.335	-2.866	-2.866	-2.866	-7.800
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	0.257	-1.708	-4.800	-3.910	2.926	28.606	-3.197	-5.992	-3.197	-0.350	0.481
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-5.646	0.544	7.776	8.767	1.189	-5.646	2.383	-0.370	-4.112	-4.816	-4.821
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	-2.065	0.661	4.591	5.031	0.661	-3.838	4.169	-0.453	-3.131	-4.722	-4.727
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-5.029	-1.593	4.062	0.598	-0.325	-4.312	5.602	2.465	1.468	-1.593	-5.878
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	-1.644	0.243	6.626	4.826	0.382	-3.238	0.558	0.382	-2.291	-3.238	-3.240
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-2.545	-2.545	-1.710	-0.388	-0.388	-4.456	-0.518	2.036	1.070	0.879	8.198
GOCC_ENDOPEPTIDASE_COMPLEX GOCC_ENDOPEPTIDASE_COMPLEX	-1.927	0.560	2.122	3.014	1.731	-2.822	1.731	-0.606	-1.927	-2.822	-1.334
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	-1.470	-0.319	0.646	3.131	-0.569	-3.202	3.849	1.908	0.385	-1.806	-4.608
GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX GOCC_PROTEIN_ACETYLTRANSFERASE_COMPLEX	-2.132	0.652	1.388	1.111	0.325	-2.132	3.668	0.865	-0.279	-2.132	-3.866
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	0.548	-1.064	-2.390	-2.390	-0.662	2.842	-2.868	-0.662	0.424	1.240	5.059
GOCC_DNA_PACKAGING_COMPLEX GOCC_DNA_PACKAGING_COMPLEX	0.453	7.102	0.797	0.611	-0.774	0.611	-0.774	-1.761	-1.035	-2.881	-0.776
GOCC_REPLICATION_FORK GOCC_REPLICATION_FORK	-0.546	2.293	1.879	2.745	-1.242	-1.820	0.627	-1.242	0.422	-1.820	-1.822
GOCC_BASEMENT_MEMBRANE GOCC_BASEMENT_MEMBRANE	3.158	-0.624	-2.884	-1.202	-0.624	0.841	-1.622	-1.622	0.313	1.082	2.737
GOCC_CORNIFIED_ENVELOPE GOCC_CORNIFIED_ENVELOPE	0.226	0.226	-1.124	-0.676	0.226	7.597	-1.124	-1.866	-0.676	-0.392	0.653
GOCC_RECYCLING_ENDOSOME GOCC_RECYCLING_ENDOSOME	-1.449	0.334	-0.609	0.693	-1.188	-5.608	-0.270	1.417	2.141	1.417	0.435
GOCC_LAMELLIPODIUM GOCC_LAMELLIPODIUM	-0.859	0.485	-0.540	0.285	-0.859	-4.279	1.719	-0.540	1.962	2.222	-0.688
GOCC_MEDIATOR_COMPLEX GOCC_MEDIATOR_COMPLEX	-1.658	1.595	0.820	-0.300	0.820	-1.658	2.071	0.302	-0.549	-0.549	-1.659
GOCC_PHOTORECEPTOR_DISC_MEMBRANE GOCC_PHOTORECEPTOR_DISC_MEMBRANE	0.457	0.200	-0.434	-0.953	-0.434	4.851	-0.953	-0.953	-0.953	0.200	0.820
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	2.205	0.447	-1.488	-1.121	-0.290	2.953	-1.121	-1.488	-1.488	0.447	1.027
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	-0.865	-0.534	0.721	3.797	-0.865	-1.363	1.366	0.477	0.477	-1.363	-1.364
GOCC_CENTRIOLE GOCC_CENTRIOLE	-0.703	1.172	0.330	1.671	-0.922	-3.622	0.957	0.765	1.410	-1.189	-1.191
GOCC_VESICLE_COAT GOCC_VESICLE_COAT	-2.281	-0.600	0.246	-0.365	0.416	-0.949	2.477	2.978	-0.365	-0.600	-0.601
GOCC_NUCLEOID GOCC_NUCLEOID	0.409	2.207	0.959	0.409	0.654	-1.866	0.654	-0.676	-1.124	-0.392	-1.867
