GO	[-5.11 -0.52]	[-0.52 -0.24]	[-0.24 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.22]	[0.22 0.46]	[0.46 0.95]	[0.95 8.92]
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-1.383	-1.383	-1.788	-2.914	5.921	30.374	-4.819	-3.716	-3.716	-0.417	-2.920
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	-3.295	-0.346	11.518	14.025	0.260	-3.939	0.602	-2.747	-3.295	-1.878	-6.919
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	2.502	-2.478	-1.958	-5.070	3.240	6.484	-2.478	-3.124	-1.187	0.663	1.059
GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING GOMF_RIBONUCLEOPROTEIN_COMPLEX_BINDING	-2.307	3.793	3.793	2.024	-0.885	-4.409	2.024	1.467	-1.846	-4.409	-3.555
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	-1.209	4.005	3.586	2.127	-1.209	-5.111	2.127	-0.365	-0.509	-3.159	-3.991
GOMF_HELICASE_ACTIVITY GOMF_HELICASE_ACTIVITY	-2.040	3.766	2.712	3.766	-1.661	-6.532	0.917	0.741	-0.494	-3.632	-1.344
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	2.435	-1.637	-2.014	-2.014	5.036	6.405	-3.598	-2.014	-0.635	-0.259	-0.638
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	1.239	-0.509	-2.865	-2.388	-0.284	0.318	-3.423	-1.977	-0.284	3.168	6.837
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	1.648	-1.649	-1.261	-2.741	0.252	5.286	-3.525	-2.133	-0.702	2.647	1.361
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	0.437	-2.096	-1.448	-0.962	3.332	5.168	-4.776	-2.493	0.334	-0.361	2.131
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	1.985	-1.910	-4.197	-0.975	0.661	4.846	-1.235	-2.342	-0.975	0.829	2.269
GOMF_TYPE_I_INTERFERON_RECEPTOR_BINDING GOMF_TYPE_I_INTERFERON_RECEPTOR_BINDING	-0.704	-0.704	-0.704	-0.704	1.822	8.913	-0.704	-0.704	-0.704	-0.704	-0.705
GOMF_SERINE_HYDROLASE_ACTIVITY GOMF_SERINE_HYDROLASE_ACTIVITY	2.234	-0.335	-2.414	-2.414	-0.335	3.458	-2.414	-2.022	0.270	0.361	3.118
GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING	-1.067	1.330	1.825	0.917	-1.339	-3.632	2.712	2.101	-0.494	-2.040	-2.046
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	-0.699	1.691	-0.551	1.467	-2.269	-6.885	1.467	0.894	0.368	0.474	0.276
GOMF_SNORNA_BINDING GOMF_SNORNA_BINDING	-0.702	0.247	5.738	2.179	-0.363	-1.326	-1.326	0.247	-0.702	-1.326	-0.703
GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY	-1.990	0.352	3.018	0.849	0.571	-1.990	1.567	0.352	-0.755	-0.755	-1.993
GOMF_NUCLEOTIDYLTRANSFERASE_ACTIVITY GOMF_NUCLEOTIDYLTRANSFERASE_ACTIVITY	-1.610	1.220	1.473	0.992	0.332	-4.061	2.050	-0.388	0.789	-1.610	-1.258
GOMF_EXONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS GOMF_EXONUCLEASE_ACTIVITY_ACTIVE_WITH_EITHER_RIBO_OR_DEOXYRIBONUCLEIC_ACIDS_AND_PRODUCING_5_PHOSPHOMONOESTERS	-0.399	0.588	3.344	2.342	-1.536	-2.363	-0.399	0.588	-0.235	-1.536	-1.008
GOMF_EXOGENOUS_PROTEIN_BINDING GOMF_EXOGENOUS_PROTEIN_BINDING	-1.612	-0.541	-1.144	-1.612	-0.797	-0.797	-0.354	-0.541	1.352	2.880	3.830
GOMF_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY GOMF_NUCLEAR_EXPORT_SIGNAL_RECEPTOR_ACTIVITY	0.187	-0.455	7.716	-0.455	-0.455	-0.455	0.187	-0.455	-0.455	-0.455	-0.456
GOMF_NAD_BINDING GOMF_NAD_BINDING	0.272	0.272	3.700	0.456	-0.892	-2.197	0.981	0.456	-0.556	-0.332	-2.201
GOMF_PROTEIN_N_TERMINUS_BINDING GOMF_PROTEIN_N_TERMINUS_BINDING	-0.617	0.301	1.003	2.161	-1.143	-1.980	1.527	0.594	1.003	-1.143	-2.575
GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.660	-1.036	-0.222	-0.222	-0.491	-0.222	-0.491	-1.036	-1.036	-0.491	4.462
GOMF_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_PEPTIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.796	-0.218	-0.796	0.403	-0.430	-1.450	1.031	3.084	-0.796	1.450	-1.452
GOMF_RNA_POLYMERASE_BINDING GOMF_RNA_POLYMERASE_BINDING	-0.710	-0.710	1.865	1.509	0.463	0.665	0.463	0.301	0.301	-2.108	-3.033
GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS GOMF_STRUCTURAL_CONSTITUENT_OF_SKIN_EPIDERMIS	-0.223	0.396	-0.621	-0.621	2.867	2.070	-0.621	-0.621	-0.621	-0.223	-0.622
GOMF_TAU_PROTEIN_BINDING GOMF_TAU_PROTEIN_BINDING	-1.090	-0.373	0.431	0.240	-0.650	-1.824	2.811	1.372	-0.650	-1.090	0.996
GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	3.146	-0.338	-1.420	-1.029	0.405	1.025	-1.934	-1.420	0.783	-0.338	0.781
GOMF_PEPTIDOGLYCAN_BINDING GOMF_PEPTIDOGLYCAN_BINDING	0.655	0.304	-0.745	-0.745	-0.745	4.060	-0.745	-0.298	-0.745	0.304	0.303
GOMF_IGG_BINDING GOMF_IGG_BINDING	0.187	-0.455	-0.455	-0.455	0.579	-0.455	-0.455	-0.455	-0.455	0.187	4.916
GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING	0.211	-0.414	-0.414	-0.414	-0.414	-0.414	4.071	-0.414	-0.414	-0.414	1.255
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS	-2.405	-0.668	0.564	0.815	-0.668	-1.035	-0.247	0.363	3.262	0.564	-0.670
GOMF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY GOMF_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY	-0.241	-0.520	-0.520	-1.077	-0.520	-1.077	-0.520	0.371	-0.241	1.579	3.505
GOMF_PHOSPHATIDYLINOSITOL_BISPHOSPHATE_PHOSPHATASE_ACTIVITY GOMF_PHOSPHATIDYLINOSITOL_BISPHOSPHATE_PHOSPHATASE_ACTIVITY	-0.953	0.457	-0.434	0.457	-0.953	-0.953	2.473	0.200	1.283	0.200	-0.954
GOMF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	1.799	1.372	-1.824	-1.090	0.240	0.431	-1.824	-0.373	0.240	0.431	0.429
GOMF_MYOSIN_HEAVY_CHAIN_BINDING GOMF_MYOSIN_HEAVY_CHAIN_BINDING	1.731	-0.497	0.167	-0.497	-0.497	0.524	-0.497	-0.497	-0.497	-0.497	2.546
GOMF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-1.990	0.352	0.352	0.571	-0.256	-1.990	1.181	1.181	0.571	0.352	-1.228
GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY	0.256	-0.828	0.566	2.150	-0.828	-0.828	0.256	0.991	0.566	-0.828	-0.829
GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS GOMF_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS	2.129	1.640	-0.574	-1.954	-0.574	-1.355	-0.574	1.217	1.217	-0.574	-0.908
