GO	[-7.27 -0.54]	[-0.54 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.92]	[0.92 8.92]
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-2.542	-2.542	-1.382	0.428	-1.105	-4.451	-0.873	1.760	1.760	0.707	8.745
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	1.236	-0.510	-2.864	-1.976	-0.845	0.547	-2.864	-2.387	-0.385	2.832	8.362
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	2.047	-1.261	-3.325	-0.621	-0.798	-0.356	-2.775	-1.010	-1.010	2.047	9.143
GOMF_CYTOKINE_BINDING GOMF_CYTOKINE_BINDING	0.955	-1.189	-0.385	-1.189	-1.189	-3.619	0.763	-2.366	0.330	2.578	4.974
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	0.436	-2.095	-1.187	-0.962	2.133	3.323	-1.187	-2.947	-0.271	-0.271	2.425
GOMF_SERINE_HYDROLASE_ACTIVITY GOMF_SERINE_HYDROLASE_ACTIVITY	1.963	0.269	-2.412	-2.412	-0.335	1.484	-0.729	-2.022	0.269	0.269	3.816
GOBP_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE GOBP_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	0.561	0.291	-2.351	-1.433	-0.312	-2.351	0.413	1.164	-1.844	3.052	2.011
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM	0.427	-0.765	-0.765	-1.409	-0.765	0.427	-1.409	1.512	1.512	-1.409	2.580
GOBP_NOTOCHORD_DEVELOPMENT GOBP_NOTOCHORD_DEVELOPMENT	0.706	-0.704	-0.704	-0.704	-0.704	-0.272	-0.704	-0.704	0.706	-0.272	5.299
GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.659	-1.036	-0.222	-0.222	-0.222	-0.491	-0.491	-1.036	-1.036	-0.491	4.475
GOBP_MUSCLE_FILAMENT_SLIDING GOBP_MUSCLE_FILAMENT_SLIDING	0.320	-0.283	-1.616	-0.525	-0.525	0.858	-0.925	-0.925	-0.525	0.858	3.944
GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	-0.199	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580	0.891	-0.199	0.434	4.016
GOBP_DETECTION_OF_LIGHT_STIMULUS GOBP_DETECTION_OF_LIGHT_STIMULUS	0.798	-0.355	-0.797	-2.253	0.578	0.578	-1.612	0.578	-1.144	0.396	2.889
GOMF_IGG_BINDING GOMF_IGG_BINDING	0.187	-0.456	-0.456	-0.456	0.187	0.187	-0.456	-0.456	-0.456	0.187	4.927
GOBP_HISTIDINE_CATABOLIC_PROCESS GOBP_HISTIDINE_CATABOLIC_PROCESS	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	0.795	3.569
