	[-0.7 -0.54]	[-0.54 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.43]	[0.43 0.92]	[0.92 1.08]
GOMF_HORMONE_ACTIVITY	2.498	-2.477	-1.9569999999999999	-5.067	1.062	7.011	-0.677	-2.477	-1.5330000000000001	0.662	1.3030000000000002
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	2.048	-1.261	-3.323	-0.621	-0.621	-0.475	-2.7739999999999996	-1.0090000000000001	-1.0090000000000001	1.7819999999999998	9.665
GOBP_STRIATED_MUSCLE_CONTRACTION	2.311	0.26899999999999996	-1.76	-0.9420000000000001	-1.173	0.26899999999999996	-4.281000000000001	0.92	0.604	-0.9420000000000001	4.718
GOBP_CILIUM_MOVEMENT	4.546	-0.649	-0.649	-2.0380000000000003	-2.0380000000000003	-0.8390000000000001	-0.649	-0.8390000000000001	1.565	0.74	1.33
GOMF_METALLOPEPTIDASE_ACTIVITY	3.5789999999999997	0.293	-1.615	-0.41100000000000003	0.389	-1.615	0.293	-1.949	-0.41100000000000003	-0.41100000000000003	2.6189999999999998
GOCC_SPECIFIC_GRANULE	-2.541	-2.541	-1.381	0.428	-1.105	-4.449	-1.105	2.031	1.761	0.7070000000000001	8.718
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	1.237	-0.509	-2.863	-1.976	-0.6609999999999999	0.318	-2.386	-2.386	-0.385	2.833	8.335
GOMF_CYTOKINE_BINDING	0.955	-1.188	-0.384	-1.188	-1.511	-2.929	0.764	-2.365	0.33	2.5789999999999997	4.956
GOMF_CARGO_RECEPTOR_ACTIVITY	1.4269999999999998	-0.505	-1.5490000000000002	-1.5490000000000002	0.429	-2.18	-0.753	-3.111	0.851	3.0060000000000002	2.563
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	0.436	-2.094	-1.186	-0.9620000000000001	1.8769999999999998	3.661	-1.186	-2.946	-0.271	-0.271	2.412
GOBP_POSITIVE_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	0.561	0.29100000000000004	-2.35	-1.432	-0.44299999999999995	-1.8430000000000002	0.413	1.1640000000000001	-1.8430000000000002	2.679	2.33
GOBP_NOTOCHORD_DEVELOPMENT	0.706	-0.7040000000000001	-0.7040000000000001	-0.7040000000000001	-0.7040000000000001	-0.272	-0.7040000000000001	-0.7040000000000001	0.706	-0.272	5.291
GOMF_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.659	-1.036	-0.222	-0.222	-0.222	-0.491	-0.491	-1.036	-1.036	-0.491	4.468
HP_MACROTHROMBOCYTOPENIA	-0.373	-0.373	-0.373	-0.373	-0.373	0.24	-0.373	0.24	-0.373	-0.373	5.811
GOBP_DETECTION_OF_LIGHT_STIMULUS	0.7979999999999999	-0.354	-0.797	-2.253	0.254	1.056	-1.6119999999999999	0.578	-1.1440000000000001	0.397	2.88
GOBP_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	-0.19899999999999998	-0.58	-0.58	-0.58	-0.58	-0.58	-0.58	0.892	-0.19899999999999998	0.434	4.01
GOMF_IGG_BINDING	0.187	-0.455	-0.455	-0.455	0.187	0.187	-0.455	-0.455	-0.455	0.187	4.921
GOBP_HISTIDINE_CATABOLIC_PROCESS	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	0.795	3.5639999999999996
