GO	[-5.47 -0.71]	[-0.71 -0.36]	[-0.36 -0.18]	[-0.18 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.27]	[0.27 0.54]	[0.54 1.06]	[1.06 7.81]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-4.003	1.688	17.297	11.668	-1.406	-7.819	-0.452	0.457	-3.405	-7.819	-7.806
PUJANA_XPRSS_INT_NETWORK PUJANA_XPRSS_INT_NETWORK	-0.634	19.254	9.011	1.508	-2.330	-5.729	-1.280	-0.813	-3.354	-5.729	-5.719
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	0.406	6.991	11.377	5.586	-3.132	-6.691	-0.543	-2.143	-3.132	-6.691	-3.755
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-2.034	-2.944	-2.944	-1.424	-0.438	27.611	2.366	-2.944	-2.944	-1.424	-0.983
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.436	-2.700	-3.368	-2.158	7.489	19.180	-1.713	-3.368	-3.368	-1.043	-0.309
REACTOME_DEFENSINS REACTOME_DEFENSINS	-2.114	-1.328	-2.114	-2.114	1.412	24.344	-1.328	-2.114	-2.114	-0.301	-1.325
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.732	-2.031	-0.555	2.959	-0.247	-3.734	10.584	4.872	-3.734	-3.734	-2.026
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.173	-4.084	-1.173	-1.474	-4.986	17.566	2.382	-0.402	-1.831	1.800	-1.468
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	-0.326	-4.301	-2.265	-3.684	16.878	0.892	-3.147	-1.315	-1.315	1.463	1.470
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	-4.134	1.166	-1.002	3.763	-1.002	-5.274	1.166	7.116	1.679	-4.134	-4.127
GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN	-0.463	8.120	6.632	2.079	-0.346	-5.651	-1.533	-0.782	-0.992	-2.276	-5.641
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-1.093	10.750	2.153	3.629	-1.641	-2.488	-1.641	-0.452	-2.488	-2.488	-2.484
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	2.261	9.509	1.963	1.687	-3.192	-4.792	-0.350	-0.477	-1.706	-2.116	-4.783
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.956	1.900	6.568	5.992	-0.918	-3.984	-0.312	-0.918	-0.312	-2.230	-3.977
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.636	-0.517	-3.060	-3.591	10.567	3.485	-2.596	-2.596	-1.027	-1.528	2.285
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-2.358	1.769	1.769	4.625	-2.802	-6.399	0.932	3.881	-0.318	-1.346	-4.583
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	-0.492	-1.293	-0.492	0.317	-2.072	17.279	-0.285	-2.072	-2.072	0.317	-2.069
KRIGE_AMINO_ACID_DEPRIVATION KRIGE_AMINO_ACID_DEPRIVATION	18.560	-1.201	-1.201	-1.201	-0.610	-1.201	-1.201	-1.201	-1.201	0.572	-0.608
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	-2.256	3.617	7.075	0.795	-2.877	-4.774	-0.281	1.246	-0.567	-0.773	-2.871
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	-0.521	-2.000	-1.645	-4.106	-0.675	-2.000	-1.081	-0.521	1.015	3.457	11.588
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.299	-1.278	-0.843	-2.216	3.781	-2.623	-2.216	-4.235	-0.528	2.244	6.560
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	-1.933	0.267	3.596	3.596	-2.621	-2.621	1.297	2.712	-0.505	-3.609	-2.616
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	-2.956	4.404	2.629	1.579	-1.679	-3.984	0.594	2.250	-0.918	-1.679	-2.950
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	2.734	-2.163	-2.163	-0.290	8.661	-2.881	-2.881	-0.875	-0.875	1.080	0.458
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	-2.961	0.320	2.536	5.814	-0.940	-5.691	-0.539	1.914	0.580	-0.718	-2.388
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	-1.355	1.165	3.659	4.602	-1.355	-4.150	0.921	0.371	-0.360	-3.106	-2.359
KEGG_LYSOSOME KEGG_LYSOSOME	-2.445	-1.507	-1.507	1.595	-2.445	-3.904	-1.164	1.328	4.563	2.901	0.874
WANG_CLIM2_TARGETS_DN WANG_CLIM2_TARGETS_DN	-3.222	0.987	4.783	2.685	-0.392	-6.281	-0.513	0.309	1.177	-0.392	-2.709
LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q	-0.291	0.593	0.593	2.771	-4.816	-3.713	0.439	3.154	1.479	-1.787	-2.281
WELCSH_BRCA1_TARGETS_DN WELCSH_BRCA1_TARGETS_DN	-0.320	4.633	4.633	0.522	-1.295	-4.675	0.676	-0.441	0.283	-2.034	-3.085
SERVITJA_LIVER_HNF1A_TARGETS_DN SERVITJA_LIVER_HNF1A_TARGETS_DN	0.616	-1.852	-0.974	-1.511	10.394	-1.852	-2.250	-1.511	0.616	0.771	0.950
MIKKELSEN_IPS_WITH_HCP_H3K27ME3 MIKKELSEN_IPS_WITH_HCP_H3K27ME3	-0.568	-0.398	-2.466	-0.790	10.251	-0.270	-1.433	-2.466	-1.074	0.648	1.345
DAZARD_RESPONSE_TO_UV_SCC_DN DAZARD_RESPONSE_TO_UV_SCC_DN	-0.773	0.322	4.048	2.456	-1.034	-4.774	-1.034	2.456	0.322	-0.567	-2.871
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	-1.756	2.187	1.627	3.934	-0.868	-6.066	0.597	-0.502	0.759	-1.756	-0.864
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK	-0.652	0.964	-0.360	3.597	-1.384	-6.024	-0.258	3.597	-0.490	0.470	-2.137
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP	-0.412	0.432	1.971	0.945	-1.002	-5.274	-0.761	4.626	0.945	-1.002	-2.630
MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER MCGARVEY_SILENCED_BY_METHYLATION_IN_COLON_CANCER	1.083	-0.599	-1.740	-0.599	10.010	-1.740	-0.599	-1.024	-0.336	-1.024	0.270
WP_EGFEGFR_SIGNALING_PATHWAY WP_EGFEGFR_SIGNALING_PATHWAY	-2.196	-0.737	1.643	2.787	-0.568	-6.775	1.404	1.404	0.805	-0.940	-0.733
FOSTER_KDM1A_TARGETS_DN FOSTER_KDM1A_TARGETS_DN	0.559	-1.653	-0.264	2.092	-1.373	-6.994	0.559	2.092	1.843	0.843	-1.967
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN	-1.423	0.486	0.938	0.372	-3.011	-7.276	0.486	2.064	1.559	1.127	-0.325
CERVERA_SDHB_TARGETS_1_UP CERVERA_SDHB_TARGETS_1_UP	1.850	-0.354	-2.476	-0.496	0.254	-3.942	-2.476	-0.496	0.254	1.850	4.972
