GO	[-5.47 -0.71]	[-0.71 -0.36]	[-0.36 -0.19]	[-0.19 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
RUIZ_TNC_TARGETS_DN RUIZ_TNC_TARGETS_DN	3.320	10.205	2.960	-2.576	-3.159	-3.159	-0.817	-0.465	-0.623	-1.054	-2.564
KRIGE_AMINO_ACID_DEPRIVATION KRIGE_AMINO_ACID_DEPRIVATION	18.561	-1.202	-1.202	-1.202	-0.610	-1.202	-1.202	-1.202	-1.202	0.572	-0.608
ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_UP ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_UP	12.480	0.357	-0.626	-1.363	-1.963	-2.862	-0.626	-0.252	0.357	-0.406	-0.622
RICKMAN_HEAD_AND_NECK_CANCER_C RICKMAN_HEAD_AND_NECK_CANCER_C	2.076	-1.787	-2.288	-2.288	3.986	3.986	-0.291	-3.714	-1.055	-0.418	0.598
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	2.714	-2.051	-4.177	-1.691	0.976	2.714	-1.691	-1.691	0.292	-0.545	4.496
HELLER_SILENCED_BY_METHYLATION_DN HELLER_SILENCED_BY_METHYLATION_DN	13.305	-0.869	-1.540	-0.869	-2.009	-1.540	-0.634	-0.312	0.290	-0.451	0.581
ZHAN_MULTIPLE_MYELOMA_CD1_UP ZHAN_MULTIPLE_MYELOMA_CD1_UP	10.996	-0.228	-0.411	-0.702	-1.158	-1.907	-1.158	-0.228	-0.411	-1.158	0.391
MEBARKI_HCC_PROGENITOR_WNT_UP MEBARKI_HCC_PROGENITOR_WNT_UP	3.695	-1.316	-2.678	-1.078	-0.873	-1.316	-1.316	0.473	-0.551	1.686	4.428
PODAR_RESPONSE_TO_ADAPHOSTIN_UP PODAR_RESPONSE_TO_ADAPHOSTIN_UP	3.400	-1.832	-1.173	0.554	-2.256	-4.085	0.554	0.884	-0.292	1.800	0.559
CUI_GLUCOSE_DEPRIVATION CUI_GLUCOSE_DEPRIVATION	2.540	0.315	-1.122	-0.738	-2.529	-2.529	-0.738	1.689	2.540	-0.287	-0.285
DELPUECH_FOXO3_TARGETS_DN DELPUECH_FOXO3_TARGETS_DN	4.494	2.069	1.176	-0.300	-0.549	-1.658	-0.958	-1.658	-0.958	-0.549	-0.546
TOOKER_GEMCITABINE_RESISTANCE_DN TOOKER_GEMCITABINE_RESISTANCE_DN	2.122	3.181	1.037	-0.510	-2.509	-3.157	-0.694	-0.255	1.272	-0.694	-1.201
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	8.983	-1.005	-1.392	-0.489	0.278	-0.326	-0.326	-0.489	-1.901	-0.326	0.280
HOLLERN_EMT_BREAST_TUMOR_DN HOLLERN_EMT_BREAST_TUMOR_DN	3.690	-0.885	0.515	-2.445	-0.885	0.515	-1.164	-0.483	-1.508	-0.483	4.135
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	7.591	-0.828	-0.453	-0.453	-1.492	-0.234	-0.453	-1.492	-0.234	-0.453	0.649
NAKAMURA_CANCER_MICROENVIRONMENT_DN NAKAMURA_CANCER_MICROENVIRONMENT_DN	2.204	2.722	0.958	0.409	-0.392	-1.865	-0.676	0.409	-0.676	-1.865	-1.860
HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS	2.046	-0.541	-1.612	-0.541	-3.194	-0.541	-0.355	-0.541	-0.541	3.338	1.689
SMID_BREAST_CANCER_LUMINAL_A_UP SMID_BREAST_CANCER_LUMINAL_A_UP	3.267	-1.364	-1.868	-0.981	-0.981	0.831	0.615	-2.547	0.289	0.435	2.044
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	3.392	4.241	0.281	-1.872	-0.456	-1.120	0.281	-0.456	-0.629	-1.120	-0.842
QI_HYPOXIA QI_HYPOXIA	2.092	-0.342	0.372	0.372	-3.475	-1.792	-0.849	0.840	-0.342	3.111	-0.842
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_RED_UP	6.742	0.362	-0.247	-0.247	-0.663	-0.663	-0.663	-0.247	-0.247	-0.663	-0.661
PETROVA_PROX1_TARGETS_UP PETROVA_PROX1_TARGETS_UP	2.916	2.916	0.398	-0.491	-0.491	-0.491	-0.491	-1.036	-1.036	-1.036	-0.221
SENESE_HDAC2_TARGETS_DN SENESE_HDAC2_TARGETS_DN	2.092	-0.849	-0.849	-0.641	-0.342	-1.416	-1.104	-1.792	0.372	2.411	2.425
CHEBOTAEV_GR_TARGETS_DN CHEBOTAEV_GR_TARGETS_DN	5.087	-1.003	-2.637	-0.761	0.578	-0.292	-0.761	-0.566	0.432	0.432	0.436
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_DN KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_DN	2.916	-0.491	-1.036	-1.036	-0.222	1.149	-0.222	-1.036	-1.036	0.726	0.399
HASLINGER_B_CLL_WITH_6Q21_DELETION HASLINGER_B_CLL_WITH_6Q21_DELETION	3.338	1.356	-0.406	0.490	-0.406	-0.911	-0.911	0.217	0.217	-0.911	-0.909
