GO	[-5.47 -0.71]	[-0.71 -0.36]	[-0.36 -0.19]	[-0.19 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
PUJANA_XPRSS_INT_NETWORK PUJANA_XPRSS_INT_NETWORK	-0.813	20.004	9.013	1.507	-2.331	-5.731	-0.634	-1.578	-3.355	-5.731	-5.713
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	0.693	15.917	6.581	2.414	-3.060	-4.638	-1.608	-2.485	-1.608	-5.817	-5.801
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	0.406	6.992	9.630	6.509	-2.599	-6.693	-0.543	-1.755	-3.765	-5.456	-4.506
WINNEPENNINCKX_MELANOMA_METASTASIS_UP WINNEPENNINCKX_MELANOMA_METASTASIS_UP	-1.779	20.915	4.268	2.212	-3.165	-5.496	-0.310	-0.722	-3.165	-4.559	-3.151
PUJANA_BRCA_CENTERED_NETWORK PUJANA_BRCA_CENTERED_NETWORK	-0.613	17.011	6.807	0.735	-2.351	-4.900	-0.443	-1.432	-1.843	-4.900	-4.886
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	0.791	12.760	5.588	2.827	-1.590	-6.401	-1.960	-0.339	-4.267	-4.267	-5.166
FUJII_YBX1_TARGETS_DN FUJII_YBX1_TARGETS_DN	-0.294	9.587	10.116	1.559	-4.170	-6.718	-0.506	0.309	-3.561	-2.167	-4.152
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	-3.437	9.389	5.615	3.362	-0.946	-7.863	-0.263	0.567	-1.168	-3.437	-4.717
KONG_E2F3_TARGETS KONG_E2F3_TARGETS	-0.324	15.755	3.403	1.542	-4.026	-4.026	-0.324	-2.264	-1.709	-4.026	-2.255
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	-0.975	17.877	5.720	1.016	-2.852	-5.105	-1.234	-1.234	-2.341	-1.909	-1.898
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	0.691	17.733	3.657	1.412	-4.070	-3.468	-2.094	-1.186	-1.747	-2.946	-2.081
BENPORATH_PROLIFERATION BENPORATH_PROLIFERATION	0.319	14.830	3.829	1.832	-2.228	-6.151	-1.807	-0.697	-1.153	-2.728	-3.312
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	1.118	13.326	4.856	0.601	-5.653	-3.291	-2.277	-0.992	-2.277	0.260	-3.920
MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN MOREAUX_MULTIPLE_MYELOMA_BY_TACI_DN	-1.192	5.475	3.539	7.290	-0.458	-7.361	-0.761	-0.959	0.462	-3.645	-6.066
