GO	[-5.47 -0.66]	[-0.66 -0.35]	[-0.35 -0.18]	[-0.18 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.26]	[0.26 0.52]	[0.52 1.06]	[1.06 6.41]
REACTOME_CHROMOSOME_MAINTENANCE REACTOME_CHROMOSOME_MAINTENANCE	5.166	9.964	0.538	1.551	-0.997	-4.644	-2.009	-1.275	-0.997	-2.489	-3.080
REACTOME_G2_M_CHECKPOINTS REACTOME_G2_M_CHECKPOINTS	3.614	5.189	2.607	2.024	-1.282	-4.788	-0.486	-0.268	-1.282	-4.012	-5.765
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	4.062	7.333	1.437	1.694	-1.708	-4.800	-0.477	-0.637	-1.708	-2.120	-4.820
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	9.383	7.221	-0.710	0.301	-0.710	-2.108	-1.038	-2.108	-2.108	-1.487	-2.117
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	5.777	8.096	0.312	1.030	-1.488	-3.299	-0.290	-1.120	-2.536	-1.950	-3.312
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	8.204	7.545	-0.338	0.577	-1.420	-2.623	-1.420	-1.420	-1.029	-1.934	-2.634
REACTOME_HATS_ACETYLATE_HISTONES REACTOME_HATS_ACETYLATE_HISTONES	5.632	4.718	1.551	0.404	-0.997	-3.766	0.404	-0.310	-1.275	-3.065	-5.845
REACTOME_HOMOLOGY_DIRECTED_REPAIR REACTOME_HOMOLOGY_DIRECTED_REPAIR	4.405	6.772	1.887	0.729	-1.232	-4.567	-1.955	0.311	-0.959	-2.428	-3.711
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	10.350	5.941	-1.302	0.389	-0.884	-1.891	-0.884	-1.891	-1.891	-1.302	-1.900
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	3.305	8.093	2.645	0.589	-1.558	-3.977	-1.558	-0.260	-1.010	-2.308	-3.997
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	7.188	6.601	0.669	0.669	-1.408	-3.185	-0.771	-1.408	-1.052	-2.434	-3.198
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	7.545	7.545	-0.338	0.405	-1.420	-2.623	-0.338	-1.420	-1.934	-1.934	-2.634
REACTOME_MITOTIC_PROPHASE REACTOME_MITOTIC_PROPHASE	4.596	6.463	0.661	1.756	-2.064	-4.722	-0.453	-0.608	-0.608	-3.131	-3.147
REACTOME_TELOMERE_MAINTENANCE REACTOME_TELOMERE_MAINTENANCE	5.144	9.111	0.482	0.840	-0.992	-3.603	-1.705	-1.310	-1.310	-1.705	-2.208
