GO	[-5.47 -0.68]	[-0.68 -0.36]	[-0.36 -0.20]	[-0.20 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.29]	[0.29 0.55]	[0.55 1.06]	[1.06 7.81]
MIR142_3P MIR142_3P	-0.327	-0.327	0.276	1.805	-0.733	-7.285	2.958	0.939	1.335	-0.927	-1.731
MIR552_5P MIR552_5P	-1.169	0.863	2.167	2.736	-1.727	-2.072	1.229	0.863	-0.757	-2.920	-0.349
MIR3682_5P MIR3682_5P	0.346	0.873	2.712	1.373	-0.385	-1.408	1.988	-0.553	-2.434	-1.408	-1.853
TAATGTG_MIR323 TAATGTG_MIR323	-1.447	0.518	1.935	1.006	0.395	-4.563	2.216	0.518	-0.310	-1.447	-0.718
MIR3611 MIR3611	4.420	1.017	1.017	-0.320	-0.759	-4.198	0.388	-0.759	-0.436	-0.320	-0.970
ATCATGA_MIR433 ATCATGA_MIR433	-1.733	0.467	0.467	3.680	-0.393	-3.640	0.628	0.817	0.333	0.333	-1.726
GAGACTG_MIR452 GAGACTG_MIR452	-0.624	1.352	-0.624	3.597	0.312	-2.165	0.840	1.352	-1.202	-1.202	-1.616
MIR6890_3P MIR6890_3P	-0.813	-2.066	4.796	0.504	-1.127	-2.066	0.349	-0.258	1.169	0.349	-0.388
MIR5580_5P MIR5580_5P	-2.321	-1.817	0.577	0.426	0.577	-1.408	0.577	-1.408	0.577	3.931	0.429
MIR548AV_3P MIR548AV_3P	0.902	-0.345	3.546	0.353	0.463	-4.320	0.737	-0.345	-0.345	-1.785	-0.454
MIR6510_5P MIR6510_5P	0.289	0.289	-0.691	0.831	2.829	-2.548	-0.691	-0.473	0.831	-2.548	1.087
MIR4277 MIR4277	-0.524	0.627	2.086	-0.711	-0.377	-4.023	2.762	-0.264	0.342	-0.377	-0.939
MIR3176 MIR3176	0.665	-0.710	0.463	-0.710	-0.710	-1.039	-0.301	6.540	-0.471	-1.039	-0.469
MIR3679_3P MIR3679_3P	0.480	1.141	0.946	0.480	0.268	-3.905	0.616	0.946	0.480	-0.452	-3.252
MIR4765 MIR4765	3.137	3.137	-0.332	-0.332	-0.556	-1.397	-0.332	-0.893	-1.397	0.272	-0.554
MIR6512_5P MIR6512_5P	-0.613	1.697	2.680	2.328	-1.099	-1.099	-1.099	-0.312	-0.829	0.291	-1.427
MIR548AT_3P MIR548AT_3P	-0.273	0.756	2.154	1.740	-0.715	-1.642	0.519	-0.452	-2.489	0.330	-0.712
MIR1207_3P MIR1207_3P	0.395	-0.611	2.845	0.282	0.395	-4.254	0.695	0.282	0.395	0.395	-1.364
GCGCTTT_MIR518B_MIR518C_MIR518D GCGCTTT_MIR518B_MIR518C_MIR518D	2.149	-0.351	-0.351	2.149	-0.828	-0.351	-0.828	-0.828	-0.828	-0.351	0.993
MIR6719_3P MIR6719_3P	0.254	4.061	0.849	0.500	0.254	-1.534	0.254	0.662	-1.187	-0.905	-1.951
MIR4314 MIR4314	-0.292	-0.735	1.353	-0.407	-0.959	-0.553	-3.692	2.837	0.310	0.728	0.430
MIR500A_5P MIR500A_5P	1.710	0.283	1.458	1.017	-0.436	-3.463	1.017	-0.320	-0.320	-0.976	-1.537
MIR411_5P MIR411_5P	-1.990	-0.451	2.002	1.566	-0.756	-0.756	1.566	0.571	-0.756	-0.451	-0.753
MIR4298 MIR4298	-0.235	0.379	0.379	2.341	0.587	-2.364	1.151	0.379	-1.006	-1.536	-0.643
MIR329_3P MIR329_3P	-0.405	-1.761	1.512	0.453	0.322	-1.035	-0.405	1.008	2.824	-1.761	-0.770
MIR6737_5P MIR6737_5P	2.132	-0.442	0.883	-0.934	-1.804	0.657	-1.804	1.144	0.657	-0.289	-0.931
MIR6810_3P MIR6810_3P	-1.065	0.878	1.154	1.467	0.288	-1.065	-1.065	1.817	-1.065	0.288	-1.513
MIR499B_5P MIR499B_5P	-0.962	-1.304	1.508	1.225	-0.336	-3.034	0.749	-0.336	0.558	0.972	-0.488
MIR2110 MIR2110	1.864	-0.894	0.646	0.646	2.719	-2.470	-0.894	-0.546	-0.415	-0.546	-0.412
TCCGTCC_MIR184 TCCGTCC_MIR184	1.603	-0.538	0.476	2.370	-0.176	-0.538	-0.538	-0.176	-0.538	-0.538	-0.537
