GO	[-5.46 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.41]
GNF2_HCK GNF2_HCK	-2.134	-3.866	-2.850	-0.855	-2.134	-2.850	-0.606	0.867	1.113	5.189	8.129
MODULE_92 MODULE_92	1.308	-1.176	-5.005	-4.099	0.711	7.489	-3.371	-1.176	-0.923	1.550	2.371
MODULE_436 MODULE_436	0.428	-1.233	-0.735	-5.751	-0.735	0.731	-0.406	-2.432	0.311	4.862	3.562
MODULE_324 MODULE_324	0.646	-1.442	-1.442	-2.839	-0.656	2.727	-1.127	-1.442	-0.486	1.026	6.114
MODULE_199 MODULE_199	0.847	-1.537	-1.537	-1.537	-0.398	-2.365	-0.234	-0.645	-0.234	3.914	3.329
GNF2_SPINK1 GNF2_SPINK1	0.685	-1.077	-1.077	-1.077	1.090	3.515	-0.520	-1.077	-1.077	-1.077	2.139
MODULE_113 MODULE_113	0.434	-0.617	-2.574	-0.850	1.837	2.910	-1.983	-1.145	-1.516	0.786	2.145
MODULE_410 MODULE_410	-0.234	-1.492	-1.492	-1.492	-0.234	1.863	-0.828	-0.453	-0.453	0.647	4.303
GNF2_HPX GNF2_HPX	1.709	-1.169	-1.169	-1.169	0.341	1.998	-0.904	-2.905	-0.904	0.981	2.959
GNF2_DNM1 GNF2_DNM1	0.881	-0.732	-1.065	-1.065	0.446	1.823	-1.519	-0.732	-0.732	-0.488	4.059
