GO	[-5.47 -0.67]	[-0.67 -0.36]	[-0.36 -0.20]	[-0.20 -0.06]	[-0.06 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.26]	[0.26 0.52]	[0.52 1.05]	[1.05 6.41]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-2.015	-6.494	-6.494	-6.494	-6.494	67.381	9.008	-5.269	-6.494	-4.347	-2.462
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-2.120	-2.610	-5.992	-4.800	-3.910	50.759	6.307	-3.910	-4.800	-2.610	-1.366
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.199	-2.922	-2.922	-3.946	-1.651	43.491	0.441	-2.922	-2.922	-1.227	-0.302
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-2.981	2.110	9.809	10.899	-0.278	-6.653	-0.370	0.325	-2.981	-6.653	-5.651
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-0.551	6.901	4.804	4.062	-0.699	-6.892	0.598	-0.325	-1.910	-5.029	-5.035
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-3.980	0.270	2.236	3.808	1.970	-3.980	5.342	1.275	-1.684	-4.675	-6.500
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	-0.559	13.385	4.280	1.026	-0.820	-3.238	-2.291	-1.172	-3.238	-1.644	-2.293
GOCC_DNA_PACKAGING_COMPLEX GOCC_DNA_PACKAGING_COMPLEX	10.834	5.490	-1.359	-1.035	-1.359	-0.567	0.322	-1.359	-1.761	-1.761	-1.764
GOCC_RNA_POLYMERASE_COMPLEX GOCC_RNA_POLYMERASE_COMPLEX	-0.617	6.232	2.162	0.433	-1.144	-4.405	1.528	1.003	-0.849	-2.571	-4.408
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	-2.640	-1.003	-1.003	1.414	-0.566	-4.141	0.433	3.374	7.700	-0.761	-2.106
