GO	[-5.47 -0.67]	[-0.67 -0.35]	[-0.35 -0.17]	[-0.17 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.25]	[0.25 0.51]	[0.51 1.03]	[1.03 6.41]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-2.013	-6.487	-6.487	-6.487	12.545	30.490	2.746	-4.341	-6.487	-4.341	-2.442
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-2.118	-2.607	-5.986	-4.795	10.718	19.111	2.917	-3.194	-4.795	-2.607	-1.353
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-2.976	2.661	15.004	8.724	-1.468	-5.636	-1.205	0.829	-3.501	-5.636	-5.615
GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	-0.904	-4.050	-4.050	-4.050	6.481	18.489	2.117	-2.729	-3.327	-1.807	-0.691
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-1.383	-2.288	-2.288	-2.288	12.046	16.555	-0.418	-3.715	-2.914	-1.788	-1.778
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	-0.845	-4.855	-2.864	-2.864	5.470	18.270	1.952	-4.075	-4.075	-1.064	-0.380
GOBP_TRANSLATIONAL_INITIATION GOBP_TRANSLATIONAL_INITIATION	-3.563	0.649	1.344	5.392	-0.294	-8.033	3.202	6.234	-1.242	-4.878	-6.698
GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING GOCC_IMMUNOGLOBULIN_COMPLEX_CIRCULATING	-0.935	-2.862	-2.862	-2.862	2.940	15.216	2.940	-1.963	-2.862	-2.862	-0.930
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	-2.761	7.125	10.074	3.244	-1.374	-6.999	-1.130	0.559	-1.655	-1.976	-4.385
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-0.823	-2.456	-6.487	-4.341	3.081	14.514	3.081	-2.456	-1.637	0.347	-1.040
